purpose,timestamp,resolution,isReIntervention,interventionDuration,timezone,app,interventionType
Entertainment,1752412440.114184,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752432173.814293,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752437698.320314,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752470186.653775,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1752470370.5007138,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1752474473.425757,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Message,1752477949.81129,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1752491269.5265322,openedApp,False,6.0,Europe/Berlin,youtube,breathingExercise
Message,1752491431.945961,openedApp,False,6.0,Europe/Berlin,youtube,breathingExercise
Message,1752503879.810462,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1752504739.583478,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752508356.1699948,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752509242.8809319,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752509422.02709,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Message,1752517643.510968,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1752517945.674707,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Message,1752522099.076057,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752573408.032415,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Message,1752573438.314868,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752580189.0380821,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752580796.311894,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752580885.361491,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752584895.24646,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752593556.165673,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1752593588.0159411,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1752595647.596959,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752597752.822339,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752597762.888198,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1752597782.783555,openedApp,False,6.0,Europe/Berlin,youtube,breathingExercise
Entertainment,1752643917.36649,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Message,1752662858.553451,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Escape / Avoid,1752681817.6243439,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Escape / Avoid,1752691856.932953,openedApp,False,6.0,Europe/Berlin,youtube,breathingExercise
,1752694583.212199,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752730939.482424,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752730948.2811599,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752821152.876396,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752879957.2123609,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1752879977.647933,openedApp,False,6.0,Europe/Berlin,youtube,breathingExercise
Entertainment,1752923741.8850589,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752936358.189589,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Message,1752940510.744535,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1752951524.0192099,openedApp,False,6.0,Europe/Berlin,youtube,breathingExercise
Entertainment,1752998337.502085,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1753000350.3837361,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753000776.428296,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753004539.661806,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Bored,1753004558.921277,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753011519.891407,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753011696.2606812,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753011701.5834131,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1753034062.519604,openedApp,False,6.0,Europe/Berlin,youtube,breathingExercise
Entertainment,1753034498.743469,openedApp,False,6.0,Europe/Berlin,youtube,breathingExercise
,1753078980.284061,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753080316.4323049,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1753101278.144744,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Escape / Avoid,1753101967.916745,openedApp,False,6.0,Europe/Berlin,youtube,breathingExercise
Escape / Avoid,1753126806.797872,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1753160275.841388,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1753163129.6755018,openedApp,False,6.0,Europe/Berlin,youtube,breathingExercise
,1753165406.158095,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
