timezone,app,resolution,timestamp,interventionType,interventionDuration,isReIntervention,purpose
America/Denver,instagram,dismissedAppOpening,1751778085.268935,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751778257.0109692,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751778589.165831,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751778680.4709911,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751780603.514258,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751780611.496993,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751780615.960094,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751780620.655586,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751780624.533045,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751780629.077444,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751780634.7671242,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751780638.8736901,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751780642.982919,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751780646.974437,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751780659.634688,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751780663.776876,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751780668.446476,breathingExercise,1.5,False,
America/Denver,instagram,openedApp,1751780680.3930368,breathingExercise,1.5,False,Stay In the Loop
America/Denver,instagram,dismissedAppOpening,1751780919.6787581,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751783566.813332,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751783578.036885,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751784057.7397408,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751784066.192858,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751784078.5797539,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751784083.958022,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751784088.995002,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751784094.183249,breathingExercise,1.5,False,
America/Denver,instagram,openedApp,1751803852.949187,breathingExercise,1.5,False,Escape / Avoid
America/Denver,instagram,openedApp,1751803868.455703,breathingExercise,1.5,False,Escape / Avoid
America/Denver,instagram,openedApp,1751804814.288676,breathingExercise,1.5,False,Stay In the Loop
America/Denver,instagram,openedApp,1751806072.293239,breathingExercise,1.5,False,Check likes
America/Denver,instagram,dismissedAppOpening,1751808037.246062,breathingExercise,1.5,False,
America/Denver,instagram,openedApp,1751825438.455575,breathingExercise,1.5,False,Message
America/Denver,instagram,dismissedAppOpening,1751825457.2262769,breathingExercise,1.5,False,
America/Denver,instagram,openedApp,1751825474.8083901,breathingExercise,1.5,False,Stay In the Loop
America/Denver,instagram,dismissedAppOpening,1751825474.972291,breathingExercise,1.5,False,
America/Denver,instagram,openedApp,1751826891.033664,breathingExercise,1.5,False,Toilet
America/Denver,instagram,dismissedAppOpening,1751826891.211612,breathingExercise,1.5,False,
America/Denver,instagram,openedApp,1751827799.532047,breathingExercise,1.5,False,Post something
America/Denver,instagram,openedApp,1751828036.1889591,breathingExercise,1.5,False,Check likes
America/Denver,instagram,dismissedAppOpening,1751829978.4580278,breathingExercise,1.5,False,
America/Denver,instagram,openedApp,1751831238.27214,breathingExercise,1.5,False,Relax
America/Denver,instagram,dismissedAppOpening,1751831697.1285439,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751831700.990304,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751831704.545124,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751831709.930927,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751831716.3792272,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751831723.928426,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751831737.762562,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751831741.487495,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751831744.775145,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751831749.334506,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751831770.627392,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751831773.528813,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751831776.774946,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751831779.843905,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751831783.611037,breathingExercise,1.5,False,
