purpose,isReIntervention,timestamp,resolution,app,interventionDuration,timezone,interventionType,timeIntervalUntilReIntervention
Nieuwsgierig ,False,1749501546.410085,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749502607.773083,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,120.0
,False,1749502688.406585,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1749503418.350984,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749503484.4390001,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749503495.279453,closedApp,NOS,,Europe/Amsterdam,,
,False,1749503569.091865,closedApp,NOS,,Europe/Amsterdam,,
,False,1749503587.531561,closedApp,NOS,,Europe/Amsterdam,,
,False,1749503682.839573,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
,False,1749503717.9707189,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1749537134.483244,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749537221.3016481,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Zoek informatie,False,1749538011.526732,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749538017.249794,closedApp,NOS,,Europe/Amsterdam,,
,False,1749538139.3853831,closedApp,NOS,,Europe/Amsterdam,,
Entertainment,False,1749539429.051619,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1749540776.8162441,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749542282.582598,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749543278.557543,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749544795.6656408,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749544951.757283,closedApp,NOS,,Europe/Amsterdam,,
Nieuwsgierig ,False,1749546482.853312,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,True,1749546574.516111,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
Nieuwsgierig ,True,1749546703.869946,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Bericht,False,1749546920.177469,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
