interventionDuration,resolution,timeIntervalUntilReIntervention,timezone,timestamp,app,interventionType,isReIntervention,purpose
,openedApp,,Europe/Kiev,1753462902.7016711,telegram,,False,
,closedApp,,Europe/Kiev,1753463202.7016711,telegram,,False,
,dismissedAppOpening,,Europe/Kiev,1753463202.7016711,telegram,,False,
6.0,openedApp,,Europe/Kiev,1753466143.3576732,telegram,breathingExercise,False,Message
6.0,openedApp,,Europe/Kiev,1753479043.402168,telegram,breathingExercise,False,Message
,openedApp,,Europe/Kiev,1753479198.030067,threads,,False,
,closedApp,,Europe/Kiev,1753479498.030067,threads,,False,
,dismissedAppOpening,,Europe/Kiev,1753479498.030067,threads,,False,
,openedApp,,Europe/Kiev,1753480070.087016,telegram,,False,
,closedApp,,Europe/Kiev,1753480370.087016,telegram,,False,
,dismissedAppOpening,,Europe/Kiev,1753480370.087016,telegram,,False,
6.0,openedApp,,Europe/Kiev,1753488847.235959,telegram,breathingExercise,False,Message
6.0,openedApp,,Europe/Kiev,1753489168.8374019,telegram,breathingExercise,False,Message
,openedApp,,Europe/Kiev,1753491259.895513,instagram,,False,
,closedApp,,Europe/Kiev,1753491559.895513,instagram,,False,
,dismissedAppOpening,,Europe/Kiev,1753491559.895513,instagram,,False,
6.0,openedApp,,Europe/Kiev,1753492078.2161942,telegram,breathingExercise,False,Message
6.0,openedApp,2400.0,Europe/Kiev,1753493329.057239,youtube,askForTimeLimit,False,
6.0,openedApp,2400.0,Europe/Kiev,1753493491.008263,youtube,askForTimeLimit,False,
6.0,openedApp,,Europe/Kiev,1753525782.0208712,telegram,breathingExercise,False,Entertainment
,openedApp,,Europe/Kiev,1753525785.149128,telegram,,False,
,closedApp,,Europe/Kiev,1753526085.149129,telegram,,False,
,dismissedAppOpening,,Europe/Kiev,1753526085.149129,telegram,,False,
6.0,openedApp,,Europe/Kiev,1753543444.759562,telegram,breathingExercise,False,Message
6.0,openedApp,300.0,Europe/Kiev,1753544166.183722,telegram,askForTimeLimit,False,
6.0,openedApp,,Europe/Kiev,1753544461.337679,telegram,breathingExercise,False,Message
6.0,dismissedAppOpening,,Europe/Kiev,1753544497.893615,telegram,breathingExercise,True,
6.0,openedApp,60.0,Europe/Kiev,1753546750.674885,telegram,askForTimeLimit,False,
6.0,dismissedAppOpening,,Europe/Kiev,1753547375.90633,telegram,askForTimeLimit,False,
6.0,dismissedAppOpening,,Europe/Kiev,1753547956.465421,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753552379.7677069,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753552522.3342729,telegram,breathingExercise,False,Message
6.0,openedApp,60.0,Europe/Kiev,1753553346.5064778,telegram,askForTimeLimit,False,
6.0,openedApp,300.0,Europe/Kiev,1753560165.518347,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753560360.763503,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753560888.0978808,telegram,breathingExercise,True,Message
6.0,openedApp,60.0,Europe/Kiev,1753562537.261481,telegram,askForTimeLimit,False,
6.0,openedApp,240.0,Europe/Kiev,1753562624.175301,youtube,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753562763.759701,youtube,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753563801.087473,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753564063.56022,telegram,askForTimeLimit,False,
6.0,openedApp,180.0,Europe/Kiev,1753564129.522756,telegram,breathingExercise,True,Message
