timezone,interventionType,app,resolution,isReIntervention,interventionDuration,timestamp,timeIntervalUntilReIntervention
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753106167.085057,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753106222.136761,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753106268.057272,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753108383.4020839,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753108645.977248,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753108662.468962,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753108862.224451,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753123537.59859,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753123557.802712,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753127737.9129071,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753127751.2548199,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753127775.537107,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753128002.123043,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753146448.2407808,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753147648.517519,
