resolution,interventionType,app,interventionDuration,timezone,timestamp,isReIntervention,purpose
openedApp,breathingExercise,instagram,6.0,Asia/Hong_Kong,1753181261.089242,False,Message
openedApp,breathingExercise,instagram,6.0,Asia/Hong_Kong,1753198234.543785,False,Post something
openedApp,breathingExercise,instagram,6.0,Asia/Hong_Kong,1753199314.1341,False,Post something
dismissedAppOpening,breathingExercise,instagram,6.0,Asia/Hong_Kong,1753200065.718091,False,
dismissedAppOpening,breathingExercise,instagram,6.0,Asia/Hong_Kong,1753200931.426316,False,
openedApp,breathingExercise,instagram,6.0,Asia/Hong_Kong,1753203729.64709,False,Stay In the Loop
dismissedAppOpening,breathingExercise,red,6.0,Asia/Hong_Kong,1753203810.333353,False,
openedApp,breathingExercise,instagram,6.0,Asia/Hong_Kong,1753236224.357986,False,Post something
openedApp,breathingExercise,instagram,6.0,Asia/Hong_Kong,1753256360.808368,False,Post something
openedApp,breathingExercise,instagram,6.0,Asia/Hong_Kong,1753268575.6090589,False,Post something
openedApp,breathingExercise,instagram,6.0,Asia/Hong_Kong,1753276520.758484,False,Bored
dismissedAppOpening,breathingExercise,instagram,6.0,Asia/Hong_Kong,1753276582.684575,False,
dismissedAppOpening,breathingExercise,instagram,6.0,Asia/Hong_Kong,1753310580.905644,False,
