interventionDuration,purpose,timeIntervalUntilReIntervention,timestamp,isReIntervention,timezone,resolution,app,interventionType
1.5,Stay In the Loop,300.0,1748817985.253068,False,America/New_York,openedApp,twitter,breathingExercise
,,,1748818071.767869,False,America/New_York,closedApp,twitter,
1.5,Stay In the Loop,300.0,1748818080.762422,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748818386.766031,False,America/New_York,closedApp,instagram,
1.5,Check likes,300.0,1748818406.985743,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748818435.5559812,False,America/New_York,closedApp,instagram,
1.5,Stay In the Loop,300.0,1748819854.133514,False,America/New_York,openedApp,instagram,breathingExercise
1.5,Check likes,240.0,1748820169.9077759,True,America/New_York,openedApp,instagram,breathingExercise
,,,1748820161.837044,False,America/New_York,closedApp,instagram,
,,,1748820205.345037,False,America/New_York,closedApp,instagram,
1.5,Entertainment,300.0,1748831794.354655,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748831903.440865,False,America/New_York,closedApp,instagram,
1.5,,,1748834982.787284,False,America/New_York,dismissedAppOpening,instagram,breathingExercise
1.5,Stay In the Loop,300.0,1748835010.95477,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748835040.353322,False,America/New_York,closedApp,instagram,
1.5,Bored,300.0,1748837786.077355,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748837852.762455,False,America/New_York,closedApp,instagram,
,,,1748838108.5178409,False,America/New_York,closedApp,instagram,
,,,1748838304.361627,False,America/New_York,closedApp,instagram,
1.5,Bored,300.0,1748838321.253182,False,America/New_York,openedApp,twitter,breathingExercise
1.5,,,1748839748.410973,False,America/New_York,dismissedAppOpening,instagram,breathingExercise
,,,1748838390.740263,False,America/New_York,closedApp,twitter,
1.5,Bored,300.0,1748839756.917501,False,America/New_York,openedApp,tikTok,breathingExercise
,,,1748840059.535469,False,America/New_York,closedApp,tikTok,
,,,1748840064.53414,False,America/New_York,closedApp,tikTok,
,,,1748840357.895101,False,America/New_York,closedApp,tikTok,
1.5,Search Info,300.0,1748840369.6945229,False,America/New_York,openedApp,twitter,breathingExercise
,,,1748840482.626728,False,America/New_York,closedApp,twitter,
1.5,Bored,300.0,1748840491.4704719,False,America/New_York,openedApp,tikTok,breathingExercise
,,,1748840767.228778,False,America/New_York,closedApp,tikTok,
,,,1748840800.356192,False,America/New_York,closedApp,tikTok,
,,,1748841752.283802,False,America/New_York,closedApp,tikTok,
,,,1748843019.930503,False,America/New_York,closedApp,tikTok,
,,,1748843791.116911,False,America/New_York,closedApp,tikTok,
1.5,Can’t sleep,300.0,1748843831.342185,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748844146.4821,False,America/New_York,closedApp,instagram,
,,,1748844216.317949,False,America/New_York,closedApp,instagram,
1.5,,,1748844227.840355,False,America/New_York,dismissedAppOpening,twitter,breathingExercise
1.5,Stay In the Loop,60.0,1748874021.640548,False,America/New_York,openedApp,instagram,breathingExercise
1.5,Stay In the Loop,300.0,1748874096.587514,True,America/New_York,openedApp,instagram,breathingExercise
,,,1748874089.5228949,False,America/New_York,closedApp,instagram,
,,,1748874192.3612242,False,America/New_York,closedApp,instagram,
1.5,Search Info,300.0,1748874992.1166701,False,America/New_York,openedApp,twitter,breathingExercise
,,,1748875208.581001,False,America/New_York,closedApp,twitter,
,,,1748875218.6932402,False,America/New_York,closedApp,twitter,
1.5,Check likes,300.0,1748875229.941492,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748875220.1566381,False,America/New_York,closedApp,instagram,
,,,1748875422.528524,False,America/New_York,closedApp,instagram,
1.5,Stay In the Loop,300.0,1748877951.4671369,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748878053.5250149,False,America/New_York,closedApp,instagram,
1.5,Check likes,300.0,1748878673.719726,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748878701.390558,False,America/New_York,closedApp,instagram,
,,,1748878744.412431,False,America/New_York,closedApp,instagram,
,,,1748878872.2400599,False,America/New_York,closedApp,instagram,
1.5,,,1748879880.684102,False,America/New_York,dismissedAppOpening,instagram,breathingExercise
1.5,Message,300.0,1748886939.2375221,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748887061.759433,False,America/New_York,closedApp,instagram,
1.5,Search Info,300.0,1748888129.863764,False,America/New_York,openedApp,instagram,breathingExercise
1.5,Relax,300.0,1748888503.600775,True,America/New_York,openedApp,instagram,breathingExercise
,,,1748888498.052116,False,America/New_York,closedApp,instagram,
,,,1748888749.798763,False,America/New_York,closedApp,instagram,
1.5,Relax,300.0,1748888907.200758,False,America/New_York,openedApp,twitter,breathingExercise
1.5,Entertainment,300.0,1748889221.6183472,True,America/New_York,openedApp,twitter,breathingExercise
,,,1748889217.878374,False,America/New_York,closedApp,twitter,
,,,1748889315.236917,False,America/New_York,closedApp,twitter,
1.5,Bored,300.0,1748889342.225284,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748889400.97537,False,America/New_York,closedApp,instagram,
,,,1748889713.53251,False,America/New_York,closedApp,instagram,
1.5,Bored,300.0,1748890313.217907,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748890617.139882,False,America/New_York,closedApp,instagram,
1.5,,,1748890619.085936,False,America/New_York,dismissedAppOpening,instagram,breathingExercise
1.5,Entertainment,300.0,1748896919.065695,False,America/New_York,openedApp,instagram,breathingExercise
1.5,Entertainment,300.0,1748897232.604052,True,America/New_York,openedApp,instagram,breathingExercise
,,,1748897226.258874,False,America/New_York,closedApp,instagram,
1.5,Entertainment,300.0,1748897543.235384,True,America/New_York,openedApp,instagram,breathingExercise
,,,1748897536.8356009,False,America/New_York,closedApp,instagram,
,,,1748897780.919308,False,America/New_York,closedApp,instagram,
