timestamp,interventionType,resolution,interventionDuration,app,timezone,isReIntervention,purpose,timeIntervalUntilReIntervention
1752148533.457844,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Nachricht / Schreiben,
1752149174.8008761,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Klo,
1752149255.34346,breathingExercise,dismissedAppOpening,1.5,tikTok,Europe/Berlin,False,,
1752149271.237714,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Etwas posten,
1752149350.602617,breathingExercise,dismissedAppOpening,1.5,tikTok,Europe/Berlin,False,,
1752149352.917725,breathingExercise,dismissedAppOpening,1.5,tikTok,Europe/Berlin,False,,
1752150361.545383,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Nachricht / Schreiben,180.0
1752150435.790928,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Entspannung,180.0
1752167569.602388,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Nachricht / Schreiben,
1752167811.0008512,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Entspannung,360.0
1752168093.8414512,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Auf dem Laufenden bleiben,120.0
1752171027.35576,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Auf dem Laufenden bleiben,
1752171511.7464209,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1752171517.64781,breathingExercise,dismissedAppOpening,1.5,tikTok,Europe/Berlin,False,,
1752172373.3575048,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Unterhaltung,
1752178401.514744,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752178484.5565062,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,360.0
1752178585.506418,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Auf dem Laufenden bleiben,
1752180611.232596,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Unterhaltung,
1752184596.114006,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752222029.9753551,breathingExercise,dismissedAppOpening,1.5,tikTok,Europe/Berlin,False,,
1752223569.8808389,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Auf dem Laufenden bleiben,240.0
1752224669.7880201,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Auf dem Laufenden bleiben,
1752232379.242806,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,240.0
1752238321.376909,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752238453.747999,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Etwas posten,360.0
1752246344.252317,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,240.0
1752249342.449507,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Auf dem Laufenden bleiben,240.0
1752261080.1014051,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752267571.069587,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,120.0
1752267701.497741,breathingExercise,dismissedAppOpening,1.5,snapchat,Europe/Berlin,False,,
1752267711.0036411,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Auf dem Laufenden bleiben,
1752332372.996395,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,240.0
1752335299.821093,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Infos suchen,
1752337970.06502,journaling,dismissedAppOpening,,instagram,Europe/Berlin,False,,
1752337983.980701,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,480.0
1752338150.101526,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Nachricht / Schreiben,360.0
1752338326.7481508,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Auf dem Laufenden bleiben,420.0
1752339662.685309,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752343934.8656259,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752347088.014987,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,True,Auf dem Laufenden bleiben,360.0
1752347999.906043,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Entspannung,
1752354287.27419,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,360.0
1752478159.0409389,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752478934.3441858,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,240.0
1752479189.518604,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,True,Auf dem Laufenden bleiben,360.0
1752479552.327887,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Auf dem Laufenden bleiben,
1752480541.3777452,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,360.0
1752481751.9321032,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1752481755.8571491,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1752481760.06173,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1752482192.389003,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Auf dem Laufenden bleiben,360.0
1752482512.293155,breathingExercise,dismissedAppOpening,1.5,snapchat,Europe/Berlin,False,,
1752482748.597076,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Auf dem Laufenden bleiben,360.0
1752483126.69946,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,True,Unterhaltung,540.0
1752486854.8625379,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1752486908.908973,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Unterhaltung,180.0
1752487105.761755,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,True,Auf dem Laufenden bleiben,300.0
1752487283.215877,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,240.0
1752493979.858228,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752503188.409202,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,360.0
1752504688.288919,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Unterhaltung,240.0
1752505069.977843,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,True,Etwas posten,240.0
1752509558.498242,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,360.0
1752509985.562801,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,360.0
1752510360.7863278,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Unterhaltung,
1752510476.493528,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Unterhaltung,
1752513580.290204,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752513897.0722718,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,True,Etwas posten,480.0
1752514053.664514,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1752514218.420281,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752514534.654978,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Unterhaltung,
1752515068.435905,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Entspannung,
1752515185.786777,breathingExercise,dismissedAppOpening,1.5,tikTok,Europe/Berlin,False,,
1752515619.402019,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,True,Auf dem Laufenden bleiben,300.0
1752519394.005642,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,360.0
1752519768.425384,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,True,Auf dem Laufenden bleiben,300.0
1752521776.6908898,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Entspannung,
1752570358.948495,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752571948.390427,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Auf dem Laufenden bleiben,
1752576364.801354,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Nachricht / Schreiben,420.0
1752576434.7207189,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Nachricht / Schreiben,
1752576484.276648,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,360.0
1752576576.268117,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Nachricht / Schreiben,300.0
1752576761.3677468,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Nachricht / Schreiben,300.0
1752578273.925286,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Nachricht / Schreiben,360.0
1752579167.8544688,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752579822.8634229,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Auf dem Laufenden bleiben,
1752580407.483715,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752580438.8592029,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Auf dem Laufenden bleiben,240.0
1752581770.059464,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,360.0
1752581800.968396,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Auf dem Laufenden bleiben,
1752581817.786107,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Nachricht / Schreiben,360.0
1752584372.090594,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,360.0
1752584393.048594,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1752584848.575021,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1752584854.939252,breathingExercise,dismissedAppOpening,1.5,snapchat,Europe/Berlin,False,,
1752587629.263489,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752587757.672365,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Etwas posten,
1752591138.196105,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752593228.491097,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Infos suchen,
1752594913.322906,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Infos suchen,660.0
1752595123.717805,breathingExercise,dismissedAppOpening,1.5,snapchat,Europe/Berlin,False,,
1752595165.380883,breathingExercise,dismissedAppOpening,1.5,snapchat,Europe/Berlin,False,,
1752598245.2418199,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752606040.422059,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752606120.482743,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Auf dem Laufenden bleiben,
1752612201.366554,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752612449.0079489,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Etwas posten,360.0
1752644523.317791,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752646660.350137,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
1752646710.159194,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752651225.766111,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,360.0
1752651612.1782908,breathingExercise,openedApp,1.5,snapchat,Europe/Berlin,False,Auf dem Laufenden bleiben,360.0
1752658336.240697,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Entspannung,360.0
1752658714.152262,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,True,Unterhaltung,420.0
1752659149.412643,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,True,Unterhaltung,300.0
1752659493.582623,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,True,Unterhaltung,300.0
1752659805.4069,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Auf dem Laufenden bleiben,
1752662515.347155,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,300.0
1752662702.78237,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Unterhaltung,
1752663563.771453,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,240.0
1752670444.591373,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,240.0
1752672467.857722,breathingExercise,openedApp,1.5,instagram,Europe/Berlin,False,Auf dem Laufenden bleiben,360.0
1752672512.126226,breathingExercise,openedApp,1.5,tikTok,Europe/Berlin,False,Unterhaltung,
1752676996.8037329,breathingExercise,dismissedAppOpening,1.5,instagram,Europe/Berlin,False,,
