timestamp,app,resolution,isReIntervention,interventionDuration,timezone,interventionType
1750865598.766568,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750866151.656293,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750874228.670682,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750874365.2724051,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750874379.715392,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750874443.094502,instagram,dismissedAppOpening,False,1.5,Asia/Kolkata,breathingExercise
1750874449.5713139,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750874483.328549,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750874543.4370918,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750874603.6757011,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750874949.584445,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750875119.317796,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750875162.281265,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750875305.1478171,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750875401.381244,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750875437.2775779,instagram,dismissedAppOpening,False,1.5,Asia/Kolkata,breathingExercise
1750875721.813842,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750875762.7335181,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750875830.3548121,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750875926.700161,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750876163.736702,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750876288.338678,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750876405.405859,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750877925.989038,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750877959.358674,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750878082.4059381,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750878137.9530969,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750878233.48166,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
