timezone,app,resolution,timestamp,isReIntervention,interventionType,interventionDuration,purpose
America/Monterrey,instagram,openedApp,1750376352.443958,False,breathingExercise,1.5,quick check
America/Monterrey,whastapp,openedApp,1750376494.1533952,False,breathingExercise,1.5,check msgs
America/Monterrey,whastapp,openedApp,1750376700.809022,False,breathingExercise,1.5,continue
America/Monterrey,whastapp,dismissedAppOpening,1750377600.6770349,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750377613.089581,False,breathingExercise,1.5,party
America/Monterrey,instagram,openedApp,1750377667.474803,False,breathingExercise,1.5,check
America/Monterrey,whastapp,dismissedAppOpening,1750378165.581386,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750378168.531287,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750378173.170123,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750381156.330306,False,breathingExercise,1.5,msgs
America/Monterrey,instagram,openedApp,1750381303.5239248,False,breathingExercise,1.5,msgs
America/Monterrey,instagram,dismissedAppOpening,1750381932.03753,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750381945.868346,False,breathingExercise,1.5,msgs
America/Monterrey,whastapp,openedApp,1750384967.687839,False,breathingExercise,1.5,check
America/Monterrey,instagram,openedApp,1750385017.599093,False,breathingExercise,1.5,skip
America/Monterrey,whastapp,openedApp,1750386146.241661,False,breathingExercise,1.5,m
America/Monterrey,whastapp,openedApp,1750387386.117382,False,breathingExercise,1.5,k
America/Monterrey,whastapp,openedApp,1750388474.07499,False,breathingExercise,1.5,m
America/Monterrey,whastapp,openedApp,1750389413.440367,False,breathingExercise,1.5,k
America/Monterrey,twitter,openedApp,1750390026.55604,False,breathingExercise,1.5,k
America/Monterrey,instagram,openedApp,1750390156.014563,False,breathingExercise,1.5,l
America/Monterrey,instagram,openedApp,1750392284.419872,False,breathingExercise,1.5,m
America/Monterrey,whastapp,openedApp,1750392353.302518,False,breathingExercise,1.5,m
America/Monterrey,whastapp,openedApp,1750394006.654437,False,breathingExercise,1.5,pili
America/Monterrey,instagram,openedApp,1750394237.231885,False,breathingExercise,1.5,k
America/Monterrey,whastapp,openedApp,1750396229.900981,False,breathingExercise,1.5,m
America/Monterrey,whastapp,openedApp,1750396558.80742,False,breathingExercise,1.5,m
America/Monterrey,instagram,openedApp,1750396588.488394,False,breathingExercise,1.5,m
America/Monterrey,whastapp,openedApp,1750397642.0489268,False,breathingExercise,1.5,j
America/Monterrey,instagram,openedApp,1750397681.1279712,False,breathingExercise,1.5,k
America/Monterrey,whastapp,openedApp,1750398679.688268,False,breathingExercise,1.5,m
America/Monterrey,instagram,openedApp,1750398744.599057,False,breathingExercise,1.5,m
America/Monterrey,instagram,openedApp,1750400509.408924,False,breathingExercise,1.5,m
America/Monterrey,whastapp,openedApp,1750400629.8400311,False,breathingExercise,1.5,m
America/Monterrey,instagram,openedApp,1750400812.839202,False,breathingExercise,1.5,m
America/Monterrey,whastapp,dismissedAppOpening,1750400939.148356,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750400943.9211311,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750400953.1043282,False,breathingExercise,1.5,
America/Monterrey,instagram,openedApp,1750401031.977826,False,breathingExercise,1.5,m
America/Monterrey,whastapp,openedApp,1750401181.6465,False,breathingExercise,1.5,m
America/Monterrey,whastapp,openedApp,1750418513.952056,False,breathingExercise,1.5,check 
America/Monterrey,facebook,openedApp,1750418591.353588,False,breathingExercise,1.5,check
America/Monterrey,instagram,dismissedAppOpening,1750419949.170677,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750420069.637549,False,breathingExercise,1.5,
America/Monterrey,instagram,dismissedAppOpening,1750420100.27147,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750420274.9617848,False,breathingExercise,1.5,Mafer 
America/Monterrey,instagram,dismissedAppOpening,1750420625.579821,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750422941.077612,False,breathingExercise,1.5,m
America/Monterrey,whastapp,dismissedAppOpening,1750423418.9810429,False,breathingExercise,1.5,
America/Monterrey,instagram,dismissedAppOpening,1750423467.0806189,False,breathingExercise,1.5,
America/Monterrey,instagram,openedApp,1750423476.005292,False,breathingExercise,1.5,j
America/Monterrey,whastapp,openedApp,1750423611.529356,False,breathingExercise,1.5,dr
America/Monterrey,instagram,dismissedAppOpening,1750425504.156498,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750426201.523793,False,breathingExercise,1.5,mom
America/Monterrey,instagram,openedApp,1750426338.368949,False,breathingExercise,1.5,j
America/Monterrey,instagram,dismissedAppOpening,1750426584.166214,False,breathingExercise,1.5,
America/Monterrey,instagram,openedApp,1750426731.1349149,False,breathingExercise,1.5,j
America/Monterrey,whastapp,openedApp,1750426892.7528439,False,breathingExercise,1.5,m
America/Monterrey,instagram,dismissedAppOpening,1750426952.172492,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750428650.127077,False,breathingExercise,1.5,r
America/Monterrey,instagram,dismissedAppOpening,1750428900.754689,False,breathingExercise,1.5,
America/Mexico_City,instagram,dismissedAppOpening,1750432435.8639169,False,breathingExercise,1.5,
America/Mexico_City,whastapp,openedApp,1750433484.510607,False,breathingExercise,1.5,r
America/Mexico_City,whastapp,dismissedAppOpening,1750433685.651321,False,breathingExercise,1.5,
America/Mexico_City,whastapp,openedApp,1750433803.419044,False,breathingExercise,1.5,hijos
America/Mexico_City,instagram,openedApp,1750434182.55422,False,breathingExercise,1.5,y
America/Mexico_City,whastapp,openedApp,1750434378.822853,False,breathingExercise,1.5,m
America/Mexico_City,whastapp,openedApp,1750435599.717157,False,breathingExercise,1.5,r
America/Mexico_City,whastapp,dismissedAppOpening,1750435862.994221,False,breathingExercise,1.5,
America/Mexico_City,whastapp,dismissedAppOpening,1750435865.435808,False,breathingExercise,1.5,
America/Mexico_City,whastapp,openedApp,1750436259.987005,False,breathingExercise,1.5,r
America/Mexico_City,whastapp,openedApp,1750436676.734508,False,breathingExercise,1.5,r
America/Mexico_City,whastapp,openedApp,1750437202.597591,False,breathingExercise,1.5,r
America/Mexico_City,whastapp,openedApp,1750439212.134377,False,breathingExercise,1.5,r
America/Mexico_City,whastapp,dismissedAppOpening,1750439706.225957,False,breathingExercise,1.5,
America/Mexico_City,whastapp,openedApp,1750440226.596194,False,breathingExercise,1.5,j
America/Mexico_City,instagram,openedApp,1750440257.7303329,False,breathingExercise,1.5,j
America/Mexico_City,whastapp,dismissedAppOpening,1750440613.121624,False,breathingExercise,1.5,
America/Mexico_City,whastapp,openedApp,1750441831.520061,False,breathingExercise,1.5,g
America/Mexico_City,instagram,openedApp,1750442026.603074,False,breathingExercise,1.5,j
