isReIntervention,timestamp,interventionType,app,timezone,interventionDuration,resolution,purpose
False,1750940857.16956,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750941134.68168,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750942835.443965,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Mensaje
False,1750943086.543751,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750943095.096674,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750943102.7949,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Obsesionarse con un crush
False,1750944286.115052,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750944289.969135,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750944295.3099341,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750944591.407073,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750944593.5889559,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750944601.2928982,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750944613.901989,breathingExercise,tikTok,Europe/Madrid,1.5,openedApp,Aburrido
False,1750945215.3154612,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750945236.13257,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750945262.846149,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Escapar / Evitar
False,1750946319.930231,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750946696.132586,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750947016.003522,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750949742.666559,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750949745.3149462,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750949770.392293,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750949774.625627,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750949837.923351,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750949865.167221,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750949876.135958,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Aburrido
False,1750949989.0190392,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750950003.3918219,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750950307.380375,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750950379.3231359,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750955352.414295,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Entretenimiento
False,1750962266.915559,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Aburrido
False,1750963255.596807,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Aburrido
False,1750963652.045517,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750964268.769589,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750972128.685128,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Aburrido
False,1750973611.135127,breathingExercise,instagram,Europe/Madrid,1.5,dismissedAppOpening,
False,1750977019.0614371,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
False,1750977447.007145,breathingExercise,instagram,Europe/Madrid,1.5,openedApp,Publicar algo
