timestamp,app,timezone,isReIntervention,resolution,interventionType,interventionDuration,purpose
1750506158.469621,instagram,Europe/Berlin,False,closedApp,,,
1750506353.8861651,instagram,Europe/Berlin,False,closedApp,,,
1750507125.47386,instagram,Europe/Berlin,False,closedApp,,,
1750507145.569182,instagram,Europe/Berlin,False,closedApp,,,
1750507840.996276,instagram,Europe/Berlin,False,dismissedAppOpening,breathingExercise,6.0,
1750507859.013139,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750509038.937492,instagram,Europe/Berlin,False,closedApp,,,
1750510371.235176,instagram,Europe/Berlin,False,closedApp,,,
1750510788.3965821,instagram,Europe/Berlin,False,closedApp,,,
1750511212.572088,instagram,Europe/Berlin,False,closedApp,,,
1750512236.792922,instagram,Europe/Berlin,False,dismissedAppOpening,breathingExercise,6.0,
1750512286.193742,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750512357.118102,instagram,Europe/Berlin,False,closedApp,,,
1750512469.509722,instagram,Europe/Berlin,False,closedApp,,,
1750512617.065219,instagram,Europe/Berlin,False,closedApp,,,
1750518998.991198,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750519023.7462502,instagram,Europe/Berlin,False,closedApp,,,
1750519139.3194652,instagram,Europe/Berlin,False,closedApp,,,
1750520514.210576,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750520610.342097,instagram,Europe/Berlin,False,closedApp,,,
1750523381.458778,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750523403.960864,instagram,Europe/Berlin,False,closedApp,,,
1750525243.039808,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750525265.349114,instagram,Europe/Berlin,False,closedApp,,,
1750525661.670076,instagram,Europe/Berlin,False,closedApp,,,
1750526260.082109,instagram,Europe/Berlin,False,closedApp,,,
1750526291.527179,instagram,Europe/Berlin,False,closedApp,,,
1750540487.090328,instagram,Europe/Berlin,False,dismissedAppOpening,journaling,,
1750540503.6013122,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750540530.145766,instagram,Europe/Berlin,False,closedApp,,,
1750547390.669447,instagram,Europe/Berlin,False,dismissedAppOpening,breathingExercise,6.0,
1750547416.3561358,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750552095.699226,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750552132.370719,instagram,Europe/Berlin,False,closedApp,,,
1750577828.1113691,instagram,Europe/Berlin,False,dismissedAppOpening,breathingExercise,6.0,
1750577845.7798362,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750580642.938257,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750578155.841566,instagram,Europe/Berlin,False,closedApp,,,
1750580778.9847841,instagram,Europe/Berlin,False,closedApp,,,
1750580896.758745,instagram,Europe/Berlin,False,closedApp,,,
1750585280.956588,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750585354.605093,instagram,Europe/Berlin,False,closedApp,,,
1750585380.7557878,instagram,Europe/Berlin,False,closedApp,,,
1750586946.638854,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750587009.4662719,instagram,Europe/Berlin,False,closedApp,,,
1750587031.773841,instagram,Europe/Berlin,False,closedApp,,,
1750587326.789134,instagram,Europe/Berlin,False,closedApp,,,
1750587702.161015,instagram,Europe/Berlin,False,closedApp,,,
1750588021.809556,instagram,Europe/Berlin,False,closedApp,,,
1750588116.630795,instagram,Europe/Berlin,False,closedApp,,,
1750589513.1649241,instagram,Europe/Berlin,False,closedApp,,,
1750592191.670186,instagram,Europe/Berlin,False,closedApp,,,
1750593534.246603,instagram,Europe/Berlin,False,dismissedAppOpening,breathingExercise,6.0,
1750593552.828251,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750593645.881463,instagram,Europe/Berlin,False,closedApp,,,
1750593795.803998,instagram,Europe/Berlin,False,closedApp,,,
1750593827.184208,instagram,Europe/Berlin,False,closedApp,,,
1750594901.262284,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750594939.680402,instagram,Europe/Berlin,False,closedApp,,,
1750595267.8164558,instagram,Europe/Berlin,False,closedApp,,,
1750595450.32144,instagram,Europe/Berlin,False,closedApp,,,
1750595483.061297,instagram,Europe/Berlin,False,closedApp,,,
1750597160.41755,instagram,Europe/Berlin,False,dismissedAppOpening,breathingExercise,6.0,
1750597165.707065,instagram,Europe/Berlin,False,dismissedAppOpening,breathingExercise,6.0,
1750597784.6868439,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750597808.497947,instagram,Europe/Berlin,False,closedApp,,,
1750598026.683272,instagram,Europe/Berlin,False,closedApp,,,
1750598172.965471,instagram,Europe/Berlin,False,closedApp,,,
1750600119.966263,instagram,Europe/Berlin,False,closedApp,,,
1750602865.042428,instagram,Europe/Berlin,False,dismissedAppOpening,breathingExercise,6.0,
1750602883.197164,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750602910.525704,instagram,Europe/Berlin,False,closedApp,,,
1750606125.2514958,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750606435.593354,instagram,Europe/Berlin,False,closedApp,,,
1750606599.099612,instagram,Europe/Berlin,False,closedApp,,,
1750606866.382041,instagram,Europe/Berlin,False,closedApp,,,
1750607274.501874,instagram,Europe/Berlin,False,closedApp,,,
1750607459.528496,instagram,Europe/Berlin,False,closedApp,,,
1750607555.5938249,instagram,Europe/Berlin,False,closedApp,,,
1750607817.412817,instagram,Europe/Berlin,False,closedApp,,,
1750607862.7390242,instagram,Europe/Berlin,False,closedApp,,,
1750607894.796791,instagram,Europe/Berlin,False,closedApp,,,
1750607973.035263,instagram,Europe/Berlin,False,closedApp,,,
1750608097.465785,instagram,Europe/Berlin,False,closedApp,,,
1750608125.002746,instagram,Europe/Berlin,False,closedApp,,,
1750608364.346249,instagram,Europe/Berlin,False,closedApp,,,
1750608629.801674,instagram,Europe/Berlin,False,closedApp,,,
1750608784.266032,instagram,Europe/Berlin,False,closedApp,,,
1750609137.819858,instagram,Europe/Berlin,False,closedApp,,,
1750609326.910548,instagram,Europe/Berlin,False,closedApp,,,
1750609432.229017,instagram,Europe/Berlin,False,closedApp,,,
1750609592.458715,instagram,Europe/Berlin,False,closedApp,,,
1750610457.0392442,instagram,Europe/Berlin,False,closedApp,,,
1750610659.172302,instagram,Europe/Berlin,False,closedApp,,,
1750611127.3491201,instagram,Europe/Berlin,False,closedApp,,,
1750611217.357017,instagram,Europe/Berlin,False,closedApp,,,
1750611628.293211,instagram,Europe/Berlin,False,closedApp,,,
1750611677.2340832,instagram,Europe/Berlin,False,closedApp,,,
1750613388.749845,instagram,Europe/Berlin,False,dismissedAppOpening,breathingExercise,6.0,
1750613429.292323,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750615628.8956928,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750615884.345674,instagram,Europe/Berlin,False,closedApp,,,
1750616029.178742,instagram,Europe/Berlin,False,closedApp,,,
1750616076.1351252,instagram,Europe/Berlin,False,closedApp,,,
1750616286.631819,instagram,Europe/Berlin,False,closedApp,,,
1750616364.867502,instagram,Europe/Berlin,False,closedApp,,,
1750616528.111558,instagram,Europe/Berlin,False,closedApp,,,
1750616705.287702,instagram,Europe/Berlin,False,closedApp,,,
1750616903.236743,instagram,Europe/Berlin,False,closedApp,,,
1750617138.190117,instagram,Europe/Berlin,False,closedApp,,,
1750617905.395684,instagram,Europe/Berlin,False,closedApp,,,
1750617959.822129,instagram,Europe/Berlin,False,closedApp,,,
1750619671.885704,instagram,Europe/Berlin,False,closedApp,,,
1750619767.7132711,instagram,Europe/Berlin,False,closedApp,,,
1750619789.294424,instagram,Europe/Berlin,False,closedApp,,,
1750619966.0773602,instagram,Europe/Berlin,False,closedApp,,,
1750620099.1824489,instagram,Europe/Berlin,False,closedApp,,,
1750623118.8229861,instagram,Europe/Berlin,False,closedApp,,,
1750623374.6793342,instagram,Europe/Berlin,False,closedApp,,,
1750625982.9757571,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750626106.35234,instagram,Europe/Berlin,False,closedApp,,,
1750626315.818639,instagram,Europe/Berlin,False,closedApp,,,
1750626392.870888,instagram,Europe/Berlin,False,closedApp,,,
1750626994.99315,instagram,Europe/Berlin,False,closedApp,,,
1750627695.176406,instagram,Europe/Berlin,False,closedApp,,,
1750654404.760859,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750654457.471369,instagram,Europe/Berlin,False,closedApp,,,
1750654491.621422,instagram,Europe/Berlin,False,closedApp,,,
1750654671.820112,instagram,Europe/Berlin,False,closedApp,,,
1750656528.348515,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750656811.8201861,instagram,Europe/Berlin,False,closedApp,,,
1750656897.144469,instagram,Europe/Berlin,False,closedApp,,,
1750663235.857049,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750663293.67317,instagram,Europe/Berlin,False,closedApp,,,
1750665304.850793,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750665328.804467,instagram,Europe/Berlin,False,closedApp,,,
1750665866.217211,instagram,Europe/Berlin,False,closedApp,,,
1750666100.1106071,instagram,Europe/Berlin,False,closedApp,,,
1750671723.3354568,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750671761.135104,instagram,Europe/Berlin,False,closedApp,,,
1750671871.357238,instagram,Europe/Berlin,False,closedApp,,,
1750671897.4936938,instagram,Europe/Berlin,False,closedApp,,,
1750672795.334358,instagram,Europe/Berlin,False,closedApp,,,
1750672929.7423759,instagram,Europe/Berlin,False,closedApp,,,
1750673533.010291,instagram,Europe/Berlin,False,closedApp,,,
1750674091.762587,instagram,Europe/Berlin,False,closedApp,,,
1750677443.0882149,instagram,Europe/Berlin,False,openedApp,breathingExercise,6.0,Auf dem Laufenden bleiben
1750677465.667046,instagram,Europe/Berlin,False,closedApp,,,
1750677633.301402,instagram,Europe/Berlin,False,closedApp,,,
1750677877.1791449,instagram,Europe/Berlin,False,closedApp,,,
1750677952.382495,instagram,Europe/Berlin,False,closedApp,,,
1750678057.616956,instagram,Europe/Berlin,False,closedApp,,,
