timezone,interventionDuration,interventionType,isReIntervention,app,timestamp,resolution
Europe/Berlin,6,breathingExercise,False,instagram,1752146704.125506,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1752147357.241313,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1752149969.8759952,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752161615.003457,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752166444.380756,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1752171026.408557,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752182438.426062,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752182744.778415,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752213815.896339,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752214184.126373,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752225505.317692,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752225810.554107,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752232274.695432,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752243987.609875,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752256773.492955,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752260600.099008,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752260894.764447,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1752261144.1855721,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752261207.689702,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752279605.299243,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752318591.105681,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752324899.7655559,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1752325276.058542,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752331705.261232,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752344356.88271,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752348383.229423,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1752353330.612145,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752355071.915927,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752355817.425331,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1752360334.799963,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752362346.077434,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1752363093.500967,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752391476.062426,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752391899.7483048,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1752415602.859427,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752415891.2180471,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1752419925.204432,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752427220.637199,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752430690.223044,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752433429.786618,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752434741.4679089,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752436046.823556,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1752436118.730025,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752436747.996892,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1752436770.366853,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752440880.586986,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752473042.349895,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752473736.141921,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752473900.4255729,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1752492814.396532,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752502853.341881,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752510585.3235312,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752510844.792615,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752516514.7817721,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752516604.3422341,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752549925.0750542,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752550564.7882009,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752562812.869349,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752577414.4784222,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752583962.926056,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752584820.762168,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752585136.561235,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752586654.013397,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752586922.369807,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1752587529.268372,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752592836.063758,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752593235.422885,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752597445.4516392,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752597602.694727,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752606626.449465,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1752606640.8298988,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752607424.584687,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752608243.9175029,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752608862.770959,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752608966.083065,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752609636.143435,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752611043.277127,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752612362.5271192,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1752612717.3440762,dismissedAppOpening
