interventionDuration,isReIntervention,timezone,app,interventionType,resolution,timestamp,purpose
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750478907.864049,娱乐
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750480259.453376,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750480894.727535,娱乐
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750491877.240442,放松
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750492031.829865,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750493566.392281,放松
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750494140.993999,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750494143.126484,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750494161.226711,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750494180.00137,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750494203.802479,放松
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750494501.147862,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750494515.265157,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750494548.077416,娱乐
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750496949.841806,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750496971.3824592,
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750496995.767952,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750497057.859973,放松
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750500295.0756888,逃跑/避开
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750500725.071504,娱乐
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750500870.901382,放松
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750501619.8987641,放松
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750507559.7249599,检查点赞
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750509845.967598,娱乐
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750509922.2182322,放松
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750510900.835582,欧阳春晓训练
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750515655.1467361,娱乐
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750521084.246505,欧阳春晓训练
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750521294.417794,欧阳春晓训练
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750521700.405384,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750521755.192203,欧阳春晓训练
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750521820.5365949,欧阳春晓训练
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750522260.6549292,搜索信息
6,False,Asia/Shanghai,red,breathingExercise,openedApp,1750522342.504015,搜索信息
6,False,Asia/Shanghai,weibo,breathingExercise,dismissedAppOpening,1750553942.0481071,
6,False,Asia/Shanghai,weibo,breathingExercise,openedApp,1750555137.004261,放松
