resolution,timestamp,interventionType,app,interventionDuration,timezone,isReIntervention
openedApp,1753563819.516896,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753564831.027905,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753566307.228191,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753566552.132571,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753566659.050091,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753568913.000914,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753571954.6401238,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1753572256.866257,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753573320.271611,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753573549.4924831,breathingExercise,tikTok,6,America/Mexico_City,False
dismissedAppOpening,1753574072.40972,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753574231.235618,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753574396.681315,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753574695.933358,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753574938.379998,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753575352.260611,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753575800.769157,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753575940.82657,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753581006.3792682,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753581151.2767758,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753585128.0264,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753585878.373502,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753587320.038629,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753589934.082777,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753591007.89382,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1753592369.857592,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1753592600.817463,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753622011.391758,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753638038.53462,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753638253.743674,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753640822.613432,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1753647615.8563972,breathingExercise,instagram,6,America/Mexico_City,False
