timestamp,app,timezone,interventionDuration,isReIntervention,interventionType,resolution
1753206044.31562,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753254552.751003,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753256636.326482,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753256640.86112,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753257656.9799461,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753258019.245053,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753269636.059773,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753273540.813412,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753274930.077011,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753276320.595271,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753278736.697654,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753281949.776273,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753282340.53595,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753286113.081677,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753291072.5299911,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753295479.524754,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753336234.717818,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753360415.965296,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753370776.86763,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753371031.40484,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753373540.83775,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753373780.092483,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753376366.749799,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753376721.373502,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753376779.973319,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753407388.903471,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753412684.3670468,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753425968.486367,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753425978.3698878,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753431797.695661,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753441655.340755,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753441660.103395,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753442052.126158,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753446904.479653,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753449368.044424,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753449817.8331351,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753453080.196831,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753453483.295257,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753454077.5362859,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753454115.0429869,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753459142.436934,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753499651.532652,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753501695.655723,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753507715.932417,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753509950.111917,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753510422.5360951,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753511079.004689,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753515156.17063,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753515807.04712,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753516883.790484,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753517108.907995,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753518217.433917,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753519747.691337,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753520341.666082,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753521224.004102,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753521321.1321201,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753525587.3925738,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753526844.195366,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753528484.353736,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753529344.1982799,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753529489.173726,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753529952.282465,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753530841.1401901,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753533330.80929,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753536016.278527,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753536219.234458,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753536334.083983,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753536740.695492,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753537147.703305,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753538543.632236,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753538620.963022,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753538724.8870769,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753542741.161289,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753542959.859849,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753543005.7289681,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753543602.8613849,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753544004.056264,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753544677.192996,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753545325.495833,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753545483.798787,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753546529.110142,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753547232.08576,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753547528.250183,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753547839.885151,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753548589.3185291,snapchat,Asia/Kolkata,3,False,breathingExercise,dismissedAppOpening
1753548600.237895,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753548733.847857,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
1753551929.636631,snapchat,Asia/Kolkata,3,False,breathingExercise,openedApp
