isReIntervention,timezone,app,resolution,timestamp,interventionDuration,interventionType
False,Europe/Copenhagen,instagram,dismissedAppOpening,1753009120.059797,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753024387.961464,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753028627.4885092,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753028794.44468,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753030082.243684,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753032907.4140701,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753049600.0239859,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753078689.476163,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753078783.992453,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753085811.5551162,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753086199.748522,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753086788.050622,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753095470.659975,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753123740.0899029,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753126156.777628,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753178072.162171,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753196032.392093,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753196417.905346,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1753208175.8415341,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1753209373.170178,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753211191.7860441,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753261597.974325,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753262693.590376,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1753267675.371383,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753267710.193371,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753342985.188734,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753345054.568481,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753349574.119635,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753349658.136087,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1753350560.205014,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1753357574.423473,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753364237.9068,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1753372446.230771,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753372469.476881,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753379656.038799,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753387266.143868,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753393674.165407,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753425851.813576,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1753426910.4468842,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1753433691.418693,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753433750.363456,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1753439226.406608,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753443758.555491,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1753447721.329966,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753481307.448337,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1753481919.838079,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753533096.882658,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1753534884.828473,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753536264.454763,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753543475.904193,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753545137.8230581,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1753545246.839522,6,breathingExercise
False,Europe/Copenhagen,instagram,dismissedAppOpening,1753545250.1743178,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753545264.142889,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753597321.8473392,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753630416.8676949,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753633920.810086,6,breathingExercise
False,Europe/Copenhagen,instagram,openedApp,1753643351.6858711,6,breathingExercise
