resolution,interventionDuration,timestamp,interventionType,timezone,isReIntervention,app,purpose,timeIntervalUntilReIntervention,terminationReason
openedApp,3.0,1749139465.771721,donatusStudy,Asia/Kolkata,0.0,instagram,Stalk crush,420.0,
closedApp,,1749139490.300212,,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749139572.742948,donatusStudy,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749139908.230149,donatusStudy,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749140023.401819,donatusStudy,Asia/Kolkata,0.0,instagram,Search Info,60.0,
closedApp,,1749140089.409957,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749140193.8141851,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749141066.1512818,donatusStudy,Asia/Kolkata,0.0,instagram,Toilet,660.0,
closedApp,,1749141085.609607,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749142149.133573,,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749142367.3258572,donatusStudy,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749145535.280437,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749145845.203582,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749145893.99715,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749146606.646379,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749146618.2598,donatusStudy,Asia/Kolkata,0.0,instagram,Relax,,
closedApp,,1749146653.246273,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749146670.469994,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749147126.64535,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749147269.255755,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749147352.4865332,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749147535.137559,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749147724.2060452,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749147844.2596421,,Asia/Kolkata,0.0,instagram,,,
dismissedAppOpening,3.0,1749170747.478088,donatusStudy,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749171527.544901,donatusStudy,Asia/Kolkata,0.0,instagram,Entertainment,1800.0,
closedApp,,1749171705.039254,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749171717.348038,donatusStudy,Asia/Kolkata,0.0,instagram,Bored,,
closedApp,,1749171833.583591,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749171855.739582,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749171955.492749,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749172139.9649649,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749172267.284721,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749172356.404786,donatusStudy,Asia/Kolkata,0.0,instagram,Escape / Avoid,1800.0,
closedApp,,1749172645.108646,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749172920.644012,donatusStudy,Asia/Kolkata,0.0,instagram,Entertainment,1800.0,
closedApp,,1749173193.734384,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749173223.694041,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749173396.9079409,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749173438.9924412,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749173480.765173,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749173489.0559359,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749173926.9314132,,Asia/Kolkata,0.0,instagram,,,
openedApp,3.0,1749174045.615963,donatusStudy,Asia/Kolkata,0.0,instagram,Entertainment,1800.0,
closedApp,,1749174109.5526118,,Asia/Kolkata,0.0,instagram,,,
closedApp,,1749174219.2670689,,Asia/Kolkata,0.0,instagram,,,
