timestamp,interventionType,app,isReIntervention,timezone,interventionDuration,resolution,timeIntervalUntilReIntervention
1753113115.665514,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,840.0
1753119156.913343,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1320.0
1753119939.581989,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1140.0
1753121834.5265079,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,900.0
1753150435.327296,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,780.0
1753170552.282333,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1260.0
1753171083.327508,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1260.0
1753172965.9053922,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1140.0
1753177279.373065,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1260.0
1753178684.563698,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,840.0
1753193169.5827599,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1140.0
1753242773.23355,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1260.0
1753244159.355599,breathingExercise,instagram,True,Asia/Kolkata,6,openedApp,1380.0
1753245319.382371,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1140.0
1753245617.6733289,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1260.0
1753246732.072176,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1140.0
1753255552.109947,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1020.0
1753257469.8755178,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1320.0
1753258874.9069672,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1140.0
1753260573.0586228,breathingExercise,instagram,False,Asia/Kolkata,6,dismissedAppOpening,
1753260997.031918,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1200.0
1753261972.6752548,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,960.0
1753264457.837754,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1140.0
1753264943.128145,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1200.0
1753270475.001698,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1320.0
1753270734.643999,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1020.0
1753273648.719623,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1020.0
1753275537.278281,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1380.0
1753287507.24842,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1200.0
1753288384.12824,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1200.0
1753288444.172008,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1140.0
1753289108.2051458,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1080.0
1753290435.2642798,breathingExercise,instagram,False,Asia/Kolkata,6,openedApp,1260.0
1753292582.531364,breathingExercise,instagram,False,Asia/Kolkata,6,openedApp,1320.0
1753293969.474296,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1140.0
1753300113.197299,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1380.0
1753300303.463829,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1500.0
1753300422.084621,askForTimeLimit,instagram,False,Asia/Kolkata,6,openedApp,1200.0
