interventionType,timezone,isReIntervention,timestamp,app,resolution,interventionDuration,timeIntervalUntilReIntervention,purpose
breathingExercise,America/Merida,False,1752444222.0226068,safari,openedApp,3.0,,Escapar / Evitar
,America/Merida,False,1752444319.855527,facebook,closedApp,,,
breathingExercise,America/Merida,False,1752444387.430743,instagram,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752444397.619405,clashRoyale,openedApp,3.0,480.0,
breathingExercise,America/Merida,True,1752444895.781997,clashRoyale,openedApp,3.0,720.0,Escapar / Evitar
breathingExercise,America/Merida,False,1752445283.9251618,instagram,openedApp,3.0,,Escapar / Evitar
askForTimeLimit,America/Merida,False,1752445816.032607,clashRoyale,openedApp,3.0,300.0,
askForTimeLimit,America/Merida,False,1752445837.4487271,clashRoyale,openedApp,3.0,360.0,
askForTimeLimit,America/Merida,False,1752446190.784982,youtube,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752446199.563308,clashRoyale,openedApp,3.0,360.0,
breathingExercise,America/Merida,False,1752447110.5151482,safari,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752447127.451093,clashRoyale,openedApp,3.0,360.0,
askForTimeLimit,America/Merida,False,1752447499.6198769,clashRoyale,openedApp,3.0,360.0,
askForTimeLimit,America/Merida,False,1752447743.834445,clashRoyale,openedApp,3.0,360.0,
askForTimeLimit,America/Merida,False,1752448102.2683558,clashRoyale,openedApp,3.0,360.0,
askForTimeLimit,America/Merida,False,1752448514.0507379,clashRoyale,openedApp,3.0,360.0,
askForTimeLimit,America/Merida,False,1752451253.125805,clashRoyale,openedApp,3.0,420.0,
askForTimeLimit,America/Merida,False,1752454418.076335,clashRoyale,openedApp,3.0,360.0,
askForTimeLimit,America/Merida,False,1752454687.2006521,clashRoyale,openedApp,3.0,360.0,
breathingExercise,America/Merida,False,1752455033.389133,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752455325.167263,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752456453.140039,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752457473.8269339,safari,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752457613.569209,instagram,openedApp,3.0,,Aburrido
breathingExercise,America/Merida,False,1752457816.0435638,instagram,openedApp,3.0,,Entretenimiento
breathingExercise,America/Merida,False,1752457890.815763,instagram,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752457921.704381,youtube,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752457936.000122,youtube,openedApp,3.0,600.0,
askForTimeLimit,America/Merida,False,1752458677.367528,youtube,openedApp,3.0,600.0,
askForTimeLimit,America/Merida,False,1752459087.034275,youtube,openedApp,3.0,540.0,
askForTimeLimit,America/Merida,False,1752459226.841378,youtube,openedApp,3.0,600.0,
breathingExercise,America/Merida,False,1752461125.377851,youtube,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752461142.019919,youtube,openedApp,3.0,300.0,Entretenimiento
