timestamp,timezone,interventionType,interventionDuration,resolution,isReIntervention,app
1749605485.4280791,America/Bogota,breathingExercise,3,dismissedAppOpening,False,tikTok
1749605495.4776192,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749605509.4525208,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749606087.242854,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749606105.7605839,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749606142.5540051,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749606200.1134639,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749606307.451038,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749606353.630124,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749606671.096179,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749606723.431402,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749607130.682553,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749608266.227644,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749608439.773835,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749608583.593797,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749608644.678361,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749609187.812177,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749609782.473515,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749610336.392846,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749610588.3576288,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749610925.775566,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749638162.1323562,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749638998.116914,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749641079.4390888,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749669705.117671,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749675564.036965,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749676686.3100638,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749678355.6282868,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749682382.212699,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749691342.5672312,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749692304.627339,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749694381.188651,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749695168.5029879,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749695487.546056,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749726226.678773,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749726489.291981,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749758559.934469,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749759817.70485,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749760465.938675,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749764926.498364,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749766916.493922,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749769157.159134,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749769178.0327249,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749769546.420332,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749769661.6290379,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749770283.2521691,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749770299.2500029,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749770354.3884192,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749770513.541606,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749771055.682775,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749772138.9366698,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749776223.1261969,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749782667.957166,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749783474.813261,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749784248.75948,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749786181.481289,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749786191.828651,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749806574.896368,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749813777.017194,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749842330.72856,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749844938.9935942,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749847061.008305,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749847248.992882,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749847292.677304,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749849664.090008,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749851846.17925,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749866923.358354,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749867201.500558,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749867551.475064,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749867814.560573,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749867930.565456,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749868182.9404411,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749869084.659799,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749899501.80201,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749900337.097622,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749901063.215859,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749904743.706224,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749905103.883233,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749907073.099365,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749907102.397507,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749911508.14896,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749911982.293319,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749912207.5276232,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749912364.842908,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749917097.601084,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749921688.698721,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749923141.063014,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749927193.4925032,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749927206.731895,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749927231.584122,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749929607.836077,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749929812.205449,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749929982.754019,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749931506.244277,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749931527.24607,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749931634.119184,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749932289.116323,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749932532.8142328,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749933338.1636,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749933743.175312,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749934010.860219,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749934999.052532,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749935507.549186,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749935617.951384,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749936540.087058,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749937197.71551,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749937865.650066,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749942972.5836291,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749943321.228193,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749944987.863374,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749945413.79256,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749948855.5053902,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749948964.917659,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749951677.300583,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749954074.567625,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750007853.7499518,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750010968.575733,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1750011284.233132,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750011942.0856938,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750013681.228586,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750016276.362455,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750016709.621912,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750017120.7152538,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750017242.926649,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750017835.279626,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750020096.825067,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1750020457.070177,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750024806.955508,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1750024824.8315492,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1750025158.475873,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1750025162.385952,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1750025762.021131,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750026481.495074,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750026548.749296,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750027216.37153,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750027642.188612,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750031647.5440269,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750033455.0433102,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750034264.818893,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750039285.034985,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750044233.650228,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750044348.853043,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750044425.812426,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750044463.272904,America/Bogota,breathingExercise,3,dismissedAppOpening,False,tikTok
1750044473.7998738,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750046878.116463,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750048332.73612,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750048819.8456202,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750049248.253065,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750049476.623509,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750049931.747136,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750050050.677055,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750050139.1373692,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750052173.8366609,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750052671.8625112,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750054358.865147,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750054669.623872,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750066234.138266,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750073314.74982,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750073512.184613,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750073981.2466788,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1750074025.611222,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1750074634.376656,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750074710.827277,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750074818.369792,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750092579.828229,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750092646.810746,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750092826.7277951,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750093012.685981,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750093211.9035258,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750093324.64833,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750094543.893783,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750096185.050097,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750096393.276146,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750098466.146851,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750098630.811681,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750098704.682883,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750103775.936294,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750104543.967248,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750107182.761582,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750108397.572165,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750114086.556473,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750114356.45083,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750115938.281024,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750116161.927103,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750116717.224391,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750116780.44627,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1750116792.592741,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750118820.756279,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750119132.124693,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750119292.700079,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750119351.451229,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750120487.796165,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750121053.2018008,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750121767.713342,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750122142.486566,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750122171.308274,America/Bogota,breathingExercise,3,dismissedAppOpening,False,tikTok
1750122185.525089,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750122804.356379,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750127720.463657,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750127732.804353,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750128392.86123,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750128662.985836,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750131596.808636,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750155534.848825,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750155807.540863,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750156609.318756,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1750157814.3513079,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750157897.050184,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750159496.792575,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750159621.516015,America/Bogota,breathingExercise,3,openedApp,False,instagram
1750160269.619008,America/Bogota,breathingExercise,3,openedApp,False,instagram
