resolution,interventionDuration,app,timestamp,isReIntervention,interventionType,timezone,purpose
openedApp,6,instagram,1752965656.130824,False,breathingExercise,America/Denver,Bored
openedApp,6,instagram,1752975802.112191,False,breathingExercise,America/Denver,Bored
openedApp,6,tikTok,1752982286.432014,False,breathingExercise,America/Denver,Can’t sleep
dismissedAppOpening,6,instagram,1752990426.629679,False,breathingExercise,America/Denver,
openedApp,6,tikTok,1753028260.664557,False,breathingExercise,America/Denver,Entertainment
openedApp,6,instagram,1753073799.997298,False,breathingExercise,America/Los_Angeles,Bored
openedApp,6,instagram,1753234667.129689,False,breathingExercise,America/Los_Angeles,Bored
openedApp,6,instagram,1753240486.927644,False,breathingExercise,America/Los_Angeles,Escape / Avoid
openedApp,6,instagram,1753240615.47418,False,breathingExercise,America/Los_Angeles,Can’t sleep
openedApp,6,tikTok,1753240664.8467999,False,breathingExercise,America/Los_Angeles,Can’t sleep
dismissedAppOpening,6,tikTok,1753241557.864523,False,breathingExercise,America/Los_Angeles,
openedApp,6,tikTok,1753254555.83428,False,breathingExercise,America/Los_Angeles,Bored
openedApp,6,tikTok,1753255256.402211,False,breathingExercise,America/Los_Angeles,Bored
openedApp,6,tikTok,1753277978.61269,False,breathingExercise,America/Los_Angeles,Bored
openedApp,6,tikTok,1753278861.773819,False,breathingExercise,America/Los_Angeles,Bored
openedApp,6,instagram,1753569805.814964,False,breathingExercise,America/Los_Angeles,Search Info
openedApp,6,instagram,1753588480.718579,False,breathingExercise,America/Los_Angeles,Bored
dismissedAppOpening,6,instagram,1753589257.6225991,False,breathingExercise,America/Los_Angeles,
openedApp,6,instagram,1753846940.616549,False,breathingExercise,America/Los_Angeles,Bored
openedApp,6,instagram,1753937271.992261,False,breathingExercise,America/Los_Angeles,Bored
dismissedAppOpening,6,instagram,1753967493.325439,False,breathingExercise,America/Los_Angeles,
openedApp,6,instagram,1753967549.039334,False,breathingExercise,America/Los_Angeles,Message
dismissedAppOpening,6,instagram,1753967891.101867,False,breathingExercise,America/Los_Angeles,
dismissedAppOpening,6,instagram,1753968588.6649199,False,breathingExercise,America/Los_Angeles,
openedApp,6,instagram,1753971500.252053,False,breathingExercise,America/Los_Angeles,Bored
openedApp,6,instagram,1753971787.409285,False,breathingExercise,America/Los_Angeles,Escape / Avoid
openedApp,6,instagram,1753972000.5834188,False,breathingExercise,America/Los_Angeles,Check likes
openedApp,6,instagram,1753972386.628818,False,breathingExercise,America/Los_Angeles,Bored
