app,resolution,isReIntervention,timestamp,timezone,interventionType,interventionDuration,purpose
instagram,dismissedAppOpening,False,1753520018.838426,America/Santo_Domingo,,,
tikTok,openedApp,False,1753533469.538538,America/Santo_Domingo,,,
tikTok,closedApp,False,1753534069.538539,America/Santo_Domingo,,,
tikTok,dismissedAppOpening,False,1753534069.538539,America/Santo_Domingo,,,
instagram,openedApp,False,1753549588.536675,America/Santo_Domingo,,,
instagram,closedApp,False,1753550188.536675,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753550188.536676,America/Santo_Domingo,,,
instagram,openedApp,False,1753569477.017272,America/Santo_Domingo,,,
instagram,closedApp,False,1753570077.017272,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753570077.017272,America/Santo_Domingo,,,
instagram,openedApp,False,1753570094.330229,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1753571501.739911,America/Santo_Domingo,,,
instagram,closedApp,False,1753572101.739911,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753572101.739911,America/Santo_Domingo,,,
instagram,openedApp,False,1753572122.208095,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1753583104.5697532,America/Santo_Domingo,,,
instagram,closedApp,False,1753583704.5697532,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753583704.5697532,America/Santo_Domingo,,,
instagram,openedApp,False,1753583844.022233,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1753602043.5061378,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1753601315.337583,America/Santo_Domingo,,,
instagram,closedApp,False,1753601915.337583,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753601915.337584,America/Santo_Domingo,,,
instagram,openedApp,False,1753601419.045506,America/Santo_Domingo,,,
instagram,closedApp,False,1753602019.045506,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753602019.045506,America/Santo_Domingo,,,
instagram,openedApp,False,1753601423.619563,America/Santo_Domingo,,,
instagram,closedApp,False,1753602023.619563,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753602023.619563,America/Santo_Domingo,,,
instagram,openedApp,False,1753629263.899603,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1753658912.323616,America/Santo_Domingo,,,
instagram,closedApp,False,1753659512.323616,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753659512.323616,America/Santo_Domingo,,,
instagram,openedApp,False,1753659049.268924,America/Santo_Domingo,,,
instagram,closedApp,False,1753659649.268924,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753659649.268925,America/Santo_Domingo,,,
instagram,openedApp,False,1753660226.0593429,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1753661629.529618,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1753660981.802465,America/Santo_Domingo,,,
instagram,closedApp,False,1753661581.802465,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753661581.802465,America/Santo_Domingo,,,
instagram,openedApp,False,1753660984.750267,America/Santo_Domingo,,,
instagram,closedApp,False,1753661584.750267,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753661584.750267,America/Santo_Domingo,,,
instagram,openedApp,False,1753662203.137899,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1753710268.080912,America/Santo_Domingo,,,
instagram,closedApp,False,1753710868.080913,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753710868.080913,America/Santo_Domingo,,,
instagram,openedApp,False,1753710889.650141,America/Santo_Domingo,breathingExercise,6.0,Mensaje
instagram,openedApp,False,1753716956.718903,America/Santo_Domingo,,,
instagram,closedApp,False,1753717556.718904,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753717556.718904,America/Santo_Domingo,,,
instagram,openedApp,False,1753717921.282301,America/Santo_Domingo,breathingExercise,6.0,Aburrido
instagram,openedApp,False,1753721509.2390862,America/Santo_Domingo,breathingExercise,6.0,Escapar / Evitar
instagram,dismissedAppOpening,False,1753739799.294255,America/Santo_Domingo,breathingExercise,6.0,
instagram,openedApp,False,1753739203.16594,America/Santo_Domingo,,,
instagram,closedApp,False,1753739803.165941,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753739803.165941,America/Santo_Domingo,,,
instagram,openedApp,False,1753759447.826488,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1753790892.393807,America/Santo_Domingo,,,
instagram,closedApp,False,1753791492.393807,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753791492.393807,America/Santo_Domingo,,,
instagram,openedApp,False,1753792231.293019,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
tikTok,openedApp,False,1753796128.201844,America/Santo_Domingo,,,
tikTok,closedApp,False,1753796728.2018452,America/Santo_Domingo,,,
tikTok,dismissedAppOpening,False,1753796728.2018452,America/Santo_Domingo,,,
instagram,openedApp,False,1753796890.393917,America/Santo_Domingo,,,
instagram,closedApp,False,1753797490.393917,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753797490.393917,America/Santo_Domingo,,,
tikTok,openedApp,False,1753797535.6296139,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1753809021.092551,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
tikTok,openedApp,False,1753809457.350161,America/Santo_Domingo,,,
tikTok,closedApp,False,1753810057.350161,America/Santo_Domingo,,,
tikTok,dismissedAppOpening,False,1753810057.350161,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753810257.601551,America/Santo_Domingo,breathingExercise,6.0,
instagram,openedApp,False,1753810277.14787,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1753815706.503545,America/Santo_Domingo,,,
instagram,closedApp,False,1753816306.503545,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753816306.503545,America/Santo_Domingo,,,
instagram,openedApp,False,1753817383.305523,America/Santo_Domingo,breathingExercise,6.0,Mantente Informado
instagram,openedApp,False,1753821348.698652,America/Santo_Domingo,,,
instagram,closedApp,False,1753821948.698652,America/Santo_Domingo,,,
instagram,dismissedAppOpening,False,1753821948.698653,America/Santo_Domingo,,,
tikTok,openedApp,False,1753821996.136374,America/Santo_Domingo,,,
tikTok,closedApp,False,1753822596.136374,America/Santo_Domingo,,,
tikTok,dismissedAppOpening,False,1753822596.136374,America/Santo_Domingo,,,
