app,timestamp,interventionDuration,timezone,resolution,isReIntervention,interventionType
instagram,1750705854.771659,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750705964.548338,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750705996.171638,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750706248.383309,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750706417.018131,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750717435.9263449,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750719490.539414,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750722566.649576,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750760920.570688,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750760944.580637,3,Europe/Berlin,openedApp,False,breathingExercise
