resolution,isReIntervention,timestamp,timezone,app,interventionDuration,interventionType
dismissedAppOpening,False,1751762515.445981,America/Sao_Paulo,instagram,,
openedApp,False,1751812440.942811,America/Sao_Paulo,instagram,,
closedApp,False,1751812620.942811,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751812620.942811,America/Sao_Paulo,instagram,,
openedApp,False,1751818106.513138,America/Sao_Paulo,instagram,,
closedApp,False,1751818286.513138,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751818286.513138,America/Sao_Paulo,instagram,,
openedApp,False,1751827840.72084,America/Sao_Paulo,instagram,,
closedApp,False,1751828020.72084,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751828020.72084,America/Sao_Paulo,instagram,,
openedApp,False,1751841675.8425012,America/Sao_Paulo,instagram,,
closedApp,False,1751841855.8425012,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751841855.8425012,America/Sao_Paulo,instagram,,
openedApp,False,1751845318.2350821,America/Sao_Paulo,instagram,,
closedApp,False,1751845498.2350821,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751845498.2350821,America/Sao_Paulo,instagram,,
openedApp,False,1751845622.1612248,America/Sao_Paulo,instagram,,
closedApp,False,1751845802.1612248,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751845802.161226,America/Sao_Paulo,instagram,,
openedApp,False,1751845920.234216,America/Sao_Paulo,instagram,,
closedApp,False,1751846100.234216,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751846100.2342172,America/Sao_Paulo,instagram,,
openedApp,False,1751901550.638123,America/Sao_Paulo,instagram,,
closedApp,False,1751901730.638124,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751901730.638124,America/Sao_Paulo,instagram,,
openedApp,False,1751904568.482614,America/Sao_Paulo,instagram,,
closedApp,False,1751904748.482614,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751904748.482614,America/Sao_Paulo,instagram,,
openedApp,False,1751910236.5151029,America/Sao_Paulo,instagram,,
closedApp,False,1751910416.5151029,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751910416.5151029,America/Sao_Paulo,instagram,,
openedApp,False,1751913033.359652,America/Sao_Paulo,instagram,,
closedApp,False,1751913213.359652,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751913213.359652,America/Sao_Paulo,instagram,,
openedApp,False,1751916628.261042,America/Sao_Paulo,instagram,,
closedApp,False,1751916808.261043,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751916808.261043,America/Sao_Paulo,instagram,,
openedApp,False,1751918480.579329,America/Sao_Paulo,instagram,,
closedApp,False,1751918660.579329,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751918660.579329,America/Sao_Paulo,instagram,,
openedApp,False,1751937495.657641,America/Sao_Paulo,instagram,,
closedApp,False,1751937675.657642,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751937675.657642,America/Sao_Paulo,instagram,,
openedApp,False,1751943606.239417,America/Sao_Paulo,instagram,,
closedApp,False,1751943786.239417,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751943786.239417,America/Sao_Paulo,instagram,,
openedApp,False,1751945910.6367111,America/Sao_Paulo,instagram,,
closedApp,False,1751946090.6367111,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751946090.6367111,America/Sao_Paulo,instagram,,
