resolution,isReIntervention,timeIntervalUntilReIntervention,timestamp,app,interventionType,interventionDuration,timezone,purpose
closedApp,False,,1753368265.314204,youtube,,,Europe/Berlin,
openedApp,False,1620.0,1753369640.400312,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1753370949.026365,youtube,,,Europe/Berlin,
closedApp,False,,1753371267.4771008,youtube,,,Europe/Berlin,
openedApp,False,,1753371300.179369,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1753372150.592268,youtube,,,Europe/Berlin,
closedApp,False,,1753372746.6772451,youtube,,,Europe/Berlin,
openedApp,False,360.0,1753421679.6014109,youtube,breathingExercise,6.0,Europe/Berlin,Infos suchen
closedApp,False,,1753421772.845032,youtube,,,Europe/Berlin,
openedApp,False,1800.0,1753422264.121284,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1753424017.7633982,youtube,,,Europe/Berlin,
openedApp,False,,1753424140.81736,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1753424251.254117,youtube,,,Europe/Berlin,
dismissedAppOpening,False,,1753440985.8103251,icecubes,askForTimeLimit,6.0,Europe/Berlin,
openedApp,False,600.0,1753442070.881246,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1753442197.662931,youtube,,,Europe/Berlin,
closedApp,False,,1753442495.402777,youtube,,,Europe/Berlin,
openedApp,False,1440.0,1753443190.22069,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
openedApp,False,540.0,1753461787.3529701,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1753462261.622267,icecubes,,,Europe/Berlin,
openedApp,False,300.0,1753473317.0845618,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1753473445.391154,icecubes,,,Europe/Berlin,
openedApp,False,1440.0,1753476616.5169659,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1753477676.267468,youtube,,,Europe/Berlin,
openedApp,False,,1753517187.396668,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1753520466.9621649,youtube,,,Europe/Berlin,
closedApp,False,,1753521138.136462,youtube,,,Europe/Berlin,
openedApp,False,600.0,1753526426.1627579,youtube,breathingExercise,6.0,Europe/Berlin,Langeweile
closedApp,False,,1753527032.012836,youtube,,,Europe/Berlin,
openedApp,False,,1753556614.931689,youtube,breathingExercise,6.0,Europe/Berlin,Langeweile
closedApp,False,,1753556752.104473,youtube,,,Europe/Berlin,
closedApp,False,,1753559243.292115,youtube,,,Europe/Berlin,
openedApp,False,1560.0,1753559509.772591,youtube,breathingExercise,6.0,Europe/Berlin,Auf dem Laufenden bleiben
closedApp,False,,1753559778.680126,youtube,,,Europe/Berlin,
closedApp,False,,1753559823.599781,youtube,,,Europe/Berlin,
closedApp,False,,1753560530.589579,youtube,,,Europe/Berlin,
closedApp,False,,1753560559.4012709,youtube,,,Europe/Berlin,
closedApp,False,,1753561333.531779,youtube,,,Europe/Berlin,
closedApp,False,,1753566198.937634,youtube,,,Europe/Berlin,
dismissedAppOpening,False,,1753566301.9127169,icecubes,askForTimeLimit,6.0,Europe/Berlin,
openedApp,False,780.0,1753613353.6627169,linkedin,breathingExercise,6.0,Europe/Berlin,Nachricht / Schreiben
closedApp,False,,1753613372.650722,linkedin,,,Europe/Berlin,
openedApp,False,2280.0,1753624962.131195,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1753626612.5482469,youtube,,,Europe/Berlin,
dismissedAppOpening,False,,1753630877.193565,youtube,breathingExercise,6.0,Europe/Berlin,
openedApp,False,1800.0,1753631118.927012,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1753632482.791987,youtube,,,Europe/Berlin,
dismissedAppOpening,False,,1753681251.408015,youtube,breathingExercise,6.0,Europe/Berlin,
openedApp,False,1200.0,1753681277.308296,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1753682484.957793,youtube,,,Europe/Berlin,
openedApp,True,900.0,1753682503.961736,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1753683385.596065,youtube,,,Europe/Berlin,
openedApp,True,2640.0,1753683410.7031069,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1753683573.84622,youtube,,,Europe/Berlin,
closedApp,False,,1753683749.656565,youtube,,,Europe/Berlin,
closedApp,False,,1753686027.766299,youtube,,,Europe/Berlin,
openedApp,False,300.0,1753690043.869652,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1753690166.83951,icecubes,,,Europe/Berlin,
closedApp,False,,1753692588.2889462,icecubes,,,Europe/Berlin,
openedApp,False,1560.0,1753696798.567356,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1753698365.887053,youtube,,,Europe/Berlin,
openedApp,True,1920.0,1753698383.11727,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1753700286.625629,youtube,,,Europe/Berlin,
openedApp,False,1260.0,1753701421.679893,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1753702107.389471,youtube,,,Europe/Berlin,
closedApp,False,,1753702293.769493,youtube,,,Europe/Berlin,
closedApp,False,,1753705234.79209,youtube,,,Europe/Berlin,
dismissedAppOpening,False,,1753705356.270766,icecubes,askForTimeLimit,6.0,Europe/Berlin,
openedApp,False,540.0,1753709641.801986,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1753709809.251999,icecubes,,,Europe/Berlin,
closedApp,False,,1753710724.56748,icecubes,,,Europe/Berlin,
openedApp,True,360.0,1753710740.4042091,icecubes,breathingExercise,6.0,Europe/Berlin,Nachricht / Schreiben
closedApp,False,,1753711082.0032492,icecubes,,,Europe/Berlin,
openedApp,False,420.0,1753723157.6293612,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1753723237.353207,youtube,,,Europe/Berlin,
dismissedAppOpening,False,,1753723922.077476,youtube,breathingExercise,6.0,Europe/Berlin,
openedApp,False,60.0,1753723944.151578,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1753724009.7008739,youtube,,,Europe/Berlin,
openedApp,False,300.0,1753731081.3410702,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1753731186.857404,icecubes,,,Europe/Berlin,
openedApp,False,1680.0,1753732950.7506762,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1753734609.673109,youtube,,,Europe/Berlin,
openedApp,False,1260.0,1753764153.266639,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1753765422.3230572,youtube,,,Europe/Berlin,
openedApp,True,1440.0,1753765446.810505,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1753766893.162698,youtube,,,Europe/Berlin,
openedApp,True,360.0,1753766907.9916759,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1753767218.988267,youtube,,,Europe/Berlin,
closedApp,False,,1753773071.544221,icecubes,,,Europe/Berlin,
closedApp,False,,1753773081.413796,icecubes,,,Europe/Berlin,
closedApp,False,,1753796481.450758,icecubes,,,Europe/Berlin,
closedApp,False,,1753801687.2105021,icecubes,,,Europe/Berlin,
closedApp,False,,1753801816.451407,icecubes,,,Europe/Berlin,
openedApp,False,360.0,1753823301.911499,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1753823334.818829,icecubes,,,Europe/Berlin,
openedApp,False,1620.0,1753855896.2473469,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1753857508.105665,youtube,,,Europe/Berlin,
openedApp,False,,1753857551.085122,youtube,breathingExercise,6.0,Europe/Berlin,Langeweile
closedApp,False,,1753857597.932416,youtube,,,Europe/Berlin,
closedApp,False,,1753860615.5792952,youtube,,,Europe/Berlin,
openedApp,False,1800.0,1753865202.860498,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1753867013.286299,youtube,,,Europe/Berlin,
openedApp,True,1020.0,1753867029.79756,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1753868030.061821,youtube,,,Europe/Berlin,
openedApp,False,2640.0,1753869697.9931011,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1753871213.478691,youtube,,,Europe/Berlin,
closedApp,False,,1753872425.3095222,youtube,,,Europe/Berlin,
openedApp,True,1260.0,1753872444.232425,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1753872520.885931,youtube,,,Europe/Berlin,
closedApp,False,,1753873735.904405,youtube,,,Europe/Berlin,
openedApp,True,60.0,1753873753.118679,youtube,breathingExercise,6.0,Europe/Berlin,Langeweile
closedApp,False,,1753873813.60675,youtube,,,Europe/Berlin,
openedApp,False,,1753885576.834254,beReal,breathingExercise,6.0,Europe/Berlin,Likes checken
dismissedAppOpening,False,,1753885748.072254,youtube,breathingExercise,6.0,Europe/Berlin,
dismissedAppOpening,False,,1753885798.249074,youtube,breathingExercise,6.0,Europe/Berlin,
openedApp,False,780.0,1753885850.79811,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1753886635.6863909,youtube,,,Europe/Berlin,
openedApp,True,960.0,1753886661.253746,youtube,breathingExercise,6.0,Europe/Berlin,Langeweile
closedApp,False,,1753887422.308053,youtube,,,Europe/Berlin,
closedApp,False,,1753887661.2740169,youtube,,,Europe/Berlin,
openedApp,True,,1753887682.0173569,youtube,breathingExercise,6.0,Europe/Berlin,Auf dem Laufenden bleiben
closedApp,False,,1753889746.801392,youtube,,,Europe/Berlin,
openedApp,False,180.0,1753892044.705124,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1753892119.468116,youtube,,,Europe/Berlin,
openedApp,False,600.0,1753893729.201083,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1753894169.177753,youtube,,,Europe/Berlin,
openedApp,False,240.0,1753898688.7901812,linkedin,breathingExercise,6.0,Europe/Berlin,Infos suchen
closedApp,False,,1753898751.60238,linkedin,,,Europe/Berlin,
closedApp,False,,1753899062.753275,linkedin,,,Europe/Berlin,
openedApp,False,360.0,1753899403.005266,linkedin,breathingExercise,6.0,Europe/Berlin,Infos suchen
closedApp,False,,1753899453.4293609,linkedin,,,Europe/Berlin,
openedApp,False,720.0,1753900434.623544,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1753899548.656721,linkedin,,,Europe/Berlin,
closedApp,False,,1753900878.2545261,youtube,,,Europe/Berlin,
dismissedAppOpening,False,,1753905824.3391628,linkedin,breathingExercise,6.0,Europe/Berlin,
openedApp,False,420.0,1753905854.139849,linkedin,breathingExercise,6.0,Europe/Berlin,Etwas posten
closedApp,False,,1753905901.795906,linkedin,,,Europe/Berlin,
openedApp,False,600.0,1753906526.578393,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1753906637.91428,youtube,,,Europe/Berlin,
closedApp,False,,1753907083.26703,youtube,,,Europe/Berlin,
closedApp,False,,1753907405.2831311,youtube,,,Europe/Berlin,
dismissedAppOpening,False,,1753936477.034157,icecubes,askForTimeLimit,6.0,Europe/Berlin,
openedApp,False,420.0,1753981902.731367,youtube,breathingExercise,6.0,Europe/Berlin,Langeweile
closedApp,False,,1753982328.518579,youtube,,,Europe/Berlin,
openedApp,False,600.0,1754026494.93016,linkedin,breathingExercise,6.0,Europe/Berlin,Nachricht / Schreiben
closedApp,False,,1754026508.879175,linkedin,,,Europe/Berlin,
openedApp,False,1800.0,1754027356.736665,youtube,breathingExercise,6.0,Europe/Berlin,Langeweile
closedApp,False,,1754029165.417505,youtube,,,Europe/Berlin,
openedApp,True,1800.0,1754029186.8913531,youtube,breathingExercise,6.0,Europe/Berlin,Infos suchen
closedApp,False,,1754029901.8250499,youtube,,,Europe/Berlin,
closedApp,False,,1754030890.9054961,youtube,,,Europe/Berlin,
openedApp,False,360.0,1754039031.078607,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1754039278.2662349,icecubes,,,Europe/Berlin,
closedApp,False,,1754040053.143502,icecubes,,,Europe/Berlin,
closedApp,False,,1754041047.3033261,icecubes,,,Europe/Berlin,
openedApp,False,300.0,1754052699.916496,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1754052796.4198852,icecubes,,,Europe/Berlin,
openedApp,False,420.0,1754078638.546317,youtube,breathingExercise,6.0,Europe/Berlin,Langeweile
closedApp,False,,1754079065.816612,youtube,,,Europe/Berlin,
openedApp,True,780.0,1754079081.293293,youtube,breathingExercise,6.0,Europe/Berlin,Langeweile
closedApp,False,,1754079540.3167439,youtube,,,Europe/Berlin,
openedApp,False,1380.0,1754081639.96139,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1754082392.300383,youtube,,,Europe/Berlin,
dismissedAppOpening,False,,1754082700.0546842,youtube,breathingExercise,6.0,Europe/Berlin,
openedApp,False,1020.0,1754082721.38326,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1754083207.844415,youtube,,,Europe/Berlin,
dismissedAppOpening,False,,1754084959.822402,icecubes,askForTimeLimit,6.0,Europe/Berlin,
openedApp,False,420.0,1754119959.994276,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1754120199.976141,icecubes,,,Europe/Berlin,
closedApp,False,,1754120217.607389,icecubes,,,Europe/Berlin,
closedApp,False,,1754120547.181531,icecubes,,,Europe/Berlin,
openedApp,False,1800.0,1754132051.96929,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1754133869.1438751,youtube,,,Europe/Berlin,
openedApp,True,1800.0,1754133887.66803,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1754135852.8450298,youtube,,,Europe/Berlin,
openedApp,True,1200.0,1754135871.26271,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1754136413.951716,youtube,,,Europe/Berlin,
openedApp,False,,1754137007.2346501,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
openedApp,False,,1754145349.963902,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1754145764.413101,youtube,,,Europe/Berlin,
dismissedAppOpening,False,,1754147256.801409,youtube,breathingExercise,6.0,Europe/Berlin,
openedApp,False,,1754147698.187883,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1754150268.7067552,youtube,,,Europe/Berlin,
openedApp,False,,1754150528.601046,youtube,breathingExercise,6.0,Europe/Berlin,Auf dem Laufenden bleiben
closedApp,False,,1754152108.222721,youtube,,,Europe/Berlin,
dismissedAppOpening,False,,1754156472.708576,youtube,breathingExercise,6.0,Europe/Berlin,
openedApp,False,,1754162849.52774,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1754162895.327609,youtube,,,Europe/Berlin,
closedApp,False,,1754171851.9511561,youtube,,,Europe/Berlin,
openedApp,False,,1754238904.721389,guardian,,,Europe/Berlin,
closedApp,False,,1754239504.72139,guardian,,,Europe/Berlin,
dismissedAppOpening,False,,1754239504.72139,guardian,,,Europe/Berlin,
openedApp,False,,1754239641.5561662,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1754240608.8981152,youtube,,,Europe/Berlin,
closedApp,False,,1754241522.475635,youtube,,,Europe/Berlin,
openedApp,False,1200.0,1754287705.6643028,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1754288916.61608,youtube,,,Europe/Berlin,
openedApp,True,,1754288933.727227,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1754289005.936191,youtube,,,Europe/Berlin,
closedApp,False,,1754289136.939179,youtube,,,Europe/Berlin,
closedApp,False,,1754289421.487644,youtube,,,Europe/Berlin,
closedApp,False,,1754289806.3863711,youtube,,,Europe/Berlin,
closedApp,False,,1754290502.463953,youtube,,,Europe/Berlin,
openedApp,False,1080.0,1754292755.3911319,youtube,breathingExercise,6.0,Europe/Berlin,Langeweile
closedApp,False,,1754293844.389545,youtube,,,Europe/Berlin,
openedApp,True,,1754293871.335425,youtube,breathingExercise,6.0,Europe/Berlin,Langeweile
closedApp,False,,1754298028.8690171,youtube,,,Europe/Berlin,
openedApp,False,,1754301150.438486,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1754302781.588148,youtube,,,Europe/Berlin,
dismissedAppOpening,False,,1754303734.0383692,youtube,breathingExercise,6.0,Europe/Berlin,
openedApp,False,,1754307834.0643392,youtube,breathingExercise,6.0,Europe/Berlin,Auf dem Laufenden bleiben
closedApp,False,,1754309132.104216,youtube,,,Europe/Berlin,
closedApp,False,,1754309688.762687,youtube,,,Europe/Berlin,
openedApp,False,,1754315692.4576612,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1754315753.468916,youtube,,,Europe/Berlin,
closedApp,False,,1754316667.945956,youtube,,,Europe/Berlin,
openedApp,False,900.0,1754370865.566839,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1754371770.4317331,icecubes,,,Europe/Berlin,
openedApp,False,1860.0,1754378146.306312,youtube,breathingExercise,6.0,Europe/Berlin,Klo
