resolution,timestamp,interventionDuration,interventionType,timezone,isReIntervention,app,timeIntervalUntilReIntervention
openedApp,1752751788.441144,6,askForTimeLimit,Europe/Paris,False,instagram,960.0
openedApp,1752751940.384656,6,askForTimeLimit,Europe/Paris,False,instagram,1380.0
openedApp,1752752530.23141,6,askForTimeLimit,Europe/Paris,False,instagram,1080.0
openedApp,1752757114.4042,6,askForTimeLimit,Europe/Paris,False,instagram,1500.0
openedApp,1752759323.900712,6,askForTimeLimit,Europe/Paris,False,instagram,780.0
openedApp,1752760646.4871721,6,askForTimeLimit,Europe/Paris,False,instagram,60.0
dismissedAppOpening,1752760732.0214481,6,askForTimeLimit,Europe/Paris,False,instagram,
dismissedAppOpening,1752760938.747025,6,askForTimeLimit,Europe/Paris,False,instagram,
dismissedAppOpening,1752763565.273221,6,askForTimeLimit,Europe/Paris,False,instagram,
openedApp,1752763579.360373,6,askForTimeLimit,Europe/Paris,False,instagram,360.0
openedApp,1752771175.7963018,6,askForTimeLimit,Europe/Paris,False,instagram,600.0
openedApp,1752771522.566423,6,askForTimeLimit,Europe/Paris,False,instagram,720.0
openedApp,1752771854.689199,6,askForTimeLimit,Europe/Paris,False,instagram,480.0
openedApp,1752772074.443799,6,askForTimeLimit,Europe/Paris,False,instagram,1560.0
openedApp,1752772633.236538,6,askForTimeLimit,Europe/Paris,False,instagram,1080.0
openedApp,1752772989.803843,6,askForTimeLimit,Europe/Paris,False,instagram,900.0
openedApp,1752773326.577876,6,askForTimeLimit,Europe/Paris,False,instagram,1380.0
openedApp,1752776581.617337,6,askForTimeLimit,Europe/Paris,False,instagram,1020.0
openedApp,1752777625.914778,6,breathingExercise,Europe/Paris,True,instagram,1260.0
openedApp,1752778757.052662,6,askForTimeLimit,Europe/Paris,False,instagram,900.0
openedApp,1752780820.5349278,6,askForTimeLimit,Europe/Paris,False,instagram,540.0
dismissedAppOpening,1752781717.259255,6,askForTimeLimit,Europe/Paris,False,instagram,
openedApp,1752783617.316483,6,askForTimeLimit,Europe/Paris,False,instagram,1320.0
openedApp,1752784322.252911,6,askForTimeLimit,Europe/Paris,False,instagram,540.0
openedApp,1752784744.247974,6,askForTimeLimit,Europe/Paris,False,instagram,720.0
openedApp,1752788250.535047,6,askForTimeLimit,Europe/Paris,False,instagram,1440.0
openedApp,1752788834.394112,6,askForTimeLimit,Europe/Paris,False,instagram,420.0
openedApp,1752819645.248207,6,askForTimeLimit,Europe/Paris,False,instagram,1140.0
openedApp,1752820209.5775151,6,askForTimeLimit,Europe/Paris,False,instagram,1200.0
openedApp,1752821288.3650331,6,askForTimeLimit,Europe/Paris,False,instagram,60.0
dismissedAppOpening,1752821406.865306,6,breathingExercise,Europe/Paris,False,instagram,
openedApp,1752823526.024739,6,askForTimeLimit,Europe/Paris,False,instagram,1140.0
openedApp,1752823657.437111,6,askForTimeLimit,Europe/Paris,False,instagram,1500.0
openedApp,1752824902.327009,6,askForTimeLimit,Europe/Paris,False,instagram,960.0
openedApp,1752825120.0686831,6,askForTimeLimit,Europe/Paris,False,instagram,960.0
openedApp,1752825292.0298471,6,askForTimeLimit,Europe/Paris,False,instagram,1200.0
openedApp,1752826366.8929992,6,askForTimeLimit,Europe/Paris,False,instagram,780.0
openedApp,1752826938.758455,6,askForTimeLimit,Europe/Paris,False,instagram,660.0
openedApp,1752827098.925727,6,askForTimeLimit,Europe/Paris,False,instagram,720.0
openedApp,1752827854.053214,6,askForTimeLimit,Europe/Paris,False,instagram,840.0
openedApp,1752828728.054093,6,askForTimeLimit,Europe/Paris,False,instagram,420.0
openedApp,1752831362.139089,6,askForTimeLimit,Europe/Paris,False,instagram,720.0
openedApp,1752832584.682936,6,askForTimeLimit,Europe/Paris,False,instagram,1260.0
openedApp,1752832757.552062,6,askForTimeLimit,Europe/Paris,False,instagram,840.0
openedApp,1752838335.909169,6,askForTimeLimit,Europe/Paris,False,instagram,360.0
openedApp,1752838621.389869,6,askForTimeLimit,Europe/Paris,False,instagram,720.0
openedApp,1752842391.256629,6,askForTimeLimit,Europe/Paris,False,instagram,1200.0
openedApp,1752847312.7382488,6,askForTimeLimit,Europe/Paris,False,instagram,1080.0
openedApp,1752847432.9982839,6,askForTimeLimit,Europe/Paris,False,instagram,1500.0
openedApp,1752852308.764818,6,askForTimeLimit,Europe/Paris,False,instagram,720.0
dismissedAppOpening,1752852485.913354,6,askForTimeLimit,Europe/Paris,False,instagram,
openedApp,1752852489.47457,6,askForTimeLimit,Europe/Paris,False,instagram,180.0
openedApp,1752852778.157474,6,askForTimeLimit,Europe/Paris,False,instagram,780.0
openedApp,1752854267.80016,6,askForTimeLimit,Europe/Paris,False,instagram,1200.0
openedApp,1752854404.181396,6,askForTimeLimit,Europe/Paris,False,instagram,960.0
dismissedAppOpening,1752854460.428286,6,askForTimeLimit,Europe/Paris,False,instagram,
openedApp,1752854470.9887362,6,askForTimeLimit,Europe/Paris,False,instagram,1500.0
dismissedAppOpening,1752854531.548183,6,askForTimeLimit,Europe/Paris,False,instagram,
openedApp,1752854535.906399,6,askForTimeLimit,Europe/Paris,False,instagram,1080.0
openedApp,1752855640.278655,6,breathingExercise,Europe/Paris,True,instagram,1140.0
openedApp,1752855829.194262,6,askForTimeLimit,Europe/Paris,False,instagram,1260.0
openedApp,1752856940.499895,6,askForTimeLimit,Europe/Paris,False,instagram,1380.0
openedApp,1752857395.285595,6,askForTimeLimit,Europe/Paris,False,instagram,1380.0
openedApp,1752857682.3979092,6,askForTimeLimit,Europe/Paris,False,instagram,1380.0
openedApp,1752858171.340016,6,askForTimeLimit,Europe/Paris,False,instagram,1320.0
openedApp,1752863816.186729,6,askForTimeLimit,Europe/Paris,False,instagram,1320.0
openedApp,1752865206.386473,6,askForTimeLimit,Europe/Paris,False,instagram,660.0
openedApp,1752868071.9755778,6,askForTimeLimit,Europe/Paris,False,instagram,780.0
openedApp,1752876437.303001,6,askForTimeLimit,Europe/Paris,False,instagram,900.0
openedApp,1752878204.2234678,6,askForTimeLimit,Europe/Paris,False,instagram,1080.0
openedApp,1752879175.3232188,6,askForTimeLimit,Europe/Paris,False,instagram,660.0
dismissedAppOpening,1752880403.6319752,6,breathingExercise,Europe/Paris,False,instagram,
openedApp,1752911402.361176,6,askForTimeLimit,Europe/Paris,False,instagram,1200.0
openedApp,1752912457.863706,6,askForTimeLimit,Europe/Paris,False,instagram,1200.0
openedApp,1752913435.5312629,6,askForTimeLimit,Europe/Paris,False,instagram,900.0
dismissedAppOpening,1752915160.932576,6,askForTimeLimit,Europe/Paris,False,instagram,
openedApp,1752921271.869652,6,askForTimeLimit,Europe/Paris,False,instagram,900.0
openedApp,1752922059.568609,6,askForTimeLimit,Europe/Paris,False,instagram,1020.0
openedApp,1752922661.578599,6,askForTimeLimit,Europe/Paris,False,instagram,1500.0
openedApp,1752924794.555529,6,askForTimeLimit,Europe/Paris,False,instagram,540.0
openedApp,1752927719.58794,6,askForTimeLimit,Europe/Paris,False,instagram,1320.0
openedApp,1752928723.7440119,6,askForTimeLimit,Europe/Paris,False,instagram,1500.0
openedApp,1752929492.926752,6,askForTimeLimit,Europe/Paris,False,instagram,1500.0
openedApp,1752929860.528057,6,askForTimeLimit,Europe/Paris,False,instagram,1380.0
openedApp,1752929981.573206,6,askForTimeLimit,Europe/Paris,False,instagram,1440.0
openedApp,1752930687.191196,6,askForTimeLimit,Europe/Paris,False,instagram,960.0
openedApp,1752930802.221592,6,askForTimeLimit,Europe/Paris,False,instagram,1200.0
