isReIntervention,interventionType,timezone,app,resolution,timestamp,interventionDuration,purpose
False,breathingExercise,America/Chicago,instagram,openedApp,1749327592.336822,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749328042.377427,6,Bored
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749349873.184746,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749349926.960711,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749350350.828954,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749384520.3285232,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749398539.0691261,6,Post something
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749423529.744077,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749423541.8623009,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749423558.88231,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749435228.373053,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749470935.392177,6,Message
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749473853.760541,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749473856.366105,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749473906.186085,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749479135.605926,6,Bored
False,breathingExercise,America/Chicago,tikTok,openedApp,1749480771.208184,6,Bored
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749481176.365902,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749481179.320949,6,
False,breathingExercise,America/Chicago,tikTok,dismissedAppOpening,1749485699.975391,6,
False,breathingExercise,America/Chicago,tikTok,openedApp,1749485741.957118,6,Search Info
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749495561.733166,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749495564.510188,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749501563.349299,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749502865.851221,6,
False,breathingExercise,America/Chicago,tikTok,openedApp,1749519581.4451718,6,Message
False,breathingExercise,America/Chicago,tikTok,openedApp,1749519639.475209,6,Can’t sleep
False,breathingExercise,America/Chicago,tikTok,dismissedAppOpening,1749520188.5391889,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749523263.5045738,6,Message
False,breathingExercise,America/Chicago,instagram,openedApp,1749551240.398392,6,Message
False,breathingExercise,America/Chicago,instagram,openedApp,1749556973.606142,6,Message
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749559481.149898,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749561984.887072,6,Message
False,breathingExercise,America/Chicago,instagram,openedApp,1749562180.708218,6,Message
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749565461.584502,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749565590.855746,6,Post something
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749565751.307548,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749565772.606622,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749566531.242871,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749566823.418828,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749567969.515171,6,Post something
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749568027.372683,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749568174.319539,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749570338.06805,6,Message
False,breathingExercise,America/Chicago,instagram,openedApp,1749571075.1749458,6,Post something
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749571514.065714,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749571549.813653,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749572012.198453,6,Stay In the Loop
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749573077.1132889,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749573167.201098,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749576099.9770842,6,Check likes
False,breathingExercise,America/Chicago,instagram,openedApp,1749581192.310834,6,Check likes
False,breathingExercise,America/Chicago,instagram,openedApp,1749581364.018446,6,Check likes
False,breathingExercise,America/Chicago,instagram,openedApp,1749582942.430605,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749583371.907862,6,Search Info
False,breathingExercise,America/Chicago,instagram,openedApp,1749584056.1105509,6,Post something
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749585580.5254068,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749589182.714655,6,Check likes
False,breathingExercise,America/Chicago,instagram,openedApp,1749590235.680821,6,Escape / Avoid
False,breathingExercise,America/Chicago,instagram,openedApp,1749590732.157021,6,Post something
False,breathingExercise,America/Chicago,tikTok,openedApp,1749591364.816294,6,Search Info
False,breathingExercise,America/Chicago,instagram,openedApp,1749594509.9509091,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749594643.235914,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749597267.319809,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749608900.055908,6,Check likes
False,breathingExercise,America/Chicago,instagram,openedApp,1749609221.2004251,6,Check likes
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749609402.599314,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749609458.36305,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749609560.458108,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749609673.192066,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749609796.9422898,6,Post something
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749612934.8608952,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749643764.0168262,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749643860.922896,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749648037.1008701,6,Search Info
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749649333.349873,6,
False,breathingExercise,America/Chicago,tikTok,openedApp,1749657230.1576781,6,Search Info
False,breathingExercise,America/Chicago,tikTok,openedApp,1749657341.308817,6,Check likes
False,breathingExercise,America/Chicago,tikTok,dismissedAppOpening,1749657848.978065,6,
False,breathingExercise,America/Chicago,tikTok,openedApp,1749658005.148999,6,Post something
