resolution,isReIntervention,interventionType,timestamp,app,interventionDuration,timezone,purpose
dismissedAppOpening,False,breathingExercise,1750949421.4148011,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750950977.159029,instagram,6,America/Vancouver,Stay In the Loop
openedApp,False,breathingExercise,1750956756.39528,instagram,6,America/Vancouver,Search Info
dismissedAppOpening,False,breathingExercise,1750957089.2229881,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750965328.146904,instagram,6,America/Vancouver,Message
dismissedAppOpening,False,breathingExercise,1750966404.692669,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1750967309.7380319,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750967330.606862,instagram,6,America/Vancouver,Entertainment
dismissedAppOpening,False,breathingExercise,1750987192.667022,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750996790.346719,instagram,6,America/Vancouver,Search Info
openedApp,False,breathingExercise,1751034429.5467281,instagram,6,America/Vancouver,Entertainment
dismissedAppOpening,False,breathingExercise,1751034972.979594,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1751035020.848165,instagram,6,America/Vancouver,Search Info
dismissedAppOpening,False,breathingExercise,1751037182.287499,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1751037768.912286,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1751038380.52858,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1751086483.5387778,instagram,6,America/Vancouver,Entertainment
dismissedAppOpening,False,breathingExercise,1751134075.6460152,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1751136385.809967,instagram,6,America/Vancouver,Toilet
openedApp,False,breathingExercise,1751158751.4970279,instagram,6,America/Vancouver,Message
openedApp,False,breathingExercise,1751183872.710552,instagram,6,America/Vancouver,Relax
dismissedAppOpening,False,breathingExercise,1751233232.382251,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1751233257.5321789,instagram,6,America/Vancouver,Toilet
openedApp,False,breathingExercise,1751233830.948255,instagram,6,America/Vancouver,Toilet
openedApp,False,breathingExercise,1751249297.488812,instagram,6,America/Vancouver,Toilet
openedApp,False,breathingExercise,1751256109.4948611,instagram,6,America/Vancouver,Search Info
openedApp,False,breathingExercise,1751290084.120933,instagram,6,America/Vancouver,Toilet
dismissedAppOpening,False,breathingExercise,1751290845.665858,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1751291628.798157,instagram,6,America/Vancouver,Relax
openedApp,False,breathingExercise,1751296000.188603,instagram,6,America/Vancouver,Toilet
openedApp,False,breathingExercise,1751309471.9228358,instagram,6,America/Vancouver,Escape / Avoid
openedApp,False,breathingExercise,1751309927.144318,instagram,6,America/Vancouver,Escape / Avoid
dismissedAppOpening,False,breathingExercise,1751319976.311143,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1751340563.079072,instagram,6,America/Vancouver,Relax
openedApp,False,breathingExercise,1751340753.2841039,instagram,6,America/Vancouver,Relax
dismissedAppOpening,False,breathingExercise,1751344784.854126,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1751382260.074218,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1751383974.892717,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1751383994.475539,instagram,6,America/Vancouver,Relax
openedApp,False,breathingExercise,1751414748.3954,instagram,6,America/Vancouver,Relax
openedApp,False,breathingExercise,1751415454.798238,instagram,6,America/Vancouver,Toilet
dismissedAppOpening,False,breathingExercise,1751418715.472509,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1751421233.8992891,instagram,6,America/Vancouver,Stay In the Loop
openedApp,False,breathingExercise,1751431037.9045181,instagram,6,America/Vancouver,Entertainment
openedApp,False,breathingExercise,1751431350.307904,instagram,6,America/Vancouver,Entertainment
openedApp,False,breathingExercise,1751433011.910176,instagram,6,America/Vancouver,Toilet
openedApp,False,breathingExercise,1751441337.9827828,instagram,6,America/Vancouver,Escape / Avoid
