interventionDuration,timezone,interventionType,timestamp,resolution,app,isReIntervention
6,Europe/Madrid,breathingExercise,1749656922.714198,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749658272.671288,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749662692.672072,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749668936.750421,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749669943.9697618,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749669947.566928,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749672259.871465,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749673667.833791,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749676298.6122,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749709804.885452,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749713712.669845,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749713899.804863,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749714205.475626,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749714310.0374699,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749714312.654681,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749714991.795179,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749718022.105716,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749721580.181109,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749727372.0439491,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749727800.650389,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749727890.209841,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749730263.0394158,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749730283.874783,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749730344.822505,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749730465.545285,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749731347.041119,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749732767.309443,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749733457.218051,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749736011.902133,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749737730.387247,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749745294.21401,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749745408.6703,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749748121.678183,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749749915.977864,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749750884.9830809,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749754826.453517,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749755688.084608,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749756369.714154,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749756555.944001,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749756999.0588899,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749761379.561022,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749761534.801692,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749762653.4703379,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749763448.664392,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749763469.964078,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749804063.596761,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749805005.7946892,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749808488.69825,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749810842.653287,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749811160.9211822,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749813148.910933,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749813187.797044,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749813779.453479,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749814528.708276,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749815994.628446,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749823446.349905,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749823580.157264,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749824782.7767348,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749825172.092499,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749831638.0526628,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749831823.064791,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749832342.750371,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749841219.860145,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749841594.683469,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749841804.9657722,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749842057.082962,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749842741.0428128,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749843091.175354,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749845944.077084,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749847908.703449,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749848627.770615,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749881357.015873,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749882849.1904268,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749886725.272972,dismissedAppOpening,instagram,False
