resolution,timestamp,app,interventionDuration,timezone,isReIntervention,interventionType
closedApp,1752942196.9404712,youtube,,Asia/Kolkata,False,
closedApp,1752942407.083632,youtube,,Asia/Kolkata,False,
closedApp,1752942412.267828,youtube,,Asia/Kolkata,False,
closedApp,1752942432.578259,youtube,,Asia/Kolkata,False,
closedApp,1752943067.651622,youtube,,Asia/Kolkata,False,
closedApp,1752943097.1064758,youtube,,Asia/Kolkata,False,
closedApp,1752943203.294627,youtube,,Asia/Kolkata,False,
closedApp,1752943441.199656,youtube,,Asia/Kolkata,False,
closedApp,1752943633.942245,youtube,,Asia/Kolkata,False,
closedApp,1752943641.178225,youtube,,Asia/Kolkata,False,
openedApp,1752993094.693625,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1752993095.070207,youtube,,Asia/Kolkata,False,
closedApp,1752993157.3128428,youtube,,Asia/Kolkata,False,
closedApp,1752993174.161878,youtube,,Asia/Kolkata,False,
closedApp,1752993209.549017,youtube,,Asia/Kolkata,False,
closedApp,1752993231.857657,youtube,,Asia/Kolkata,False,
closedApp,1752993257.312643,youtube,,Asia/Kolkata,False,
openedApp,1752999036.018189,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1752999036.3626041,youtube,,Asia/Kolkata,False,
closedApp,1752999101.138647,youtube,,Asia/Kolkata,False,
closedApp,1753002511.9396238,youtube,,Asia/Kolkata,False,
closedApp,1753002865.530868,youtube,,Asia/Kolkata,False,
closedApp,1753002885.572577,youtube,,Asia/Kolkata,False,
closedApp,1753003004.048126,youtube,,Asia/Kolkata,False,
closedApp,1753003042.339452,youtube,,Asia/Kolkata,False,
closedApp,1753021899.014797,youtube,,Asia/Kolkata,False,
closedApp,1753022425.015413,youtube,,Asia/Kolkata,False,
closedApp,1753022853.9980679,youtube,,Asia/Kolkata,False,
dismissedAppOpening,1753025622.266313,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1753025635.168062,youtube,,Asia/Kolkata,False,
closedApp,1753025696.674279,youtube,,Asia/Kolkata,False,
closedApp,1753025698.467087,youtube,,Asia/Kolkata,False,
closedApp,1753026294.12167,youtube,,Asia/Kolkata,False,
closedApp,1753028282.187387,youtube,,Asia/Kolkata,False,
closedApp,1753030391.6243238,youtube,,Asia/Kolkata,False,
closedApp,1753034921.854111,youtube,,Asia/Kolkata,False,
closedApp,1753035033.7688599,youtube,,Asia/Kolkata,False,
closedApp,1753035559.5214229,youtube,,Asia/Kolkata,False,
closedApp,1753035591.235692,youtube,,Asia/Kolkata,False,
closedApp,1753036333.8311539,youtube,,Asia/Kolkata,False,
closedApp,1753065153.5856838,youtube,,Asia/Kolkata,False,
closedApp,1753065499.4155931,youtube,,Asia/Kolkata,False,
closedApp,1753066165.500905,youtube,,Asia/Kolkata,False,
closedApp,1753066204.821402,youtube,,Asia/Kolkata,False,
closedApp,1753066953.0986218,youtube,,Asia/Kolkata,False,
closedApp,1753067232.744787,youtube,,Asia/Kolkata,False,
closedApp,1753070444.959892,youtube,,Asia/Kolkata,False,
closedApp,1753071309.188972,youtube,,Asia/Kolkata,False,
closedApp,1753072188.664155,youtube,,Asia/Kolkata,False,
closedApp,1753072329.28877,youtube,,Asia/Kolkata,False,
closedApp,1753072510.426643,youtube,,Asia/Kolkata,False,
closedApp,1753072531.534724,youtube,,Asia/Kolkata,False,
closedApp,1753072556.600123,youtube,,Asia/Kolkata,False,
closedApp,1753072570.52666,youtube,,Asia/Kolkata,False,
dismissedAppOpening,1753072578.275917,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1753072598.383126,youtube,,Asia/Kolkata,False,
closedApp,1753072611.451539,youtube,,Asia/Kolkata,False,
closedApp,1753072623.501751,youtube,,Asia/Kolkata,False,
closedApp,1753072640.833661,youtube,,Asia/Kolkata,False,
closedApp,1753072663.692429,youtube,,Asia/Kolkata,False,
closedApp,1753072677.874964,youtube,,Asia/Kolkata,False,
dismissedAppOpening,1753072689.7359471,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1753072694.830848,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1753072697.17688,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1753072722.095398,youtube,,Asia/Kolkata,False,
closedApp,1753072742.031124,youtube,,Asia/Kolkata,False,
closedApp,1753072747.3390121,youtube,,Asia/Kolkata,False,
closedApp,1753072769.449359,youtube,,Asia/Kolkata,False,
closedApp,1753072810.9226131,youtube,,Asia/Kolkata,False,
closedApp,1753072831.022583,youtube,,Asia/Kolkata,False,
closedApp,1753072851.605825,youtube,,Asia/Kolkata,False,
closedApp,1753072866.521743,youtube,,Asia/Kolkata,False,
closedApp,1753072876.637569,youtube,,Asia/Kolkata,False,
closedApp,1753072889.1154552,youtube,,Asia/Kolkata,False,
closedApp,1753072911.8385758,youtube,,Asia/Kolkata,False,
closedApp,1753072923.7966151,youtube,,Asia/Kolkata,False,
closedApp,1753072936.493137,youtube,,Asia/Kolkata,False,
closedApp,1753072942.87797,youtube,,Asia/Kolkata,False,
closedApp,1753072980.218384,youtube,,Asia/Kolkata,False,
closedApp,1753072984.253217,youtube,,Asia/Kolkata,False,
closedApp,1753072999.157889,youtube,,Asia/Kolkata,False,
closedApp,1753073005.6611152,youtube,,Asia/Kolkata,False,
closedApp,1753073019.781513,youtube,,Asia/Kolkata,False,
closedApp,1753073025.9328,youtube,,Asia/Kolkata,False,
closedApp,1753073046.917553,youtube,,Asia/Kolkata,False,
closedApp,1753073049.887367,youtube,,Asia/Kolkata,False,
closedApp,1753073079.711946,youtube,,Asia/Kolkata,False,
closedApp,1753073092.064612,youtube,,Asia/Kolkata,False,
closedApp,1753073128.390617,youtube,,Asia/Kolkata,False,
closedApp,1753073186.836734,youtube,,Asia/Kolkata,False,
closedApp,1753073837.423689,youtube,,Asia/Kolkata,False,
closedApp,1753074711.8484302,youtube,,Asia/Kolkata,False,
closedApp,1753075125.973871,youtube,,Asia/Kolkata,False,
closedApp,1753075420.491942,youtube,,Asia/Kolkata,False,
closedApp,1753075425.270976,youtube,,Asia/Kolkata,False,
closedApp,1753075471.312028,youtube,,Asia/Kolkata,False,
closedApp,1753075812.410332,youtube,,Asia/Kolkata,False,
closedApp,1753077255.6867452,youtube,,Asia/Kolkata,False,
dismissedAppOpening,1753077266.649417,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1753077267.898166,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1753077270.1383471,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1753077335.4391608,youtube,,Asia/Kolkata,False,
closedApp,1753077368.6500258,youtube,,Asia/Kolkata,False,
closedApp,1753077384.5089931,youtube,,Asia/Kolkata,False,
closedApp,1753077602.489609,youtube,,Asia/Kolkata,False,
closedApp,1753079521.1742291,youtube,,Asia/Kolkata,False,
closedApp,1753079954.242752,youtube,,Asia/Kolkata,False,
closedApp,1753080154.154128,youtube,,Asia/Kolkata,False,
closedApp,1753080195.034729,youtube,,Asia/Kolkata,False,
closedApp,1753081076.987109,youtube,,Asia/Kolkata,False,
closedApp,1753081279.140777,youtube,,Asia/Kolkata,False,
closedApp,1753083326.946866,youtube,,Asia/Kolkata,False,
closedApp,1753084002.465168,youtube,,Asia/Kolkata,False,
closedApp,1753084066.6570458,youtube,,Asia/Kolkata,False,
closedApp,1753084543.5422611,youtube,,Asia/Kolkata,False,
dismissedAppOpening,1753091801.4888601,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1753093740.136742,youtube,,Asia/Kolkata,False,
closedApp,1753094717.913334,youtube,,Asia/Kolkata,False,
closedApp,1753095267.134647,youtube,,Asia/Kolkata,False,
openedApp,1753108572.434135,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1753108572.823339,youtube,,Asia/Kolkata,False,
closedApp,1753108666.818828,youtube,,Asia/Kolkata,False,
closedApp,1753121289.6078749,youtube,,Asia/Kolkata,False,
closedApp,1753121303.7110848,youtube,,Asia/Kolkata,False,
closedApp,1753121317.769634,youtube,,Asia/Kolkata,False,
closedApp,1753121367.94086,youtube,,Asia/Kolkata,False,
closedApp,1753121381.0041652,youtube,,Asia/Kolkata,False,
closedApp,1753145291.047779,youtube,,Asia/Kolkata,False,
closedApp,1753145391.6214828,youtube,,Asia/Kolkata,False,
closedApp,1753145402.448262,youtube,,Asia/Kolkata,False,
closedApp,1753145415.771834,youtube,,Asia/Kolkata,False,
