interventionDuration,timezone,interventionType,resolution,app,isReIntervention,timestamp
,America/Toronto,,closedApp,instagram,False,1750610894.840024
,America/Toronto,,closedApp,instagram,False,1750611142.394263
,America/Toronto,,closedApp,instagram,False,1750611513.565263
,America/Toronto,,closedApp,instagram,False,1750612553.681597
,America/Toronto,,closedApp,instagram,False,1750613035.070955
,America/Toronto,,closedApp,instagram,False,1750616051.1532068
,America/Toronto,,closedApp,instagram,False,1750616123.6301088
6.0,America/Toronto,breathingExercise,dismissedAppOpening,instagram,False,1750618137.326489
,America/Toronto,,closedApp,instagram,False,1750632711.5195
,America/Toronto,,closedApp,instagram,False,1750632746.632961
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1750633049.632227
,America/Toronto,,closedApp,instagram,False,1750633051.165934
6.0,America/Toronto,breathingExercise,dismissedAppOpening,instagram,False,1750644542.996056
,America/Toronto,,closedApp,instagram,False,1750644754.606296
,America/Toronto,,closedApp,instagram,False,1750645243.912533
,America/Toronto,,closedApp,instagram,False,1750646508.3416638
,America/Toronto,,closedApp,instagram,False,1750646577.773944
,America/Toronto,,closedApp,instagram,False,1750646708.3997989
,America/Toronto,,closedApp,instagram,False,1750647413.8726568
,America/Toronto,,closedApp,instagram,False,1750647613.5957851
,America/Toronto,,closedApp,instagram,False,1750648237.84964
,America/Toronto,,closedApp,instagram,False,1750648306.7405539
,America/Toronto,,closedApp,instagram,False,1750648948.4396691
,America/Toronto,,closedApp,instagram,False,1750650193.2462568
,America/Toronto,,closedApp,instagram,False,1750650710.314925
,America/Toronto,,closedApp,instagram,False,1750650875.392268
,America/Toronto,,closedApp,instagram,False,1750650901.782837
,America/Toronto,,closedApp,instagram,False,1750650951.3337898
,America/Toronto,,closedApp,instagram,False,1750650964.38871
,America/Toronto,,closedApp,instagram,False,1750651037.4144359
,America/Toronto,,closedApp,instagram,False,1750651136.340239
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1750681981.128162
,America/Toronto,,closedApp,instagram,False,1750681986.594739
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1750683932.6947
,America/Toronto,,closedApp,instagram,False,1750683933.302915
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1750697171.8247352
6.0,America/Toronto,breathingExercise,dismissedAppOpening,instagram,False,1750697681.366434
,America/Toronto,,closedApp,instagram,False,1750697173.461014
,America/Toronto,,closedApp,instagram,False,1750697582.1209412
,America/Toronto,,closedApp,instagram,False,1750697582.453053
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1750697737.371364
,America/Toronto,,closedApp,instagram,False,1750697739.087048
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1750704286.8011131
,America/Toronto,,closedApp,instagram,False,1750704287.427212
,America/Toronto,,closedApp,instagram,False,1750704340.225678
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1750714265.766531
,America/Toronto,,closedApp,instagram,False,1750714266.4543881
,America/Toronto,,closedApp,instagram,False,1750714300.527286
,America/Toronto,,closedApp,instagram,False,1750714405.576517
,America/Toronto,,closedApp,instagram,False,1750714406.429483
,America/Toronto,,closedApp,instagram,False,1750714415.086518
,America/Toronto,,closedApp,instagram,False,1750714501.019144
