resolution,timezone,timestamp,interventionType,isReIntervention,interventionDuration,app
openedApp,America/Mexico_City,1750270769.81773,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750271299.563678,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750271828.7263489,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750271998.5492082,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750272226.990237,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750272246.9961162,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750273898.350706,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750275035.333483,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750275053.5115,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750277772.717309,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750282743.365436,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750285751.188367,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750286083.786388,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750288421.358965,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750295697.931865,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750302858.59126,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750304461.086837,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750306915.034212,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750307419.589916,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750317636.957037,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750317833.725377,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750318558.811452,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750344064.1058378,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750345190.326284,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750349474.0110168,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750349551.688854,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750351187.313278,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750351283.1834068,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750351861.887083,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750353411.6571941,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750353620.332324,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750357681.9682078,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750357707.516715,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750357775.4246402,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750360871.0012999,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750364385.59759,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750364669.762278,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750367121.044846,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750367140.560077,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750367548.5968552,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750369315.331114,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750370475.735182,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750370708.831672,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750371103.577149,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750375386.974927,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750377581.609158,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750379352.132312,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750379491.20807,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750386391.1207461,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750389883.637992,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750390638.903668,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750392083.0356832,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750394079.608306,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750400619.770529,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750400916.1611161,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750405663.406156,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750436740.8582258,breathingExercise,False,6,instagram
