interventionDuration,app,resolution,isReIntervention,timezone,interventionType,timestamp,timeIntervalUntilReIntervention,purpose
6.0,whastapp,openedApp,False,Asia/Kolkata,breathingExercise,1751771996.264746,,
6.0,whastapp,openedApp,False,Asia/Kolkata,breathingExercise,1751772266.881732,,
6.0,whastapp,openedApp,False,Asia/Kolkata,breathingExercise,1751773325.29217,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751773711.2108588,,
6.0,whastapp,openedApp,False,Asia/Kolkata,breathingExercise,1751774452.283484,,
6.0,whastapp,openedApp,False,Asia/Kolkata,breathingExercise,1751775193.8157191,,
6.0,whastapp,openedApp,False,Asia/Kolkata,breathingExercise,1751775457.208504,,
6.0,whastapp,openedApp,False,Asia/Kolkata,breathingExercise,1751775646.703495,,
,whastapp,dismissedAppOpening,False,Asia/Kolkata,journaling,1751775774.236199,,
6.0,whastapp,openedApp,False,Asia/Kolkata,breathingExercise,1751777448.9090161,,
,instagram,openedApp,False,Asia/Kolkata,,1751779582.65469,,
,instagram,closedApp,False,Asia/Kolkata,,1751779642.654691,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751779642.654691,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751779808.3667688,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751782903.0737128,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751783285.346075,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751795029.970869,,
,instagram,openedApp,False,Asia/Kolkata,,1751795094.841023,,
,instagram,closedApp,False,Asia/Kolkata,,1751795154.841024,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751795154.841024,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751821778.024166,,
,instagram,openedApp,False,Asia/Kolkata,,1751821720.751153,,
,instagram,closedApp,False,Asia/Kolkata,,1751821780.751153,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751821780.751153,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751821799.7166882,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751821998.3782291,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751822137.620222,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751822271.9184818,,
,instagram,openedApp,False,Asia/Kolkata,,1751822514.539355,,
,instagram,closedApp,False,Asia/Kolkata,,1751822574.539356,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751822574.539356,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751826696.241593,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751826775.61419,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751826852.17879,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751871698.2915401,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751871835.6444511,,
,instagram,openedApp,False,Asia/Kolkata,,1751872754.486417,,
,instagram,closedApp,False,Asia/Kolkata,,1751872814.486418,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751872814.486418,,
,instagram,openedApp,False,Asia/Kolkata,,1751873691.917863,,
,instagram,closedApp,False,Asia/Kolkata,,1751873751.917863,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751873751.917863,,
,instagram,openedApp,False,Asia/Kolkata,,1751888161.652923,,
,instagram,closedApp,False,Asia/Kolkata,,1751888221.652924,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751888221.652924,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751888456.887495,,
,instagram,openedApp,False,Asia/Kolkata,,1751888521.601831,,
,instagram,closedApp,False,Asia/Kolkata,,1751888581.601832,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751888581.601832,,
,instagram,openedApp,False,Asia/Kolkata,,1751897043.1902962,,
,instagram,closedApp,False,Asia/Kolkata,,1751897103.1902971,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751897103.1902971,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751948527.971439,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751948684.673318,,
,instagram,openedApp,False,Asia/Kolkata,,1751958342.083084,,
,instagram,closedApp,False,Asia/Kolkata,,1751958402.083084,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751958402.083084,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751958420.722605,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751959028.378726,,
,instagram,openedApp,False,Asia/Kolkata,,1751967447.571848,,
,instagram,closedApp,False,Asia/Kolkata,,1751967507.5718489,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751967507.5718489,,
,instagram,openedApp,False,Asia/Kolkata,,1751999591.813945,,
,instagram,closedApp,False,Asia/Kolkata,,1751999651.813945,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751999651.813945,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752032990.3449512,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752034085.677161,,
,instagram,openedApp,False,Asia/Kolkata,,1752036961.025625,,
,instagram,closedApp,False,Asia/Kolkata,,1752037021.025625,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1752037021.025626,,
,instagram,openedApp,False,Asia/Kolkata,,1752044517.02453,,
,instagram,closedApp,False,Asia/Kolkata,,1752044577.024531,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1752044577.024531,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1752044593.366431,,
