interventionType,app,interventionDuration,timestamp,isReIntervention,resolution,timezone,purpose
,youtube,,1749379835.41626,False,closedApp,Asia/Kolkata,
,youtube,,1749380692.9768739,False,closedApp,Asia/Kolkata,
,youtube,,1749380710.409172,False,closedApp,Asia/Kolkata,
,youtube,,1749380793.37204,False,closedApp,Asia/Kolkata,
,youtube,,1749410377.170233,False,closedApp,Asia/Kolkata,
,youtube,,1749447993.612616,False,closedApp,Asia/Kolkata,
,youtube,,1749450274.3981838,False,closedApp,Asia/Kolkata,
,youtube,,1749450376.0479078,False,closedApp,Asia/Kolkata,
,youtube,,1749452131.61161,False,closedApp,Asia/Kolkata,
breathingExercise,youtube,6.0,1749480508.933255,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749483100.57967,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749488918.412703,False,dismissedAppOpening,Asia/Kolkata,
breathingExercise,youtube,6.0,1749499460.75436,False,openedApp,Asia/Kolkata,Can’t sleep
breathingExercise,youtube,6.0,1749502664.3519769,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749529661.567723,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749534921.848157,False,dismissedAppOpening,Asia/Kolkata,
breathingExercise,youtube,6.0,1749537251.209797,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749540135.956975,False,dismissedAppOpening,Asia/Kolkata,
breathingExercise,youtube,6.0,1749577868.303053,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749585218.509265,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749588419.8745089,False,dismissedAppOpening,Asia/Kolkata,
breathingExercise,youtube,6.0,1749588442.637773,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749627725.3654141,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749635968.294786,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749662778.808357,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749708991.344092,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749714199.102917,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749747382.513564,False,dismissedAppOpening,Asia/Kolkata,
breathingExercise,youtube,6.0,1749749916.153295,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749752780.264055,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749814838.0613642,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749825223.2678041,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749838243.9567719,False,openedApp,Asia/Kolkata,Search Info
breathingExercise,youtube,6.0,1749845921.314734,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749927566.69023,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749930552.877321,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749934732.1445,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749962943.897192,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749965301.1629062,False,openedApp,Asia/Kolkata,Entertainment
breathingExercise,youtube,6.0,1749967348.4376512,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749992565.572185,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1750003858.99173,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1750019323.531538,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1750078845.54145,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1750082317.856374,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1750100626.375155,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1750102065.675669,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1750161074.5588999,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1750169021.918326,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1750173912.3516111,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1750177371.159912,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1750187952.557195,False,openedApp,Asia/Kolkata,Escape / Avoid
,youtube,,1749481088.344672,False,closedApp,Asia/Kolkata,
,youtube,,1749483877.546369,False,closedApp,Asia/Kolkata,
,youtube,,1749499465.8132129,False,closedApp,Asia/Kolkata,
,youtube,,1749500840.219833,False,closedApp,Asia/Kolkata,
,youtube,,1749500848.061307,False,closedApp,Asia/Kolkata,
,youtube,,1749503340.169038,False,closedApp,Asia/Kolkata,
,youtube,,1749529722.942338,False,closedApp,Asia/Kolkata,
,youtube,,1749529726.826515,False,closedApp,Asia/Kolkata,
,youtube,,1749532240.528197,False,closedApp,Asia/Kolkata,
,youtube,,1749539328.302024,False,closedApp,Asia/Kolkata,
,youtube,,1749578810.271296,False,closedApp,Asia/Kolkata,
,youtube,,1749586271.055677,False,closedApp,Asia/Kolkata,
,youtube,,1749590181.371961,False,closedApp,Asia/Kolkata,
,youtube,,1749627950.16263,False,closedApp,Asia/Kolkata,
,youtube,,1749631355.2652578,False,closedApp,Asia/Kolkata,
,youtube,,1749632278.004595,False,closedApp,Asia/Kolkata,
,youtube,,1749635972.6527681,False,closedApp,Asia/Kolkata,
,youtube,,1749641864.708972,False,closedApp,Asia/Kolkata,
,youtube,,1749662782.331204,False,closedApp,Asia/Kolkata,
,youtube,,1749664388.0968971,False,closedApp,Asia/Kolkata,
,youtube,,1749668124.679275,False,closedApp,Asia/Kolkata,
,youtube,,1749709012.274804,False,closedApp,Asia/Kolkata,
,youtube,,1749709366.091236,False,closedApp,Asia/Kolkata,
,youtube,,1749714205.593096,False,closedApp,Asia/Kolkata,
,youtube,,1749715158.025188,False,closedApp,Asia/Kolkata,
,youtube,,1749751188.371517,False,closedApp,Asia/Kolkata,
,youtube,,1749754380.282234,False,closedApp,Asia/Kolkata,
,youtube,,1749815049.82438,False,closedApp,Asia/Kolkata,
,youtube,,1749815056.813746,False,closedApp,Asia/Kolkata,
,youtube,,1749815247.811374,False,closedApp,Asia/Kolkata,
,youtube,,1749818145.454618,False,closedApp,Asia/Kolkata,
