interventionType,isReIntervention,timezone,interventionDuration,timestamp,resolution,app,purpose,timeIntervalUntilReIntervention
breathingExercise,False,Asia/Kolkata,6.0,1752756427.111998,openedApp,youtube,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752757172.451565,openedApp,youtube,Relax,
breathingExercise,False,Asia/Kolkata,6.0,1752758152.3700461,openedApp,youtube,Bored,
breathingExercise,False,Asia/Kolkata,6.0,1752759530.188374,openedApp,instagram,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752760327.416801,openedApp,instagram,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752760883.726548,openedApp,instagram,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752761385.359528,openedApp,instagram,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752761907.864623,openedApp,instagram,Escape / Avoid,
,False,Asia/Kolkata,,1752762329.560641,openedApp,instagram,,
,False,Asia/Kolkata,,1752762509.560642,closedApp,instagram,,
,False,Asia/Kolkata,,1752762509.560642,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1752763703.116221,openedApp,instagram,Check likes,
breathingExercise,False,Asia/Kolkata,6.0,1752764204.559818,openedApp,instagram,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752764763.102443,openedApp,instagram,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752765318.980154,openedApp,instagram,Escape / Avoid,
,False,Asia/Kolkata,,1752765741.552892,openedApp,instagram,,
,False,Asia/Kolkata,,1752765921.5528932,closedApp,instagram,,
,False,Asia/Kolkata,,1752765921.5528932,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1752765946.82917,openedApp,instagram,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752766400.0636,openedApp,instagram,Post something,
breathingExercise,False,Asia/Kolkata,6.0,1752769575.2681289,openedApp,instagram,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752769999.743238,openedApp,instagram,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752770950.809822,openedApp,instagram,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752772179.223583,openedApp,instagram,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752773204.610784,openedApp,instagram,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752773600.580737,openedApp,instagram,Escape / Avoid,
,False,Asia/Kolkata,,1752774007.30391,openedApp,instagram,,
,False,Asia/Kolkata,,1752774187.3039122,closedApp,instagram,,
,False,Asia/Kolkata,,1752774187.3039122,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1752774291.5854402,openedApp,instagram,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752774910.483302,openedApp,instagram,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752775588.3071241,openedApp,instagram,Relax,
breathingExercise,False,Asia/Kolkata,6.0,1752775843.362459,openedApp,instagram,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752776585.5456,openedApp,instagram,Relax,
breathingExercise,False,Asia/Kolkata,6.0,1752777201.1610231,openedApp,instagram,Relax,
,False,Asia/Kolkata,,1752777604.806357,openedApp,instagram,,
,False,Asia/Kolkata,,1752777784.806357,closedApp,instagram,,
,False,Asia/Kolkata,,1752777784.806357,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1752778444.329997,openedApp,youtube,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752848662.885716,openedApp,instagram,Message,
,False,Asia/Kolkata,,1752849081.977291,openedApp,instagram,,
,False,Asia/Kolkata,,1752849261.977291,closedApp,instagram,,
,False,Asia/Kolkata,,1752849261.977291,dismissedAppOpening,instagram,,
breathingExercise,False,Asia/Kolkata,6.0,1752884990.865334,openedApp,instagram,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752885202.791432,openedApp,instagram,Escape / Avoid,
,False,Asia/Kolkata,,1752885611.033956,openedApp,instagram,,
,False,Asia/Kolkata,,1752885791.033957,closedApp,instagram,,
,False,Asia/Kolkata,,1752885791.033957,dismissedAppOpening,instagram,,
,False,Asia/Kolkata,,1752888927.7424788,openedApp,youtube,,
,False,Asia/Kolkata,,1752889047.74248,closedApp,youtube,,
,False,Asia/Kolkata,,1752889047.74248,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752889429.493573,openedApp,instagram,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752917600.761506,openedApp,instagram,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752918649.727704,openedApp,instagram,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752919329.194674,openedApp,instagram,Escape / Avoid,
