resolution,interventionDuration,interventionType,timestamp,timezone,timeIntervalUntilReIntervention,app,isReIntervention
openedApp,6.0,askForTimeLimit,1752166409.885971,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752167334.745613,America/Sao_Paulo,120.0,instagram,False
openedApp,6.0,askForTimeLimit,1752167368.028331,America/Sao_Paulo,180.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752168003.4087648,America/Sao_Paulo,180.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752168021.558074,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752168106.367521,America/Sao_Paulo,240.0,instagram,False
dismissedAppOpening,6.0,breathingExercise,1752169750.265398,America/Sao_Paulo,,instagram,False
openedApp,6.0,breathingExercise,1752170545.503942,America/Sao_Paulo,120.0,instagram,False
openedApp,6.0,askForTimeLimit,1752172009.3179832,America/Sao_Paulo,300.0,tikTok,False
dismissedAppOpening,6.0,askForTimeLimit,1752172091.013328,America/Sao_Paulo,,tikTok,False
dismissedAppOpening,6.0,askForTimeLimit,1752172991.884011,America/Sao_Paulo,,tikTok,False
openedApp,6.0,askForTimeLimit,1752172996.7014499,America/Sao_Paulo,120.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752173026.635116,America/Sao_Paulo,240.0,instagram,False
dismissedAppOpening,6.0,askForTimeLimit,1752181603.549593,America/Sao_Paulo,,instagram,False
openedApp,6.0,askForTimeLimit,1752183874.6369572,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752184011.159653,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,askForTimeLimit,1752184139.58996,America/Sao_Paulo,300.0,instagram,False
dismissedAppOpening,6.0,askForTimeLimit,1752184360.015192,America/Sao_Paulo,,instagram,False
openedApp,6.0,askForTimeLimit,1752184375.533557,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752184900.871505,America/Sao_Paulo,240.0,instagram,False
dismissedAppOpening,6.0,askForTimeLimit,1752185031.147125,America/Sao_Paulo,,instagram,False
openedApp,6.0,askForTimeLimit,1752185126.506803,America/Sao_Paulo,360.0,instagram,False
openedApp,6.0,askForTimeLimit,1752185271.9452019,America/Sao_Paulo,120.0,instagram,False
openedApp,6.0,askForTimeLimit,1752185494.597111,America/Sao_Paulo,120.0,instagram,False
