timezone,timestamp,isReIntervention,app,resolution,interventionDuration,purpose,interventionType
America/Denver,1751656166.114485,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751670348.402884,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751682789.158912,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751684607.125393,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751686063.8926048,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751727329.65268,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751727680.381089,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751728710.2113109,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751734950.98735,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751739710.3102431,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751743382.689258,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751745681.820967,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751745833.2230802,False,instagram,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751747659.540882,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751751826.83899,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751753165.611867,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751757357.475356,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751763285.8546228,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751771775.829568,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751814178.912097,False,instagram,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751815778.7704868,False,facebook,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1751817963.465551,False,instagram,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751822849.701109,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751826329.3744922,False,instagram,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751828230.88621,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751832402.205,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751836407.130903,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751839381.100184,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751840674.078302,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751843238.157524,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751843743.117727,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751845648.5812259,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751846483.463615,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751848928.5640721,False,tikTok,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1751848974.2565432,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751853458.4296598,False,instagram,openedApp,6.0,Post something,breathingExercise
America/Denver,1751853740.953414,False,instagram,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751854408.609106,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751891979.491318,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751899945.523236,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751916321.6882129,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751934556.941084,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751936272.134455,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751936607.447079,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751941347.162095,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751941777.343271,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751948362.0829659,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751949691.451849,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751951513.328938,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751975611.35182,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751976081.827701,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751977688.4002419,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752003337.3242111,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752004198.748845,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752017170.687389,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752020491.858426,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752021225.22556,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752023734.388603,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752033779.3022861,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752035044.04255,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752065252.6373181,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752077938.4721298,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752097797.948794,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752098480.009167,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752099094.0070028,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752106045.2055922,False,facebook,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1752107453.734229,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752107659.699065,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752109507.343254,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752116540.948822,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752118663.7694058,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752120200.587436,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752121128.819261,False,instagram,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752151269.702956,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752152736.533714,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752153322.4910688,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752157649.461615,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752162581.462194,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752170881.833754,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752174727.991472,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752178430.303945,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752180939.806057,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752185281.161028,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752185817.951709,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752187816.441018,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752188541.6505818,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752190866.567446,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
