resolution,timezone,timestamp,interventionType,timeIntervalUntilReIntervention,isReIntervention,interventionDuration,app,purpose
openedApp,Europe/Berlin,1750944200.995494,askForTimeLimit,480.0,False,6,instagram,
openedApp,Europe/Berlin,1750944707.777936,breathingExercise,360.0,False,6,instagram,brrr
openedApp,Europe/Berlin,1750952559.595118,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1750966617.807234,askForTimeLimit,480.0,False,6,instagram,
openedApp,Europe/Berlin,1750968541.45161,askForTimeLimit,420.0,False,6,instagram,
openedApp,Europe/Berlin,1750998142.938939,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1750998450.496646,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1751046719.928612,askForTimeLimit,540.0,False,6,instagram,
openedApp,Europe/Berlin,1751048446.389652,askForTimeLimit,540.0,False,6,instagram,
openedApp,Europe/Berlin,1751056424.7599611,askForTimeLimit,600.0,False,6,instagram,
openedApp,Europe/Berlin,1751057855.951252,askForTimeLimit,780.0,False,6,instagram,
openedApp,Europe/Berlin,1751060410.064505,askForTimeLimit,600.0,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1751061103.573786,askForTimeLimit,,False,6,instagram,
openedApp,Europe/Berlin,1751091938.395915,askForTimeLimit,540.0,False,6,instagram,
openedApp,Europe/Berlin,1751092257.684713,askForTimeLimit,600.0,False,6,instagram,
openedApp,Europe/Berlin,1751096584.2237558,askForTimeLimit,540.0,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1751107909.098331,askForTimeLimit,,False,6,instagram,
openedApp,Europe/Berlin,1751108706.858336,askForTimeLimit,180.0,False,6,instagram,
openedApp,Europe/Berlin,1751108733.847919,breathingExercise,360.0,False,6,instagram,bbrrrrrre
openedApp,Europe/Berlin,1751120942.2527142,askForTimeLimit,600.0,False,6,instagram,
openedApp,Europe/Berlin,1751123060.063621,askForTimeLimit,600.0,False,6,instagram,
openedApp,Europe/Berlin,1751125552.207872,askForTimeLimit,660.0,False,6,instagram,
openedApp,Europe/Berlin,1751126757.520298,askForTimeLimit,600.0,False,6,instagram,
openedApp,Europe/Berlin,1751128312.432972,askForTimeLimit,720.0,False,6,instagram,
openedApp,Europe/Berlin,1751128676.696038,askForTimeLimit,420.0,False,6,instagram,
openedApp,Europe/Berlin,1751129318.0368829,askForTimeLimit,240.0,False,6,instagram,
openedApp,Europe/Berlin,1751131618.770248,askForTimeLimit,600.0,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1751131860.875711,askForTimeLimit,,False,6,instagram,
openedApp,Europe/Berlin,1751131866.9614968,askForTimeLimit,420.0,False,6,instagram,
openedApp,Europe/Berlin,1751132060.971764,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1751178099.138136,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1751274586.3001552,askForTimeLimit,300.0,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1751274785.3523421,askForTimeLimit,,False,6,instagram,
openedApp,Europe/Berlin,1751282816.283523,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1751283039.957961,askForTimeLimit,480.0,False,6,instagram,
openedApp,Europe/Berlin,1751283554.596555,breathingExercise,600.0,False,6,instagram,prokastiniwrunf
openedApp,Europe/Berlin,1751284543.2453508,askForTimeLimit,420.0,False,6,instagram,
openedApp,Europe/Berlin,1751285014.0422912,breathingExercise,420.0,False,6,instagram,Puppe 
openedApp,Europe/Berlin,1751295221.372386,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1751303565.2977362,askForTimeLimit,480.0,False,6,instagram,
openedApp,Europe/Berlin,1751303799.192957,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1751306180.6684232,askForTimeLimit,540.0,False,6,instagram,
openedApp,Europe/Berlin,1751309222.674872,askForTimeLimit,660.0,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1751310489.630461,breathingExercise,,False,6,instagram,
openedApp,Europe/Berlin,1751310514.3553429,breathingExercise,300.0,False,6,instagram,pipi
openedApp,Europe/Berlin,1751344774.255938,askForTimeLimit,240.0,False,6,instagram,
openedApp,Europe/Berlin,1751430892.248004,askForTimeLimit,300.0,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1751484425.194565,askForTimeLimit,,False,6,instagram,
openedApp,Europe/Berlin,1751484429.709218,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1751484771.903441,breathingExercise,360.0,False,6,instagram,esse
openedApp,Europe/Berlin,1751485085.009238,askForTimeLimit,180.0,False,6,instagram,
openedApp,Europe/Berlin,1751564036.7967448,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1751626846.755763,askForTimeLimit,240.0,False,6,instagram,
openedApp,Europe/Berlin,1751634084.197005,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1751640220.392204,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1751666014.494049,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1751666252.8230581,askForTimeLimit,240.0,False,6,instagram,
openedApp,Europe/Berlin,1751666538.639467,askForTimeLimit,360.0,False,6,instagram,
openedApp,Europe/Berlin,1751692808.798826,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1751705983.896846,askForTimeLimit,420.0,False,6,instagram,
openedApp,Europe/Berlin,1751710429.105262,askForTimeLimit,540.0,False,6,instagram,
openedApp,Europe/Berlin,1751781213.522595,askForTimeLimit,240.0,False,6,instagram,
openedApp,Europe/Berlin,1751781481.713601,breathingExercise,240.0,False,6,instagram,keine ahnung
openedApp,Europe/Berlin,1751805737.782124,askForTimeLimit,360.0,False,6,instagram,
openedApp,Europe/Berlin,1751866928.791071,askForTimeLimit,240.0,False,6,instagram,
openedApp,Europe/Berlin,1751869256.2813668,askForTimeLimit,420.0,False,6,instagram,
openedApp,Europe/Berlin,1751876033.194999,askForTimeLimit,480.0,False,6,instagram,
openedApp,Europe/Berlin,1751896627.9954062,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1751898403.893866,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1751898760.529786,askForTimeLimit,300.0,False,6,tikTok,
openedApp,Europe/Berlin,1751899088.271266,breathingExercise,360.0,False,6,tikTok,hih
openedApp,Europe/Berlin,1751899867.114616,askForTimeLimit,900.0,False,6,instagram,
openedApp,Europe/Berlin,1751900825.341377,breathingExercise,540.0,False,6,instagram,keine ahbubg alda
openedApp,Europe/Berlin,1751901092.807554,askForTimeLimit,540.0,False,6,instagram,
openedApp,Europe/Berlin,1751901969.493778,askForTimeLimit,480.0,False,6,instagram,
openedApp,Europe/Berlin,1751902498.287191,askForTimeLimit,660.0,False,6,tikTok,
openedApp,Europe/Berlin,1751903183.712666,breathingExercise,960.0,False,6,tikTok,video
openedApp,Europe/Berlin,1751904155.251167,askForTimeLimit,540.0,False,6,tikTok,
openedApp,Europe/Berlin,1751904460.49301,askForTimeLimit,480.0,False,6,tikTok,
openedApp,Europe/Berlin,1751909282.267415,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1751909969.700773,askForTimeLimit,900.0,False,6,instagram,
openedApp,Europe/Berlin,1751910359.2243981,askForTimeLimit,600.0,False,6,tikTok,
dismissedAppOpening,Europe/Berlin,1751910998.868072,breathingExercise,,False,6,tikTok,
openedApp,Europe/Berlin,1751911032.136857,breathingExercise,900.0,False,6,tikTok,t
openedApp,Europe/Berlin,1751911337.678787,askForTimeLimit,1020.0,False,6,tikTok,
openedApp,Europe/Berlin,1751911647.12022,askForTimeLimit,300.0,False,6,tikTok,
dismissedAppOpening,Europe/Berlin,1751911856.9032311,askForTimeLimit,,False,6,tikTok,
dismissedAppOpening,Europe/Berlin,1751911859.2914882,askForTimeLimit,,False,6,tikTok,
openedApp,Europe/Berlin,1751911874.5895162,askForTimeLimit,540.0,False,6,tikTok,
openedApp,Europe/Berlin,1751912341.6190782,askForTimeLimit,600.0,False,6,tikTok,
openedApp,Europe/Berlin,1751913526.451962,askForTimeLimit,600.0,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1751914003.1364799,askForTimeLimit,,False,6,instagram,
openedApp,Europe/Berlin,1751915272.3202329,askForTimeLimit,180.0,False,6,instagram,
openedApp,Europe/Berlin,1751916932.620553,askForTimeLimit,600.0,False,6,instagram,
openedApp,Europe/Berlin,1751961932.883502,askForTimeLimit,300.0,False,6,tikTok,
openedApp,Europe/Berlin,1751962258.1929898,breathingExercise,600.0,False,6,tikTok,n
