isReIntervention,timestamp,interventionType,app,resolution,interventionDuration,timezone,purpose
False,1753049992.251023,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Post something
False,1753050103.2050261,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Post something
False,1753050484.779975,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753050535.550136,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Post something
False,1753050789.089054,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Post something
False,1753050908.385065,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753051128.880979,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753051219.600377,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753051693.326128,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753052786.63324,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753053497.048414,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753053501.245781,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753053992.372262,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Escape / Avoid
False,1753055671.188437,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753058321.798046,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753061122.872195,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753061223.3571901,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753061237.34438,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753061353.285789,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753061406.7495031,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753061723.034872,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753062141.288961,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753065822.0932121,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753070489.986538,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753070714.805598,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753073708.215838,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753075403.0550032,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753108668.342015,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753110798.064137,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753111449.174032,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753111549.856495,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753111551.678601,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753113700.292398,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753116897.446735,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753126687.388363,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753127255.89299,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753127508.191042,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753128484.722266,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753131232.4161072,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753132555.103504,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753132562.0194979,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753133226.5661612,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753133235.070912,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753134362.870492,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753134626.890695,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753140923.393398,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753143113.791342,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753156692.5777922,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753161258.146546,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753161297.457449,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753191502.943162,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753191942.600854,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753192613.746481,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753196318.405668,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753202507.222847,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753208646.5384622,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753224789.476377,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753224800.9047542,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753227476.337737,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753227479.552702,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753227483.4289432,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753229703.877825,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753229833.529513,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753229897.171626,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753232274.825571,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753232399.868084,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753233256.745785,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753235779.4500508,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753236883.562186,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753236886.457601,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753236896.674195,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753240719.078961,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753240721.434675,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753240724.8870869,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753240729.697816,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753241252.1103191,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753241270.102388,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
