resolution,timezone,timestamp,interventionDuration,isReIntervention,interventionType,app
dismissedAppOpening,Africa/Cairo,1750445250.712081,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750445349.567021,3,False,breathingExercise,safari
dismissedAppOpening,Africa/Cairo,1750445865.735272,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750446301.720471,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750448244.3031979,3,False,breathingExercise,safari
dismissedAppOpening,Africa/Cairo,1750478854.2934542,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750482029.019195,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750482241.481557,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750482458.111913,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750483099.511544,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750484032.2554421,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750484939.362317,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750489113.038095,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750490779.754818,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750492854.338748,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750493786.885575,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750495206.717805,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750496311.7614,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750496444.026504,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750497087.9776359,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750501917.191238,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750503227.586806,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750507841.033599,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750510487.4968839,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750515568.8854241,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750516628.922605,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750521329.304039,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750524526.65534,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750527703.297346,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750528187.480386,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750529374.496453,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750532620.638723,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750533362.576892,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750533366.724042,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750563453.863563,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750569245.3595262,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750569297.636605,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750570441.6398292,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750572464.424506,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750578389.567122,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750580397.99886,3,False,breathingExercise,safari
dismissedAppOpening,Africa/Cairo,1750592508.241243,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750592853.4662008,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750593143.418083,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750593664.459944,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750593995.6817908,3,False,breathingExercise,safari
dismissedAppOpening,Africa/Cairo,1750594109.5752769,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750594120.051509,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750594360.5831208,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750594435.843521,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750596327.539552,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750606176.794026,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750606227.753244,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750606828.906034,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750608269.62184,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750608396.166932,3,False,breathingExercise,safari
dismissedAppOpening,Africa/Cairo,1750608499.535753,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750609835.3636909,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750610811.133064,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750634593.7612329,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750634708.311959,3,False,breathingExercise,safari
dismissedAppOpening,Africa/Cairo,1750635063.569479,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750635074.3476958,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750635300.379375,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750635960.768522,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750653865.515784,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750664022.3472838,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750665048.790638,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750665420.330517,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750668516.563068,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750669253.055089,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750669330.078115,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750675231.031585,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750677187.709773,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750679994.67958,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750680234.594376,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750682039.885685,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750682522.453374,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750685045.771054,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750687212.835631,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750687638.921154,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750687851.202464,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750688327.888229,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750690778.744004,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750692278.925188,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750693821.8328,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750694864.708466,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750695238.4421911,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750695307.3144112,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750735975.3160992,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750736244.160269,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750737038.479506,3,False,breathingExercise,safari
dismissedAppOpening,Africa/Cairo,1750737494.8718472,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750737503.1035352,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750738423.948272,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750745290.2025142,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750745639.5354428,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750749135.46468,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750750999.883947,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750751243.075347,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750751972.3591251,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750752180.7361112,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750752865.639108,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750752897.045115,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750753584.9233031,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750753837.174403,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750754523.290273,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750770804.242234,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750771638.271871,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750771871.083168,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750773194.872402,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750775612.657895,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750777190.964051,3,False,breathingExercise,whastapp
