resolution,interventionType,timestamp,interventionDuration,isReIntervention,timezone,app,purpose
dismissedAppOpening,breathingExercise,1751613468.440692,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1751642833.921898,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751647943.953569,3,False,Europe/London,whastapp,Bored
dismissedAppOpening,breathingExercise,1751647955.277864,3,False,Europe/London,gmail,
dismissedAppOpening,breathingExercise,1751647958.0519,3,False,Europe/London,gmail,
openedApp,breathingExercise,1751648706.612514,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751652706.525068,3,False,Europe/London,whastapp,Bored
openedApp,breathingExercise,1751664359.332947,3,False,Europe/London,whastapp,Bored
openedApp,breathingExercise,1751664394.472527,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751664459.498057,3,False,Europe/London,whastapp,Bored
openedApp,breathingExercise,1751664800.149008,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751664914.639112,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751700616.857915,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751700621.696358,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751700624.735158,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751700627.704403,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1751700644.365501,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751702805.115129,3,False,Europe/London,google,
openedApp,breathingExercise,1751702818.14682,3,False,Europe/London,whastapp,Bored
openedApp,breathingExercise,1751716734.8156881,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751717108.410547,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751718929.2048678,3,False,Europe/London,spotify,Bored
openedApp,breathingExercise,1751718929.938439,3,False,Europe/London,spotify,Bored
dismissedAppOpening,breathingExercise,1751720552.3807611,3,False,Europe/London,google,
openedApp,breathingExercise,1751790209.034707,3,False,Europe/London,gmail,Bored
openedApp,breathingExercise,1751790888.460197,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751791080.1523728,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751812498.9700232,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751813321.889221,3,False,Europe/London,google,
dismissedAppOpening,breathingExercise,1751815493.22314,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751815497.370174,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751815499.368977,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751815504.360229,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751815509.313709,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751815511.882663,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751815514.3842192,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751815519.742052,3,False,Europe/London,gmail,
openedApp,breathingExercise,1751824849.029125,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751831012.5856261,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1751870630.41792,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751872631.257928,6,False,Europe/London,gmail,
dismissedAppOpening,breathingExercise,1751872634.762053,6,False,Europe/London,gmail,
openedApp,breathingExercise,1751905440.994401,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1751920582.156086,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1751953645.7614589,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751957347.987683,6,False,Europe/London,google,
dismissedAppOpening,breathingExercise,1751988079.043333,6,False,Europe/London,google,
openedApp,breathingExercise,1751988135.0756311,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751988310.8083758,6,False,Europe/London,gmail,
dismissedAppOpening,breathingExercise,1751988316.227645,6,False,Europe/London,gmail,
openedApp,breathingExercise,1751991347.872256,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752001800.106771,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752001963.562154,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1752001988.129592,6,False,Europe/London,google,
openedApp,breathingExercise,1752002002.958092,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1752040961.775947,6,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1752040964.474371,6,False,Europe/London,whastapp,
openedApp,breathingExercise,1752040986.339727,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752074822.750283,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1752078620.553963,6,False,Europe/London,clashOfClans,
