interventionDuration,timestamp,timezone,app,resolution,isReIntervention,interventionType
3,1753366586.689949,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366587.738169,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366592.416442,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366595.3833141,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366598.139715,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366600.680933,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366603.26328,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366605.72209,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366607.942559,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366620.559637,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366622.383157,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366624.502294,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366626.208843,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366643.961429,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753370180.273347,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753370183.438377,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753370186.089411,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753370187.690588,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753372302.554318,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753372343.729769,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753372474.4817572,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753374271.427141,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753377205.989728,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753384022.158094,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753389005.1758661,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753392489.3954391,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753392493.2310848,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753393743.09286,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753396226.5644999,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753396232.740125,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753396234.990889,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753398298.9756088,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753398309.123104,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753428346.697748,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753429670.736521,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753429677.264635,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753429681.350418,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
