timestamp,app,interventionType,resolution,isReIntervention,timezone,interventionDuration,timeIntervalUntilReIntervention,purpose
1752720552.638698,tikTok,breathingExercise,openedApp,True,America/Montevideo,3.0,600.0,Stay In the Loop
1752758960.210699,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,600.0,Stay In the Loop
1752759274.767613,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,540.0,Stay In the Loop
1752759611.790556,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,540.0,Stay In the Loop
1752760062.94304,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,480.0,Stay In the Loop
1752760099.652797,twitter,,closedApp,False,America/Montevideo,,,
1752760118.0876899,twitter,,closedApp,False,America/Montevideo,,,
1752760201.853106,twitter,,closedApp,False,America/Montevideo,,,
1752760358.4341068,twitter,,closedApp,False,America/Montevideo,,,
1752760462.945022,twitter,,closedApp,False,America/Montevideo,,,
1752760509.813721,twitter,,closedApp,False,America/Montevideo,,,
1752760583.061089,twitter,,closedApp,False,America/Montevideo,,,
1752760656.007038,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,300.0,Stay In the Loop
1752760770.335751,twitter,,closedApp,False,America/Montevideo,,,
1752760877.3093848,twitter,,closedApp,False,America/Montevideo,,,
1752760908.308352,twitter,,closedApp,False,America/Montevideo,,,
1752769225.568944,instagram,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752769332.2035189,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,420.0,Search Info
1752769353.482778,tikTok,,closedApp,False,America/Montevideo,,,
1752772695.240512,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,600.0,Stay In the Loop
1752772783.619234,twitter,,closedApp,False,America/Montevideo,,,
1752773270.715836,twitter,,closedApp,False,America/Montevideo,,,
1752773294.634419,twitter,,closedApp,False,America/Montevideo,,,
1752775219.276917,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,480.0,Stay In the Loop
1752775298.067442,twitter,,closedApp,False,America/Montevideo,,,
1752775779.6323419,twitter,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752775789.291119,twitter,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752776566.441375,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,300.0,Toilet
1752776651.026777,twitter,,closedApp,False,America/Montevideo,,,
1752776673.941348,twitter,,closedApp,False,America/Montevideo,,,
1752776854.188119,twitter,,closedApp,False,America/Montevideo,,,
1752780134.945034,tikTok,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752782137.922879,instagram,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752782283.805595,tikTok,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752782389.778583,tikTok,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752782505.321231,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,480.0,Escape / Avoid
1752782645.1772761,tikTok,,closedApp,False,America/Montevideo,,,
1752782909.2329922,tikTok,,closedApp,False,America/Montevideo,,,
1752782926.309757,tikTok,breathingExercise,openedApp,True,America/Montevideo,3.0,600.0,Entertainment
1752784643.365267,instagram,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752783367.416533,tikTok,,closedApp,False,America/Montevideo,,,
1752784658.114114,instagram,breathingExercise,openedApp,False,America/Montevideo,3.0,300.0,Stay In the Loop
1752784756.1114612,instagram,,closedApp,False,America/Montevideo,,,
1752786357.168819,instagram,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752795840.482662,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,660.0,Stay In the Loop
1752795902.634875,twitter,,closedApp,False,America/Montevideo,,,
1752796255.752536,twitter,,closedApp,False,America/Montevideo,,,
1752796588.1105928,twitter,,closedApp,False,America/Montevideo,,,
1752796630.74581,twitter,,closedApp,False,America/Montevideo,,,
