interventionType,timezone,app,timestamp,interventionDuration,resolution,isReIntervention,purpose
breathingExercise,Europe/London,instagram,1754167356.649123,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754169832.7520719,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754170633.745727,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1754171095.1327891,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754171315.873359,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754171977.553056,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1754172163.6319618,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754173627.777236,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1754174031.476388,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754174172.394089,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1754174333.340621,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754174766.4159498,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754175073.763682,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754177602.783526,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1754177878.264727,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1754178426.2764502,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1754178428.329412,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1754178442.172173,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754179122.926048,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1754180094.6486812,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754180728.194207,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754190745.992851,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1754209707.002249,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754210905.127682,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754211833.362743,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1754213303.231598,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754215691.121119,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754215855.132211,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1754216511.213671,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754217592.288018,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754220524.5913749,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754221482.015621,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754224424.1873121,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1754224823.502707,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1754225001.1992311,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1754225523.173229,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1754226124.8114629,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1754226128.071015,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1754227465.943795,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1754228716.540522,3,dismissedAppOpening,False,
