timestamp,interventionType,timezone,app,interventionDuration,resolution,isReIntervention,purpose
1754144530.9819942,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1754160158.9047642,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1754162263.631902,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1754168735.8247418,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1754168808.825573,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1754169162.850846,breathingExercise,America/New_York,instagram,6,openedApp,False,Search Info
1754174549.609963,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1754179720.560262,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1754185372.5405722,breathingExercise,America/New_York,instagram,6,openedApp,False,Search Info
1754190101.668761,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1754241053.832456,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1754241923.787869,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1754242363.610486,breathingExercise,America/New_York,instagram,6,openedApp,False,Post something
1754245065.5785651,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1754249980.63995,breathingExercise,America/New_York,instagram,6,openedApp,False,Relax
1754250619.517231,breathingExercise,America/New_York,instagram,6,openedApp,False,Entertainment
1754255915.130443,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1754261521.888063,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1754261547.142375,breathingExercise,America/New_York,instagram,6,openedApp,False,Entertainment
1754273538.4350271,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
