participant_id,condition,phase,study_week,attempted,dismissed,executed,delay_type,delay_secs
C2F569D4-713F-4AF8-B179-C613E2E055FE,ABC,phase2,1,116,59,57,A,3
C2F569D4-713F-4AF8-B179-C613E2E055FE,ABC,phase2,2,112,60,52,A,3
C2F569D4-713F-4AF8-B179-C613E2E055FE,ABC,phase2,3,89,28,61,B,6
C2F569D4-713F-4AF8-B179-C613E2E055FE,ABC,phase2,4,5,2,3,B,6
C31E7508-D100-49AC-9811-614FAB9E10CD,ACC,phase1,1,30,6,24,A,3
C31E7508-D100-49AC-9811-614FAB9E10CD,ACC,phase1,2,22,3,19,A,3
C31E7508-D100-49AC-9811-614FAB9E10CD,ACC,phase1,3,30,4,26,C,10
C31E7508-D100-49AC-9811-614FAB9E10CD,ACC,phase1,4,24,4,20,C,10
C31E7508-D100-49AC-9811-614FAB9E10CD,ACC,phase1,5,9,2,7,C,10
C34198D9-FF79-4CA9-9EB2-C4B828A1794B,CCC,phase2,1,103,20,83,C,10
C34198D9-FF79-4CA9-9EB2-C4B828A1794B,CCC,phase2,2,8,3,5,C,10
C34198D9-FF79-4CA9-9EB2-C4B828A1794B,CCC,phase2,3,51,8,43,C,10
C34198D9-FF79-4CA9-9EB2-C4B828A1794B,CCC,phase2,4,25,3,22,C,10
C34198D9-FF79-4CA9-9EB2-C4B828A1794B,CCC,phase2,5,49,13,36,C,10
C34CA39C-89C0-4357-8E38-7C23D0985C21,ACC,phase2,1,69,8,61,A,3
C34E9835-C36B-4B75-B172-F27F5CD0EBF6,BCC,phase2,1,1,1,0,B,6
C364B2A8-175B-40B3-9A01-ADFF1101DE37,CCC,phase1,1,17,5,12,C,10
C364B2A8-175B-40B3-9A01-ADFF1101DE37,CCC,phase1,2,21,6,15,C,10
C364B2A8-175B-40B3-9A01-ADFF1101DE37,CCC,phase1,3,20,3,17,C,10
C364B2A8-175B-40B3-9A01-ADFF1101DE37,CCC,phase1,4,14,2,12,C,10
C364B2A8-175B-40B3-9A01-ADFF1101DE37,CCC,phase1,5,10,4,6,C,10
C3733584-1026-417F-B77A-2D112E16AF48,ACC,phase2,1,1,0,1,A,3
