isReIntervention,interventionDuration,app,interventionType,timezone,purpose,resolution,timestamp
False,1.5,brave,breathingExercise,Europe/London,,dismissedAppOpening,1753569211.0148602
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753569488.538969
False,1.5,brave,breathingExercise,Europe/London,Message,openedApp,1753569495.497587
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753569919.298242
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753570004.439419
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753570217.472822
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753571321.5760531
False,1.5,snapchat,breathingExercise,Europe/London,Entertainment,openedApp,1753572863.701006
False,1.5,telegram,breathingExercise,Europe/London,Entertainment,openedApp,1753573076.9766068
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753573133.7628222
False,1.5,snapchat,breathingExercise,Europe/London,Entertainment,openedApp,1753573508.071945
False,1.5,telegram,breathingExercise,Europe/London,Stay In the Loop,openedApp,1753603227.717688
False,1.5,snapchat,breathingExercise,Europe/London,Escape / Avoid,openedApp,1753603236.949996
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753603560.5723171
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753603837.969656
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753604566.1129131
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753605307.772664
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753606264.4747062
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753606718.367642
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753606725.958785
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753606749.729591
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753608784.268363
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753610285.472227
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753610304.308906
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753610761.191179
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753615214.891624
False,1.5,telegram,breathingExercise,Europe/London,Bored,openedApp,1753615793.754161
False,1.5,telegram,breathingExercise,Europe/London,Entertainment,openedApp,1753619400.050919
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753619411.233213
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753620259.384677
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753620297.3977818
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753620525.0204492
False,1.5,snapchat,breathingExercise,Europe/London,Escape / Avoid,openedApp,1753620545.455312
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753625762.12133
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753625765.718272
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753628183.721539
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753631923.88838
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753631971.911124
False,1.5,snapchat,breathingExercise,Europe/London,Stay In the Loop,openedApp,1753641380.904305
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753641458.3253942
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753645579.898047
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753647604.210043
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753647606.0566
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753652762.679482
False,1.5,snapchat,breathingExercise,Europe/London,,dismissedAppOpening,1753652831.181828
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753656308.165217
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753657022.1500049
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753657070.6671472
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753657339.322565
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753657485.919928
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753659158.72803
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753659167.8153172
False,1.5,brave,breathingExercise,Europe/London,,dismissedAppOpening,1753659537.047723
False,1.5,snapchat,breathingExercise,Europe/London,,dismissedAppOpening,1753659540.23122
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753660332.070034
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753660397.277326
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753660523.7666888
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753661009.8406801
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753661012.203991
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753661283.093272
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753661902.970572
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753662042.277204
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753662140.906939
False,1.5,snapchat,breathingExercise,Europe/London,,dismissedAppOpening,1753662270.617286
False,1.5,snapchat,breathingExercise,Europe/London,,dismissedAppOpening,1753663378.5841799
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753663645.25581
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753663664.993846
False,1.5,snapchat,breathingExercise,Europe/London,,dismissedAppOpening,1753663769.670154
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753689710.666027
False,1.5,telegram,breathingExercise,Europe/London,Stay In the Loop,openedApp,1753689750.018734
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753690144.603949
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753690420.993357
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753691367.207195
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753692366.225519
False,1.5,snapchat,breathingExercise,Europe/London,,dismissedAppOpening,1753692618.272046
False,1.5,snapchat,breathingExercise,Europe/London,,dismissedAppOpening,1753692627.850669
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753692630.849899
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753692690.9175391
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753692926.19646
False,1.5,snapchat,breathingExercise,Europe/London,,dismissedAppOpening,1753693101.274064
False,1.5,brave,breathingExercise,Europe/London,Message,openedApp,1753693112.5338101
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753693355.951655
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753693464.583339
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753693977.231766
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753694384.229413
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753695387.007707
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753696263.3117352
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753696273.5493789
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753696615.667629
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753696719.965801
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753696974.7683768
False,1.5,brave,breathingExercise,Europe/London,Message,openedApp,1753696982.522373
False,1.5,brave,breathingExercise,Europe/London,Message,openedApp,1753697516.981097
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753698187.5532908
False,1.5,telegram,breathingExercise,Europe/London,Entertainment,openedApp,1753698561.428272
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753700954.8918571
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753700999.248383
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753701151.600261
