timezone,timestamp,interventionType,isReIntervention,interventionDuration,resolution,app,purpose
Europe/Bucharest,1749970158.5638242,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749970244.31324,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749970512.383092,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749971292.720275,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749972359.3485432,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749972671.969589,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749973449.000663,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749973926.185855,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749974534.734425,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749975248.640324,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749975795.449831,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749976167.5402,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749976792.285532,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749976846.624302,breathingExercise,False,1.5,dismissedAppOpening,tikTok,
Europe/Bucharest,1749976879.679552,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749977491.642559,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749977518.25113,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749977964.717478,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749978348.981744,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749978914.719665,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749979377.4254498,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749979842.637579,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749980164.731864,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749980789.7956161,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749981005.267462,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749981250.872322,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749981589.668144,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749982035.018477,breathingExercise,False,1.5,dismissedAppOpening,tikTok,
Europe/Bucharest,1749982057.8316898,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749982427.041803,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749982806.628226,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749983746.918076,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749984075.690294,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749984579.2530951,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749984621.9735842,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749984974.111398,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749985057.858684,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749985336.7054648,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749985370.807935,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749985661.6230521,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749985685.637337,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749986007.403744,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749986027.6884608,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749986337.782927,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749986345.4803128,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749986551.021764,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749986675.2734199,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749986982.214891,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749987011.467735,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749987320.227623,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749987419.410377,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
