timezone,isReIntervention,purpose,app,interventionType,interventionDuration,timestamp,resolution
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752245477.0896,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752254317.00776,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752290632.589037,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752293119.896819,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752318022.091389,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752328022.716371,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752328151.149617,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752360093.030363,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752372670.667904,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752398584.353788,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752459717.7191281,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752487428.70487,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752488061.7566009,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752489767.896852,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752509165.6736689,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752511267.3788671,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752511895.848172,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,6.0,1752546166.674241,openedApp
Asia/Kolkata,False,,youtube,breathingExercise,6.0,1752547223.4089231,dismissedAppOpening
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752557044.6316838,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752578250.808959,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752623111.2811131,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752627128.040636,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752711610.597251,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752734920.186732,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752764045.311101,openedApp
