interventionDuration,timestamp,isReIntervention,resolution,interventionType,timezone,app
1.5,1750647213.0477738,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750647427.641082,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750647504.377147,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750647703.4793072,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750648039.291683,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750648154.761469,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750648604.844285,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750648865.745311,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750649041.839182,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750649130.5012841,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750649259.8410192,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750653227.536745,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750653401.381689,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750653765.7515059,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750654338.735204,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750654517.839417,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750654531.9599729,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750654758.3291779,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750654768.266333,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750656395.556942,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750658238.621221,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750658279.243019,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750658454.5765781,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750658767.10972,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750658820.283804,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750658995.4503589,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750659068.7955608,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750659242.97336,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750661321.433439,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750661525.4836822,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750661625.309679,False,dismissedAppOpening,breathingExercise,Asia/Manila,safari
1.5,1750661646.929739,False,dismissedAppOpening,breathingExercise,Asia/Manila,safari
1.5,1750661653.0493069,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750662588.942194,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750662637.139491,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750663015.482168,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750663837.624238,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750663898.4871612,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750663955.100702,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750664897.499779,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750671546.665484,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750689114.992197,False,dismissedAppOpening,breathingExercise,Asia/Manila,safari
1.5,1750689126.617132,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750689176.970059,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750689274.301107,False,dismissedAppOpening,breathingExercise,Asia/Manila,safari
1.5,1750693793.65687,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750694047.5035,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750694936.403491,False,openedApp,breathingExercise,Asia/Manila,safari
6.0,1750747800.4623098,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
6.0,1750748536.930674,False,openedApp,breathingExercise,Asia/Manila,safari
6.0,1750755197.337033,False,openedApp,breathingExercise,Asia/Manila,safari
6.0,1750761718.9845738,False,openedApp,breathingExercise,Asia/Manila,safari
6.0,1750763161.696474,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
6.0,1750816812.945173,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
6.0,1750821771.015079,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
6.0,1750823303.8907862,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
6.0,1750823338.028285,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
6.0,1750825876.491754,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
6.0,1750827454.802662,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
6.0,1750827576.26386,False,openedApp,breathingExercise,Asia/Manila,safari
6.0,1750832261.90007,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
6.0,1750832284.321496,False,openedApp,breathingExercise,Asia/Manila,safari
6.0,1750832925.976664,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
6.0,1750832956.350193,False,openedApp,breathingExercise,Asia/Manila,safari
