timestamp,app,interventionType,resolution,timezone,isReIntervention,interventionDuration,purpose
1751107293.0079908,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751107447.872602,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751112443.8505402,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751112995.387806,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751117981.8206549,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751118557.4001188,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751120496.351249,facebook,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751120890.5141401,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751120930.728743,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751121210.441234,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751121533.646662,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751124276.857219,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751124353.033204,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751126152.8722038,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751128859.2658129,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751129287.329328,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751129906.8177361,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751133546.058892,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751134939.386046,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751135926.9417372,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751136866.238065,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751138842.6932821,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751140248.4648728,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751140442.171764,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751141070.163573,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751172877.927362,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751175390.162508,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751176281.5810928,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751196512.289268,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751203764.520222,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751205759.519321,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751210324.719328,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751218541.704098,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751218852.282744,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751219314.203734,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751219475.293412,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751221077.291864,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751221228.635188,tikTok,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751221234.884023,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751228091.277957,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751228247.3330421,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751228669.158647,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751231822.0984678,tikTok,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751231830.027134,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751231867.522015,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751231905.684403,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751259942.486432,facebook,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751271806.538165,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751272001.3924232,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751274883.0322418,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751275356.464777,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751275527.939124,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751275800.943519,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751279058.625955,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751279252.689018,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Toilet
1751279450.036876,tikTok,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751279452.803917,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751283834.738,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751283875.66349,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751286467.250774,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751286871.8712091,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751289299.0025868,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751289366.058625,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751290072.167361,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751290175.695426,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751290868.912755,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751291397.932366,tikTok,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751291440.2433538,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751291452.516561,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751297325.4659162,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751298617.926368,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751298776.668772,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751300429.521596,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Toilet
1751303782.922295,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751305628.229361,facebook,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751307299.389999,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751312497.653122,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
