interventionDuration,interventionType,isReIntervention,resolution,timestamp,app,timezone,timeIntervalUntilReIntervention
1.5,breathingExercise,False,dismissedAppOpening,1750018094.655178,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750018104.546122,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750018231.900554,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750021613.8653312,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750021741.521939,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750021748.11164,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750021827.802062,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750023837.981466,instagram,Europe/Lisbon,60.0
,,False,closedApp,1750023862.646344,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750051729.2403831,instagram,Europe/Lisbon,300.0
1.5,breathingExercise,False,openedApp,1750061438.81284,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750051956.1043692,instagram,Europe/Lisbon,
,,False,closedApp,1750061466.2767448,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1750061676.4532409,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1750061680.5662441,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750066917.267486,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750066984.899208,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750072530.5093431,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750072567.34402,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750077145.786168,instagram,Europe/Lisbon,60.0
1.5,breathingExercise,False,openedApp,1750078624.710593,instagram,Europe/Lisbon,60.0
,,False,closedApp,1750078677.05974,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750081352.811679,instagram,Europe/Lisbon,60.0
1.5,breathingExercise,False,dismissedAppOpening,1750082969.229943,instagram,Europe/Lisbon,
,,False,closedApp,1750081418.222198,instagram,Europe/Lisbon,
,,False,closedApp,1750096367.756954,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750096374.031147,instagram,Europe/Lisbon,120.0
1.5,breathingExercise,False,openedApp,1750106260.542225,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750096456.180811,instagram,Europe/Lisbon,
,,False,closedApp,1750106318.908276,instagram,Europe/Lisbon,
,,False,closedApp,1750106453.337079,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1750106611.272142,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750107132.847848,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750107190.652495,instagram,Europe/Lisbon,
,,False,closedApp,1750108379.797334,instagram,Europe/Lisbon,
,,False,closedApp,1750112500.88428,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750112506.588054,instagram,Europe/Lisbon,60.0
,,False,closedApp,1750112554.369555,instagram,Europe/Lisbon,
,,False,closedApp,1750112571.5814939,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750113367.461652,instagram,Europe/Lisbon,180.0
,,False,closedApp,1750113443.0198522,instagram,Europe/Lisbon,
,,False,closedApp,1750113480.036168,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750145302.264614,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750145366.8458471,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1750158494.781849,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750160949.344211,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750161005.546929,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750164686.1779408,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750164724.960415,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750168859.9281201,instagram,Europe/Lisbon,180.0
,,False,closedApp,1750168960.412877,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750169784.839943,instagram,Europe/Lisbon,180.0
,,False,closedApp,1750169881.277596,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750172326.883586,instagram,Europe/Lisbon,180.0
,,False,closedApp,1750172795.608938,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750173721.6787539,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750173775.809308,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750175472.903346,instagram,Europe/Lisbon,180.0
,,False,closedApp,1750175583.511734,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750176556.75523,instagram,Europe/Lisbon,300.0
,,False,closedApp,1750176864.233529,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750177128.9521189,instagram,Europe/Lisbon,180.0
,,False,closedApp,1750177258.98367,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750179744.227326,instagram,Europe/Lisbon,300.0
,,False,closedApp,1750179877.7685652,instagram,Europe/Lisbon,
