timestamp,app,timezone,isReIntervention,resolution,interventionType,interventionDuration,purpose,timeIntervalUntilReIntervention
1749399106.970928,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Escape / Avoid,300.0
1749402195.058154,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749410170.382979,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749410182.101883,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749414750.319422,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,300.0
1749416941.22754,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,480.0
1749417299.0474548,tikTok,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749419827.689228,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,300.0
1749420249.738204,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749420260.65147,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Bored,900.0
1749421311.685956,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749421782.3876162,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749422027.902328,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749422971.529714,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749423479.069049,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Relax,900.0
1749423855.5317469,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749424740.207495,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Toilet,480.0
1749441033.6522942,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,600.0
1749441767.5397701,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749442234.675878,tikTok,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749442236.884234,tikTok,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749442239.033646,tikTok,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749442310.3636842,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Relax,900.0
1749444444.498358,tikTok,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749478996.7060518,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,900.0
1749479863.165247,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749480073.587641,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,900.0
1749480623.760524,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749480627.629919,tikTok,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749480641.130649,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749481249.7013159,tikTok,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749482522.042846,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749483201.0470881,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749483620.427446,tikTok,America/Los_Angeles,False,closedApp,,,,
1749483628.709147,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,300.0
1749484176.65274,tikTok,America/Los_Angeles,False,closedApp,,,,
1749484183.717932,tikTok,America/Los_Angeles,True,openedApp,breathingExercise,1.5,Entertainment,900.0
1749484819.745627,tikTok,America/Los_Angeles,False,closedApp,,,,
1749485436.221754,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749486339.422137,tikTok,America/Los_Angeles,False,closedApp,,,,
1749488698.5525951,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749489604.655801,tikTok,America/Los_Angeles,False,closedApp,,,,
1749489682.357363,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749494503.106066,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749494709.692595,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749495629.106658,tikTok,America/Los_Angeles,False,closedApp,,,,
1749496938.422648,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,360.0
1749506993.574277,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,480.0
1749520064.974691,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,360.0
1749520292.901417,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749520353.1311998,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,300.0
1749521199.8928819,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,300.0
