interventionType,timestamp,resolution,interventionDuration,isReIntervention,timezone,app,purpose
breathingExercise,1752735738.195627,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752737749.586201,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752738010.95366,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752738516.758187,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752738583.379918,openedApp,1.5,False,Asia/Tehran,instagram,Relax
breathingExercise,1752738708.8032808,openedApp,1.5,False,Asia/Tehran,instagram,Search Info
breathingExercise,1752739994.0928001,openedApp,1.5,False,Asia/Tehran,instagram,Stay In the Loop
breathingExercise,1752740535.966788,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752740793.70033,openedApp,1.5,False,Asia/Tehran,instagram,Post something
breathingExercise,1752740970.516244,openedApp,1.5,False,Asia/Tehran,twitter,Post something
breathingExercise,1752741459.05653,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752742573.150955,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752742668.3581362,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752742695.247926,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752743381.49578,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752744351.447178,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752744970.0989509,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752746457.433631,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752747152.002161,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752748601.8510032,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752748886.7738318,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752749643.96111,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752749671.0643559,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752751344.805519,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752751396.36744,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752753186.391407,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752756107.959735,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752758140.208222,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752759577.303457,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752759655.300997,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752764573.644242,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752764709.414115,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752765437.37131,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752765919.013262,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752766151.094305,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752766425.442478,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
