timezone,app,isReIntervention,timestamp,resolution,interventionDuration,interventionType
Asia/Tehran,instagram,False,1752956090.47856,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752957484.8959122,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752964890.937114,openedApp,,
Asia/Tehran,instagram,False,1752965010.937115,closedApp,,
Asia/Tehran,instagram,False,1752965010.937115,dismissedAppOpening,,
Asia/Tehran,instagram,False,1752993613.748536,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753004142.2544808,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753009092.232238,openedApp,,
Asia/Tehran,instagram,False,1753009212.232238,closedApp,,
Asia/Tehran,instagram,False,1753009212.232238,dismissedAppOpening,,
Asia/Tehran,instagram,False,1753012396.3053122,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753025510.183895,openedApp,,
Asia/Tehran,instagram,False,1753025630.183895,closedApp,,
Asia/Tehran,instagram,False,1753025630.183896,dismissedAppOpening,,
Asia/Tehran,instagram,False,1753041508.081759,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753043572.784136,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753054815.3030062,openedApp,,
Asia/Tehran,instagram,False,1753054935.3030062,closedApp,,
Asia/Tehran,instagram,False,1753054935.3030071,dismissedAppOpening,,
Asia/Tehran,instagram,False,1753126952.047472,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753129948.930134,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753164312.9828792,openedApp,,
Asia/Tehran,instagram,False,1753164432.9828792,closedApp,,
Asia/Tehran,instagram,False,1753164432.9828792,dismissedAppOpening,,
Asia/Tehran,instagram,False,1753166041.599855,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753169016.314754,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753170968.1299958,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753173652.403233,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753187558.608447,openedApp,,
Asia/Tehran,instagram,False,1753187678.608447,closedApp,,
Asia/Tehran,instagram,False,1753187678.608447,dismissedAppOpening,,
Asia/Tehran,instagram,False,1753194361.83138,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753247642.0516849,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753260332.995337,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753285364.2176008,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753288655.920387,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753295140.89206,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753295529.923598,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753299004.0602279,openedApp,,
Asia/Tehran,instagram,False,1753299124.0602279,closedApp,,
Asia/Tehran,instagram,False,1753299124.0602279,dismissedAppOpening,,
Asia/Tehran,instagram,False,1753299819.953175,openedApp,,
Asia/Tehran,instagram,False,1753299939.953176,closedApp,,
Asia/Tehran,instagram,False,1753299939.953176,dismissedAppOpening,,
Asia/Tehran,instagram,False,1753299822.820619,openedApp,,
Asia/Tehran,instagram,False,1753299942.820619,closedApp,,
Asia/Tehran,instagram,False,1753299942.820619,dismissedAppOpening,,
Asia/Tehran,instagram,False,1753299952.9960709,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753303346.760423,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753306333.2766628,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753320203.55926,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753320734.133795,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753336624.861576,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753337888.378741,openedApp,,
Asia/Tehran,instagram,False,1753338008.378741,closedApp,,
Asia/Tehran,instagram,False,1753338008.378741,dismissedAppOpening,,
Asia/Tehran,instagram,False,1753338491.151235,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753340400.3853478,openedApp,,
Asia/Tehran,instagram,False,1753340520.3853478,closedApp,,
Asia/Tehran,instagram,False,1753340520.3853478,dismissedAppOpening,,
Asia/Tehran,instagram,False,1753340530.255275,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753345220.920996,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753355053.9150271,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753365271.043649,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1753380830.251985,openedApp,1.5,breathingExercise
