resolution,isReIntervention,timeIntervalUntilReIntervention,timezone,purpose,timestamp,app,interventionDuration,interventionType
openedApp,False,,Europe/Madrid,Message,1753206986.941756,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753207219.98706,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753207652.188096,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Message,1753207669.4459162,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Message,1753209175.574048,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753210318.285674,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Message,1753210605.341476,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753210761.8136358,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Message,1753210779.6834378,tikTok,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753211325.1881099,tikTok,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753212024.382833,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753212911.6016212,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753213589.244396,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Search Info,1753214072.3679829,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753215289.2153978,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753215466.51739,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753216123.448553,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Post something,1753216210.729073,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753217160.4354439,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Bored,1753218439.1080542,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Message,1753218561.4700022,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753218573.773604,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Bored,1753218604.0898871,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Post something,1753218648.9469008,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Post something,1753218873.8355222,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753219754.975566,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Message,1753220040.824028,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Message,1753220114.018718,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753220261.683992,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753220355.705482,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753220404.769166,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Entertainment,1753220457.817287,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753220684.7314239,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753220700.733141,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753253143.779036,instagram,6.0,breathingExercise
