resolution,timestamp,interventionType,timezone,app,isReIntervention,interventionDuration,purpose,timeIntervalUntilReIntervention
openedApp,1752463825.743315,breathingExercise,America/Bogota,instagram,False,1.5,Entertainment,600.0
openedApp,1752464080.068116,breathingExercise,America/Bogota,tikTok,False,1.5,Message,600.0
openedApp,1752464718.867002,breathingExercise,America/Bogota,tikTok,True,1.5,Escape / Avoid,600.0
openedApp,1752465329.607582,breathingExercise,America/Bogota,tikTok,True,1.5,Search Info,600.0
openedApp,1752465937.6388469,breathingExercise,America/Bogota,tikTok,True,1.5,Search Info,600.0
openedApp,1752466538.891773,breathingExercise,America/Bogota,tikTok,True,1.5,Can’t sleep,600.0
openedApp,1752467141.0692759,breathingExercise,America/Bogota,tikTok,True,1.5,Stalk crush,600.0
openedApp,1752467747.590462,breathingExercise,America/Bogota,tikTok,True,1.5,Can’t sleep,600.0
openedApp,1752468347.385291,breathingExercise,America/Bogota,tikTok,True,1.5,Stay In the Loop,600.0
openedApp,1752468949.996115,breathingExercise,America/Bogota,tikTok,True,1.5,Stalk crush,600.0
openedApp,1752469554.577491,breathingExercise,America/Bogota,tikTok,True,1.5,Stalk crush,600.0
openedApp,1752470153.5694098,breathingExercise,America/Bogota,tikTok,True,1.5,Stalk crush,600.0
openedApp,1752470752.37543,breathingExercise,America/Bogota,tikTok,True,1.5,Search Info,600.0
openedApp,1752471355.54045,breathingExercise,America/Bogota,tikTok,True,1.5,Escape / Avoid,600.0
openedApp,1752471959.5463371,breathingExercise,America/Bogota,tikTok,True,1.5,Check likes,600.0
dismissedAppOpening,1752472559.98631,breathingExercise,America/Bogota,tikTok,True,1.5,,
openedApp,1752472570.4479818,breathingExercise,America/Bogota,tikTok,False,1.5,Stay In the Loop,600.0
openedApp,1752473169.63272,breathingExercise,America/Bogota,tikTok,True,1.5,Stay In the Loop,600.0
openedApp,1752473719.541813,breathingExercise,America/Bogota,instagram,False,1.5,Check likes,540.0
openedApp,1752473845.960678,breathingExercise,America/Bogota,twitter,False,1.5,Message,600.0
openedApp,1752474097.0713348,breathingExercise,America/Bogota,tikTok,False,1.5,Escape / Avoid,600.0
openedApp,1752474707.811707,breathingExercise,America/Bogota,tikTok,True,1.5,Bored,600.0
openedApp,1752509413.863471,breathingExercise,America/Bogota,instagram,False,1.5,Escape / Avoid,420.0
openedApp,1752509427.717953,breathingExercise,America/Bogota,twitter,False,1.5,Can’t sleep,480.0
openedApp,1752509896.221541,breathingExercise,America/Bogota,tikTok,False,1.5,Search Info,300.0
openedApp,1752510307.4856272,breathingExercise,America/Bogota,tikTok,True,1.5,Search Info,300.0
openedApp,1752517768.408599,breathingExercise,America/Bogota,tikTok,False,1.5,Search Info,360.0
openedApp,1752518056.2779388,breathingExercise,America/Bogota,twitter,False,1.5,Stay In the Loop,600.0
openedApp,1752518394.9629369,breathingExercise,America/Bogota,tikTok,False,1.5,Can’t sleep,600.0
openedApp,1752520036.436707,breathingExercise,America/Bogota,instagram,False,1.5,Stay In the Loop,180.0
dismissedAppOpening,1752521698.625454,breathingExercise,America/Bogota,instagram,False,1.5,,
dismissedAppOpening,1752522031.944139,breathingExercise,America/Bogota,instagram,False,1.5,,
openedApp,1752522039.151406,breathingExercise,America/Bogota,twitter,False,1.5,Toilet,120.0
dismissedAppOpening,1752522618.481295,breathingExercise,America/Bogota,instagram,False,1.5,,
openedApp,1752522626.611961,breathingExercise,America/Bogota,tikTok,False,1.5,Bored,300.0
openedApp,1752522939.648387,breathingExercise,America/Bogota,tikTok,False,1.5,Check likes,600.0
openedApp,1752523552.548522,breathingExercise,America/Bogota,tikTok,False,1.5,Can’t sleep,600.0
openedApp,1752524150.0369759,breathingExercise,America/Bogota,tikTok,True,1.5,Stay In the Loop,600.0
openedApp,1752524753.8737478,breathingExercise,America/Bogota,tikTok,True,1.5,Relax,600.0
openedApp,1752525556.0485492,breathingExercise,America/Bogota,tikTok,True,1.5,Stay In the Loop,600.0
openedApp,1752526166.501517,breathingExercise,America/Bogota,tikTok,True,1.5,Toilet,600.0
openedApp,1752526774.561023,breathingExercise,America/Bogota,tikTok,True,1.5,Relax,600.0
openedApp,1752529299.700039,breathingExercise,America/Bogota,tikTok,False,1.5,Stay In the Loop,600.0
dismissedAppOpening,1752531088.441801,breathingExercise,America/Bogota,tikTok,False,1.5,,
openedApp,1752531209.481865,breathingExercise,America/Bogota,instagram,False,1.5,Relax,600.0
openedApp,1752531400.842946,breathingExercise,America/Bogota,tikTok,False,1.5,Message,600.0
openedApp,1752532134.331225,breathingExercise,America/Bogota,tikTok,True,1.5,Post something,600.0
dismissedAppOpening,1752532448.789657,breathingExercise,America/Bogota,tikTok,False,1.5,,
openedApp,1752544404.0160131,breathingExercise,America/Bogota,tikTok,False,1.5,Toilet,600.0
openedApp,1752553283.272094,breathingExercise,America/Bogota,tikTok,False,1.5,Message,600.0
openedApp,1752553895.902415,breathingExercise,America/Bogota,tikTok,True,1.5,Stalk crush,600.0
openedApp,1752554504.921499,breathingExercise,America/Bogota,tikTok,True,1.5,Escape / Avoid,600.0
openedApp,1752555114.58798,breathingExercise,America/Bogota,tikTok,True,1.5,Search Info,600.0
openedApp,1752555728.754286,breathingExercise,America/Bogota,tikTok,True,1.5,Relax,600.0
openedApp,1752556329.586244,breathingExercise,America/Bogota,tikTok,True,1.5,Can’t sleep,600.0
openedApp,1752556934.0772262,breathingExercise,America/Bogota,tikTok,True,1.5,Stalk crush,600.0
dismissedAppOpening,1752557534.704155,breathingExercise,America/Bogota,tikTok,False,1.5,,
openedApp,1752557544.295545,breathingExercise,America/Bogota,tikTok,False,1.5,Relax,600.0
openedApp,1752557962.940036,breathingExercise,America/Bogota,instagram,False,1.5,Message,600.0
openedApp,1752558102.836293,breathingExercise,America/Bogota,tikTok,False,1.5,Post something,600.0
openedApp,1752558723.079474,breathingExercise,America/Bogota,tikTok,True,1.5,Message,600.0
dismissedAppOpening,1752559089.950288,breathingExercise,America/Bogota,tikTok,False,1.5,,
openedApp,1752559098.856658,breathingExercise,America/Bogota,twitter,False,1.5,Check likes,600.0
openedApp,1752559228.34091,breathingExercise,America/Bogota,tikTok,False,1.5,Check likes,600.0
openedApp,1752559843.926991,breathingExercise,America/Bogota,tikTok,True,1.5,Toilet,600.0
openedApp,1752560544.203321,breathingExercise,America/Bogota,tikTok,True,1.5,Check likes,600.0
openedApp,1752598165.9566631,breathingExercise,America/Bogota,instagram,False,1.5,Can’t sleep,600.0
openedApp,1752598177.343612,breathingExercise,America/Bogota,twitter,False,1.5,Stalk crush,600.0
openedApp,1752598828.495298,breathingExercise,America/Bogota,tikTok,False,1.5,Can’t sleep,600.0
openedApp,1752599170.735231,breathingExercise,America/Bogota,tikTok,False,1.5,Bored,600.0
openedApp,1752599558.5485601,breathingExercise,America/Bogota,tikTok,False,1.5,Post something,600.0
openedApp,1752600337.106365,breathingExercise,America/Bogota,twitter,False,1.5,Toilet,420.0
openedApp,1752600970.683497,breathingExercise,America/Bogota,tikTok,False,1.5,Toilet,600.0
openedApp,1752602288.702488,breathingExercise,America/Bogota,tikTok,False,1.5,Toilet,600.0
openedApp,1752602904.490947,breathingExercise,America/Bogota,tikTok,False,1.5,Search Info,600.0
dismissedAppOpening,1752604777.6919131,breathingExercise,America/Bogota,tikTok,True,1.5,,
openedApp,1752604805.710453,breathingExercise,America/Bogota,tikTok,False,1.5,Post something,600.0
openedApp,1752605609.6915622,breathingExercise,America/Bogota,tikTok,True,1.5,Message,600.0
openedApp,1752606336.242543,breathingExercise,America/Bogota,tikTok,True,1.5,Search Info,600.0
openedApp,1752606936.5077581,breathingExercise,America/Bogota,tikTok,True,1.5,Search Info,600.0
openedApp,1752607412.8249369,breathingExercise,America/Bogota,tikTok,False,1.5,Toilet,600.0
openedApp,1752607915.054187,breathingExercise,America/Bogota,tikTok,False,1.5,Check likes,600.0
openedApp,1752608800.398096,breathingExercise,America/Bogota,instagram,False,1.5,Entertainment,600.0
openedApp,1752608933.5162702,breathingExercise,America/Bogota,tikTok,False,1.5,Bored,600.0
openedApp,1752614704.733584,breathingExercise,America/Bogota,tikTok,False,1.5,Check likes,600.0
openedApp,1752615318.02814,breathingExercise,America/Bogota,instagram,False,1.5,Stalk crush,600.0
openedApp,1752615552.900875,breathingExercise,America/Bogota,tikTok,False,1.5,Entertainment,600.0
openedApp,1753286616.534852,breathingExercise,America/Bogota,tikTok,False,6.0,Bored,600.0
openedApp,1753287122.755794,breathingExercise,America/Bogota,tikTok,False,6.0,Stalk crush,600.0
openedApp,1753287930.3237019,breathingExercise,America/Bogota,tikTok,False,6.0,Bored,600.0
openedApp,1753288770.530778,breathingExercise,America/Bogota,tikTok,False,6.0,Escape / Avoid,600.0
openedApp,1753293965.998275,breathingExercise,America/Bogota,instagram,False,6.0,Bored,600.0
dismissedAppOpening,1753294573.653195,breathingExercise,America/Bogota,instagram,False,6.0,,
openedApp,1753294592.363107,breathingExercise,America/Bogota,instagram,False,6.0,Escape / Avoid,600.0
openedApp,1753295078.086451,breathingExercise,America/Bogota,tikTok,False,6.0,Check likes,600.0
openedApp,1753308479.368252,breathingExercise,America/Bogota,instagram,False,6.0,Relax,300.0
openedApp,1753308635.201287,breathingExercise,America/Bogota,tikTok,False,6.0,Relax,360.0
openedApp,1753309128.1057081,breathingExercise,America/Bogota,tikTok,False,6.0,Can’t sleep,600.0
openedApp,1753309753.160571,breathingExercise,America/Bogota,tikTok,False,6.0,Escape / Avoid,420.0
dismissedAppOpening,1753363059.46061,breathingExercise,America/Bogota,tikTok,False,6.0,,
dismissedAppOpening,1753363215.8732882,breathingExercise,America/Bogota,tikTok,False,6.0,,
openedApp,1753363943.519899,breathingExercise,America/Bogota,tikTok,False,6.0,Check likes,600.0
dismissedAppOpening,1753368569.795744,breathingExercise,America/Bogota,tikTok,False,6.0,,
openedApp,1753368673.014182,breathingExercise,America/Bogota,tikTok,False,6.0,Message,600.0
dismissedAppOpening,1753369133.2244859,breathingExercise,America/Bogota,tikTok,False,6.0,,
openedApp,1753369209.501677,breathingExercise,America/Bogota,tikTok,False,6.0,Relax,600.0
openedApp,1753369826.02301,breathingExercise,America/Bogota,tikTok,False,6.0,Post something,600.0
openedApp,1753371298.845615,breathingExercise,America/Bogota,tikTok,False,6.0,Search Info,600.0
openedApp,1753371818.268019,breathingExercise,America/Bogota,tikTok,False,6.0,Check likes,600.0
dismissedAppOpening,1753374704.983177,breathingExercise,America/Bogota,tikTok,False,6.0,,
openedApp,1753385065.190486,breathingExercise,America/Bogota,tikTok,False,6.0,Search Info,600.0
openedApp,1753388008.611189,breathingExercise,America/Bogota,tikTok,False,6.0,Stay In the Loop,600.0
openedApp,1753388543.694388,breathingExercise,America/Bogota,tikTok,False,6.0,Toilet,600.0
openedApp,1753388873.785327,breathingExercise,America/Bogota,tikTok,False,6.0,Stalk crush,600.0
openedApp,1753389210.824136,breathingExercise,America/Bogota,tikTok,False,6.0,Post something,600.0
dismissedAppOpening,1753389539.4638429,breathingExercise,America/Bogota,tikTok,False,6.0,,
dismissedAppOpening,1753389566.869951,breathingExercise,America/Bogota,tikTok,False,6.0,,
openedApp,1753389659.2119598,breathingExercise,America/Bogota,tikTok,False,6.0,Stalk crush,600.0
openedApp,1753389993.91697,breathingExercise,America/Bogota,tikTok,False,6.0,Entertainment,600.0
openedApp,1753390597.0964642,breathingExercise,America/Bogota,tikTok,False,6.0,Bored,600.0
openedApp,1753391225.129812,breathingExercise,America/Bogota,tikTok,False,6.0,Toilet,600.0
dismissedAppOpening,1753391812.955515,breathingExercise,America/Bogota,tikTok,True,6.0,,
openedApp,1753391870.477978,breathingExercise,America/Bogota,tikTok,False,6.0,Escape / Avoid,600.0
openedApp,1753392385.942371,breathingExercise,America/Bogota,tikTok,False,6.0,Entertainment,600.0
openedApp,1753393538.817049,breathingExercise,America/Bogota,tikTok,False,6.0,Entertainment,600.0
openedApp,1753394196.128833,breathingExercise,America/Bogota,tikTok,True,6.0,Stalk crush,600.0
openedApp,1753395264.654428,breathingExercise,America/Bogota,tikTok,False,6.0,Message,600.0
dismissedAppOpening,1753395742.413759,breathingExercise,America/Bogota,tikTok,False,6.0,,
dismissedAppOpening,1753395837.092514,breathingExercise,America/Bogota,tikTok,False,6.0,,
openedApp,1753395902.893489,breathingExercise,America/Bogota,tikTok,False,6.0,Escape / Avoid,600.0
openedApp,1753396671.694395,breathingExercise,America/Bogota,tikTok,False,6.0,Entertainment,600.0
openedApp,1753397326.5984468,breathingExercise,America/Bogota,tikTok,False,6.0,Stay In the Loop,600.0
openedApp,1753398090.592105,breathingExercise,America/Bogota,tikTok,False,6.0,Message,600.0
dismissedAppOpening,1753398540.678259,breathingExercise,America/Bogota,tikTok,False,6.0,,
openedApp,1753399897.1306438,breathingExercise,America/Bogota,instagram,False,6.0,Escape / Avoid,600.0
dismissedAppOpening,1753399988.729455,breathingExercise,America/Bogota,tikTok,False,6.0,,
openedApp,1753400068.608645,breathingExercise,America/Bogota,tikTok,False,6.0,Search Info,600.0
openedApp,1753400535.591259,breathingExercise,America/Bogota,tikTok,False,6.0,Stalk crush,600.0
dismissedAppOpening,1753401782.77322,breathingExercise,America/Bogota,tikTok,False,6.0,,
dismissedAppOpening,1753402108.007381,breathingExercise,America/Bogota,tikTok,False,6.0,,
openedApp,1753402311.224478,breathingExercise,America/Bogota,instagram,False,6.0,Post something,600.0
openedApp,1753402719.8040562,breathingExercise,America/Bogota,instagram,False,6.0,Bored,600.0
openedApp,1753402799.6324902,breathingExercise,America/Bogota,tikTok,True,6.0,Stay In the Loop,600.0
