timezone,timestamp,interventionType,app,resolution,interventionDuration,isReIntervention,timeIntervalUntilReIntervention,purpose
America/Argentina/Buenos_Aires,1751509854.6079888,breathingExercise,instagram,openedApp,1.5,False,120.0,Search Info
America/Argentina/Buenos_Aires,1751509996.684865,breathingExercise,instagram,dismissedAppOpening,1.5,True,,
America/Argentina/Buenos_Aires,1751509999.598033,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Argentina/Buenos_Aires,1751548417.9384608,breathingExercise,instagram,openedApp,1.5,False,180.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751557888.434143,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751571378.519311,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751575048.48632,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751585539.744978,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Argentina/Buenos_Aires,1751591644.769743,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751591963.354089,breathingExercise,instagram,openedApp,1.5,True,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751592266.882055,breathingExercise,instagram,openedApp,1.5,True,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751592579.683092,breathingExercise,instagram,openedApp,1.5,True,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751592667.466176,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751592719.826642,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751639277.6496382,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751646192.978106,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751646625.797144,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751646711.390356,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Argentina/Buenos_Aires,1751655553.7754111,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751655865.7438269,breathingExercise,instagram,openedApp,1.5,True,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751658444.942906,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751668885.8878431,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751715788.649641,breathingExercise,instagram,openedApp,1.5,False,180.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751715997.053958,breathingExercise,instagram,openedApp,1.5,True,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751716072.6468282,breathingExercise,instagram,openedApp,1.5,False,180.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751716294.634994,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Argentina/Buenos_Aires,1751717908.497099,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Argentina/Buenos_Aires,1751732026.424316,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751735079.169462,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751735359.537877,breathingExercise,instagram,openedApp,1.5,False,180.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751735550.503354,breathingExercise,instagram,dismissedAppOpening,1.5,True,,
America/Argentina/Buenos_Aires,1751740070.8630672,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Argentina/Buenos_Aires,1751764600.5271,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751802485.5276089,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751802797.2326288,breathingExercise,instagram,openedApp,1.5,True,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751803105.171222,breathingExercise,instagram,openedApp,1.5,True,120.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751803379.503664,breathingExercise,instagram,openedApp,1.5,True,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751803694.302102,breathingExercise,instagram,openedApp,1.5,True,180.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751803874.071851,breathingExercise,instagram,openedApp,1.5,True,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751804177.2184892,breathingExercise,instagram,openedApp,1.5,True,180.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751804361.012558,breathingExercise,instagram,openedApp,1.5,True,180.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751804541.198246,breathingExercise,instagram,openedApp,1.5,True,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751808828.727628,breathingExercise,instagram,openedApp,1.5,False,240.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751817492.704597,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751820385.597031,breathingExercise,instagram,openedApp,1.5,False,240.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751827711.7797852,breathingExercise,instagram,openedApp,1.5,False,180.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751829299.684154,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751829942.5303822,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751842547.437299,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751842911.118226,breathingExercise,instagram,openedApp,1.5,True,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751843212.767334,breathingExercise,instagram,openedApp,1.5,True,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751843439.835775,breathingExercise,instagram,openedApp,1.5,False,180.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751843632.280037,breathingExercise,instagram,openedApp,1.5,True,240.0,Stay In the Loop
