resolution,isReIntervention,app,interventionType,interventionDuration,timezone,timestamp
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751314902.918549
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751314908.62351
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751316910.375443
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751318896.824288
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751318906.3097348
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751319269.4115129
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751322813.065948
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751326697.1620998
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751333779.239777
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751335737.3766499
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751335744.1226149
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751359495.97616
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751359629.6993
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751362128.858292
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751363488.7501822
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751364836.830255
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751364995.5874019
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751365084.8293161
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751365195.655366
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751365393.344002
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751366674.7261229
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751368070.113669
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751369770.320035
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751371620.577637
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751371821.165979
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751372024.220312
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751372300.394238
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751372329.955261
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751372408.116987
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751372526.791719
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751372724.397815
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751373344.9852982
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751373718.643968
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751374033.041699
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751376134.6673079
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751376793.9261851
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751377567.5789108
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751377612.5759258
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751378122.04338
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751378395.720995
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751380080.171552
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751380215.737959
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751380222.678844
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751382589.477479
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751382813.8437572
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751384490.133765
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751385646.677754
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751393410.550401
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751401431.225788
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751402123.426796
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751402818.989877
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751403005.394733
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751403228.033286
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751403237.814228
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751403945.438725
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751404116.476159
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751404887.992476
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751405363.900929
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751405812.963088
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751405945.6969361
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751406046.305667
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751408977.725676
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751409053.953454
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751409845.0484471
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751412473.5909219
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751414554.6693869
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751415781.159136
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751415808.149823
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751433701.498013
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751433963.808676
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751434130.4148412
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751434177.394731
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751436405.298686
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751438171.4872751
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751441034.1239948
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751463525.136065
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751484774.274325
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751532744.302103
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751535773.939444
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751548424.909103
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751559479.194246
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751560886.807232
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751561019.9986072
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751561900.520318
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751562137.545292
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751562158.2590508
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751562434.111304
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751562580.0001411
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751563822.049973
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751584060.06476
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751584080.969312
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751584495.146219
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751584779.088525
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751585012.5862389
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751585183.784487
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751585256.659896
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751612081.877458
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751612532.6932878
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751629876.0149632
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751631407.739352
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751632404.154557
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751634462.8931231
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751634535.8904328
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751636174.394839
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751637280.142472
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751670698.1768641
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751670744.751519
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751681950.633311
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751682183.304362
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751682254.124114
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751682467.861182
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751693091.892047
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751696496.434555
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751696767.2867122
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751712971.629585
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751724290.0236459
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751734329.0270271
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751741567.3993511
