resolution,timezone,app,interventionDuration,timestamp,isReIntervention,interventionType
openedApp,Africa/Johannesburg,instagram,1.5,1750349400.31324,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750349532.3981252,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750349938.6406221,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750350092.224601,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750352841.504983,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750354436.032349,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750357081.587123,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750357366.3723168,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750358509.067247,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750358690.021762,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750358834.8741179,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750400031.504458,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750400115.9761992,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750400734.336303,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750404961.688916,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750404965.017365,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750405600.088413,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750406161.813369,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750407325.945733,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750407356.360491,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750407431.177637,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750413065.1781511,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750413072.575727,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750414619.425159,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750414884.0854468,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750415000.0359921,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750415006.621776,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750426088.3177872,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750428579.979208,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750433383.0530019,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750449695.492459,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750449721.520628,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750454152.546135,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750459934.1576529,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750485935.669674,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750494948.0088038,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750526042.1644049,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750526307.968519,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750526314.868367,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750528069.521541,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750528626.054923,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750528667.842887,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750528677.287815,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750528698.031825,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750528843.204818,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750528969.807226,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750529415.6378121,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750532277.733182,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750537761.535349,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750539750.889848,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750543190.210525,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750543762.347832,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750571973.8511891,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750572046.955796,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750575723.2403898,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750576619.188613,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750579118.746294,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750581898.2285619,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750584613.655445,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750585830.214915,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750587344.332716,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750595673.392143,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750601214.941575,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750607928.8197699,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750607956.8440251,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750613252.1433768,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750613370.665437,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750613553.7731462,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750613620.8195,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750613641.515384,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750613883.372439,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750613936.304514,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750615668.440357,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750616040.196216,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750616052.616662,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750617456.299535,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750682148.486263,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750682151.2945209,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750682157.536193,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750692689.3446221,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750693336.5980701,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750694105.1764011,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750694847.4533849,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750696139.842461,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750696826.953058,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750702258.5064769,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750702339.457983,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750710222.793791,False,breathingExercise
