interventionDuration,timestamp,interventionType,timezone,app,resolution,isReIntervention
1.5,1749847598.8731508,breathingExercise,Europe/Berlin,brawlStars,dismissedAppOpening,False
1.5,1749847982.0510259,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749847994.4355001,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749848254.204732,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749849096.2387671,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749850218.171344,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1749850237.091208,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749850369.599444,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749850685.7140598,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749850768.661732,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749865921.4676619,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749869998.615542,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749870522.977827,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749870574.9983969,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749870703.1189551,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749873033.500815,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749873048.726367,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749873992.1236172,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1749896019.4160252,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749896376.748464,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749898051.284167,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749898150.4207091,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749899459.349272,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749900459.999267,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749902159.5781841,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749902219.092507,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749902407.674107,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749904223.619094,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749904380.9740891,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749904438.198244,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1749906227.1266599,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749906245.516683,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1749906518.255909,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749906634.138815,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1749907961.40151,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749908008.149111,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749908357.560272,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749916427.8038669,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749917350.942837,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749923628.432229,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749923668.827705,breathingExercise,Europe/Berlin,youtube,dismissedAppOpening,False
1.5,1749923678.137343,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749924207.227222,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1749929870.432446,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749930943.1790009,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749931141.1339278,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749931406.693211,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749931944.239814,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749932955.256633,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749936320.7092628,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749937369.1619449,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749937719.778496,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749937977.314437,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1749970560.8476892,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749971014.519885,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749971055.858808,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749971393.6017308,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1749972047.7825441,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749972354.758512,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749972367.872935,breathingExercise,Europe/Berlin,youtube,openedApp,False
