isReIntervention,timezone,timestamp,interventionDuration,interventionType,app,resolution,timeIntervalUntilReIntervention,purpose
False,Europe/Madrid,1752832204.186208,,,whastapp,closedApp,,
False,Europe/Madrid,1752832306.49021,,,whastapp,closedApp,,
False,Europe/Madrid,1752832311.726475,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752832368.913574,,,whastapp,closedApp,,
False,Europe/Madrid,1752832585.571718,,,whastapp,closedApp,,
True,Europe/Madrid,1752832591.860043,1.5,breathingExercise,whastapp,openedApp,540.0,
False,Europe/Madrid,1752832654.373127,,,whastapp,closedApp,,
False,Europe/Madrid,1752853069.920176,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752857610.1454601,1.5,breathingExercise,safari,dismissedAppOpening,,
False,Europe/Madrid,1752857703.135065,1.5,breathingExercise,instagram,openedApp,300.0,
False,Europe/Madrid,1752859062.630966,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752859666.329025,1.5,breathingExercise,safari,dismissedAppOpening,,
False,Europe/Madrid,1752871904.475308,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752872097.9300961,1.5,breathingExercise,safari,dismissedAppOpening,,
False,Europe/Madrid,1752872106.195585,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752872336.618999,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752872647.421877,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752873930.1855888,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752878317.9961061,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752884847.016899,1.5,breathingExercise,safari,dismissedAppOpening,,
False,Europe/Madrid,1752884851.774169,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752885302.675394,1.5,breathingExercise,whastapp,openedApp,240.0,
False,Europe/Madrid,1752885361.18997,,,whastapp,closedApp,,
False,Europe/Madrid,1752928214.228657,1.5,breathingExercise,snapchat,openedApp,,
False,Europe/Madrid,1752928686.670963,,,snapchat,closedApp,,
False,Europe/Madrid,1752928691.7013102,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752928729.981205,,,snapchat,closedApp,,
False,Europe/Madrid,1752928785.6936069,,,snapchat,closedApp,,
False,Europe/Madrid,1752928815.772413,,,snapchat,closedApp,,
False,Europe/Madrid,1752928987.368418,,,snapchat,closedApp,,
False,Europe/Madrid,1752929071.212843,,,snapchat,closedApp,,
False,Europe/Madrid,1752929083.756573,1.5,breathingExercise,whastapp,openedApp,900.0,
False,Europe/Madrid,1752929991.19487,,,whastapp,closedApp,,
True,Europe/Madrid,1752929996.803553,1.5,breathingExercise,whastapp,openedApp,900.0,
False,Europe/Madrid,1752930899.389758,,,whastapp,closedApp,,
True,Europe/Madrid,1752930906.457695,1.5,breathingExercise,whastapp,openedApp,900.0,
False,Europe/Madrid,1752931058.981772,,,whastapp,closedApp,,
False,Europe/Madrid,1752931296.5697088,,,whastapp,closedApp,,
False,Europe/Madrid,1752931439.9076781,,,whastapp,closedApp,,
False,Europe/Madrid,1752931512.6216478,,,whastapp,closedApp,,
False,Europe/Madrid,1752931634.316669,,,whastapp,closedApp,,
False,Europe/Madrid,1752931778.243757,,,whastapp,closedApp,,
False,Europe/Madrid,1752931816.7736192,,,whastapp,closedApp,,
False,Europe/Madrid,1752931826.340581,1.5,breathingExercise,whastapp,openedApp,540.0,
False,Europe/Madrid,1752931853.320132,,,whastapp,closedApp,,
False,Europe/Madrid,1752931859.870477,1.5,breathingExercise,safari,openedApp,,
