timezone,interventionType,resolution,timestamp,app,isReIntervention,interventionDuration
Africa/Cairo,breathingExercise,openedApp,1752953761.7217479,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752956310.278369,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752959033.3249202,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752959596.3016381,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752959629.583086,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752959691.978265,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752959815.291626,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752960132.822537,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752960709.1859221,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752960850.9754128,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752964788.472877,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752965515.6949449,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752965530.896657,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752968923.002316,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752969313.450585,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752974838.455793,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752975188.7925692,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753002034.9741879,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753003746.847454,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753004328.750751,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753005204.4248838,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753006285.129164,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753006607.217905,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753009667.880486,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753013648.96145,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753013931.218032,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753014479.105527,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753014854.5857239,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753015493.878371,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753015573.892019,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753015820.1095629,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753016285.96456,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753017180.5538669,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753018965.790627,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753020319.322857,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753022217.9490461,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753022223.3995938,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753023710.238673,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753024746.615676,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753024769.654125,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753026178.9534578,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753032118.4670181,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753032204.259856,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753032727.5309072,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753034207.667848,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753034318.135072,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753039954.209907,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753043346.142519,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753044954.259809,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753045510.841876,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753046704.4018621,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1753046738.705987,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753047704.420833,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1753048121.9509602,instagram,False,1.5
